school_code	name	grade_span	subject	grade	type	subgroup	num_tested	num_l1	pct_l1	num_l2	pct_l2	num_l3	pct_l3	num_l4	pct_l4	num_l5	pct_l5	num_ccr	pct_ccr	num_glp	pct_glp	avg_score
140304	Baton Elementary	PK-05	MA	03	ALL	FEM_WHTE	31	-	-	-	-	-	<5	-	-	-	<5	21	67.7	21	67.7	
140304	Baton Elementary	PK-05	MA	03	ALL	MALE	37	6	16.2	11	29.7	4	10.8	13	35.1	3	8.1	16	43.2	20	54.1	
140304	Baton Elementary	PK-05	MA	03	ALL	MALE_WHTE	37	6	16.2	11	29.7	4	10.8	13	35.1	3	8.1	16	43.2	20	54.1	
140304	Baton Elementary	PK-05	MA	03	ALL	NOT_EDS	28	-	-	-	-	-	-	-	-	-	<5	17	60.7	19	67.9	
140304	Baton Elementary	PK-05	MA	03	ALL	NOT_LEP	70	-	-	-	-	-	-	-	-	-	<5	38	54.3	42	60.0	
140304	Baton Elementary	PK-05	MA	03	ALL	NOT_SWD	60	8	13.3	12	20.0	4	6.7	33	55.0	3	5.0	36	60.0	40	66.7	
140304	Baton Elementary	PK-05	MA	03	ALL	SWD	10	-	-	-	-	-	<5	-	-	-	<5	2	20.0	2	20.0	
140304	Baton Elementary	PK-05	MA	03	ALL	WHTE	68	-	-	-	-	-	-	-	-	-	<5	37	54.4	41	60.3	
140304	Baton Elementary	PK-05	MA	03	RG	ALL	70	-	-	-	-	-	-	-	-	-	<5	38	54.3	42	60.0	448.9
140304	Baton Elementary	PK-05	MA	03	RG	EDS	42	-	-	-	-	-	<5	-	-	-	<5	21	50.0	23	54.8	447.7
140304	Baton Elementary	PK-05	MA	03	RG	FEM	33	-	-	-	-	-	<5	-	-	-	<5	22	66.7	22	66.7	449.2
140304	Baton Elementary	PK-05	MA	03	RG	FEM_WHTE	31	-	-	-	-	-	<5	-	-	-	<5	21	67.7	21	67.7	449.2
140304	Baton Elementary	PK-05	MA	03	RG	MALE	37	6	16.2	11	29.7	4	10.8	13	35.1	3	8.1	16	43.2	20	54.1	448.6
140304	Baton Elementary	PK-05	MA	03	RG	MALE_WHTE	37	6	16.2	11	29.7	4	10.8	13	35.1	3	8.1	16	43.2	20	54.1	448.6
140304	Baton Elementary	PK-05	MA	03	RG	NOT_EDS	28	-	-	-	-	-	-	-	-	-	<5	17	60.7	19	67.9	450.6
140304	Baton Elementary	PK-05	MA	03	RG	NOT_LEP	70	-	-	-	-	-	-	-	-	-	<5	38	54.3	42	60.0	448.9
140304	Baton Elementary	PK-05	MA	03	RG	NOT_SWD	60	8	13.3	12	20.0	4	6.7	33	55.0	3	5.0	36	60.0	40	66.7	450.0
140304	Baton Elementary	PK-05	MA	03	RG	SWD	10	-	-	-	-	-	<5	-	-	-	<5	2	20.0	2	20.0	442.2
140304	Baton Elementary	PK-05	MA	03	RG	WHTE	68	-	-	-	-	-	-	-	-	-	<5	37	54.4	41	60.3	448.8
140304	Baton Elementary	PK-05	MA	04	ALL	AIG	11	-	<5	-	-	-	<5	-	-	-	-	10	90.9	10	90.9	
140304	Baton Elementary	PK-05	MA	04	ALL	AIG_MATH	7	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	04	ALL	AIG_READ	6	-	<5	-	-	-	<5	-	-	-	-	5	83.3	5	83.3	
140304	Baton Elementary	PK-05	MA	04	ALL	ALL	61	-	-	-	-	-	<5	-	-	-	<5	24	39.3	27	44.3	
140304	Baton Elementary	PK-05	MA	04	ALL	EDS	33	-	-	-	-	-	-	-	-	-	<5	9	27.3	11	33.3	
140304	Baton Elementary	PK-05	MA	04	ALL	FEM	28	-	-	-	-	-	<5	-	-	-	<5	8	28.6	9	32.1	
140304	Baton Elementary	PK-05	MA	04	ALL	FEM_WHTE	27	-	-	-	-	-	<5	-	-	-	<5	8	29.6	9	33.3	
140304	Baton Elementary	PK-05	MA	04	ALL	MALE	33	-	-	-	-	-	-	-	-	-	<5	16	48.5	18	54.5	
140304	Baton Elementary	PK-05	MA	04	ALL	MALE_WHTE	29	-	-	-	-	-	-	-	-	-	<5	15	51.7	17	58.6	
140304	Baton Elementary	PK-05	MA	04	ALL	NOT_EDS	28	-	-	-	-	-	<5	-	-	-	-	15	53.6	16	57.1	
140304	Baton Elementary	PK-05	MA	04	ALL	NOT_LEP	60	-	-	-	-	-	-	-	-	-	<5	24	40.0	27	45.0	
140304	Baton Elementary	PK-05	MA	04	ALL	NOT_SWD	56	-	-	-	-	-	-	-	-	-	<5	24	42.9	27	48.2	
140304	Baton Elementary	PK-05	MA	04	ALL	SWD	5	-	-	-	-	-	<5	-	<5	-	<5	-	<5	-	<5	
140304	Baton Elementary	PK-05	MA	04	ALL	WHTE	56	-	-	-	-	-	-	-	-	-	<5	23	41.1	26	46.4	
140304	Baton Elementary	PK-05	MA	04	RG	AIG	11	-	<5	-	-	-	<5	-	-	-	-	10	90.9	10	90.9	454.4
140304	Baton Elementary	PK-05	MA	04	RG	AIG_MATH	7	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	455.4
140304	Baton Elementary	PK-05	MA	04	RG	AIG_READ	6	-	<5	-	-	-	<5	-	-	-	-	5	83.3	5	83.3	454.8
140304	Baton Elementary	PK-05	MA	04	RG	ALL	61	-	-	-	-	-	<5	-	-	-	<5	24	39.3	27	44.3	447.0
140304	Baton Elementary	PK-05	MA	04	RG	EDS	33	-	-	-	-	-	-	-	-	-	<5	9	27.3	11	33.3	445.0
140304	Baton Elementary	PK-05	MA	04	RG	FEM	28	-	-	-	-	-	<5	-	-	-	<5	8	28.6	9	32.1	446.7
140304	Baton Elementary	PK-05	MA	04	RG	FEM_WHTE	27	-	-	-	-	-	<5	-	-	-	<5	8	29.6	9	33.3	447.1
140304	Baton Elementary	PK-05	MA	04	RG	MALE	33	-	-	-	-	-	-	-	-	-	<5	16	48.5	18	54.5	447.2
140304	Baton Elementary	PK-05	MA	04	RG	MALE_WHTE	29	-	-	-	-	-	-	-	-	-	<5	15	51.7	17	58.6	448.0
140304	Baton Elementary	PK-05	MA	04	RG	NOT_EDS	28	-	-	-	-	-	<5	-	-	-	-	15	53.6	16	57.1	449.3
140304	Baton Elementary	PK-05	MA	04	RG	NOT_LEP	60	-	-	-	-	-	-	-	-	-	<5	24	40.0	27	45.0	447.2
140304	Baton Elementary	PK-05	MA	04	RG	NOT_SWD	56	-	-	-	-	-	-	-	-	-	<5	24	42.9	27	48.2	447.7
140304	Baton Elementary	PK-05	MA	04	RG	SWD	5	-	-	-	-	-	<5	-	<5	-	<5	-	<5	-	<5	438.8
140304	Baton Elementary	PK-05	MA	04	RG	WHTE	56	-	-	-	-	-	-	-	-	-	<5	23	41.1	26	46.4	447.6
140304	Baton Elementary	PK-05	MA	05	ALL	AIG	9	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	05	ALL	AIG_MATH	7	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	05	ALL	AIG_READ	8	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	05	ALL	ALL	68	9	13.2	20	29.4	4	5.9	24	35.3	11	16.2	35	51.5	39	57.4	
140304	Baton Elementary	PK-05	MA	05	ALL	EDS	45	7	15.6	13	28.9	3	6.7	17	37.8	5	11.1	22	48.9	25	55.6	
140304	Baton Elementary	PK-05	MA	05	ALL	FEM	34	-	-	-	-	-	<5	-	-	-	-	18	52.9	19	55.9	
