"RegionName"	"LEACode"	"LEAName"	"SchoolCode"	"SchoolName"	"CharterSchool"	"SchoolType"	"GradeSpan"	"TotalResidentChildren"	"#LowIncomeStudents"	"%LowIncomeStudents"	"SchoolServed"	"Eligibility-ProgramModel"	"EligibilitJustification"	"ProgramJustification"	"#StudentsServedTAS"	"GradesServedTAS"	"Served1stYear"	"Served1stYearComment"	"InEDDIE"	"SchoolYear"
Region 7	180	Catawba County Schools	180340	Fred T Foard High	N	Regular	 09-12	880	334	37.95	N	TAS							Y	2013-2014
Region 7	180	Catawba County Schools	180342	Jacobs Fork Middle	N	Regular	 07-08	571	251	43.96	N	SW							Y	2013-2014
Region 7	180	Catawba County Schools	180343	Lyle Creek Elementary	N	Regular	 KG-06	509	329	64.64	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	180	Catawba County Schools	180344	Maiden Elementary	N	Regular	 KG-06	558	341	61.11	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	180	Catawba County Schools	180346	Maiden Middle School	N	Regular	 07-08	503	260	51.69	N	SW							Y	2013-2014
Region 7	180	Catawba County Schools	180348	Maiden High	N	Regular	 09-12	736	350	47.55	N	SW							Y	2013-2014
Region 7	180	Catawba County Schools	180352	Mill Creek Middle	N	Regular	 07-08	434	162	37.33	N	TAS							Y	2013-2014
Region 7	180	Catawba County Schools	180356	Mountain View Elementary	N	Regular	 PK-06	777	323	41.57	N	SW							Y	2013-2014
Region 7	180	Catawba County Schools	180360	Oxford Elementary	N	Regular	 PK-06	636	406	63.84	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	180	Catawba County Schools	180364	River Bend Middle	N	Regular	 07-08	547	356	65.08	N	SW							Y	2013-2014
Region 7	180	Catawba County Schools	180368	Sherrills Ford Elementary	N	Regular	 KG-06	577	166	28.77	N	Not Eligible							Y	2013-2014
Region 7	180	Catawba County Schools	180372	Saint Stephens Elementary	N	Regular	 KG-06	732	618	84.43	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	180	Catawba County Schools	180376	Saint Stephens High	N	Regular	 09-12	991	527	53.18	N	SW							Y	2013-2014
Region 7	180	Catawba County Schools	180379	Snow Creek Elementary	N	Regular	 PK-06	573	257	44.85	Y	SW-SW					2013-2014		Y	2013-2014
Region 7	180	Catawba County Schools	180380	Startown Elementary	N	Regular	 PK-06	576	282	48.96	Y	SW-SW					2013-2014		Y	2013-2014
