"RegionName"	"LEACode"	"LEAName"	"SchoolCode"	"SchoolName"	"CharterSchool"	"SchoolType"	"GradeSpan"	"TotalResidentChildren"	"#LowIncomeStudents"	"%LowIncomeStudents"	"SchoolServed"	"Eligibility-ProgramModel"	"EligibilitJustification"	"ProgramJustification"	"#StudentsServedTAS"	"GradesServedTAS"	"Served1stYear"	"Served1stYearComment"	"InEDDIE"	"SchoolYear"
Region 3	330	Edgecombe County Public Schools	330326	Edgecombe Early College High	N	Regular	 09-13	136	49	36.03	N	TAS							Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330328	North Edgecombe High	N	Regular	 09-12	260	207	79.62	Y	SW-SW					2013-2014		Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330330	W A Pattillo School	N	Regular	 04-06	465	409	87.96	Y	SW-SW					2009-2010		Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330332	Phillips Middle	N	Regular	 06-08	200	182	91	Y	SW-SW					2001-2002		Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330334	Princeville Elementary	N	Regular	 PK-05	337	320	94.96	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330340	South Edgecombe Middle	N	Regular	 06-08	380	276	72.63	N	SW							Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330348	West Edgecombe Middle	N	Regular	 06-08	390	305	78.21	Y	SW-SW					2012-2013		Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330350	SouthWest Edgecombe High	N	Regular	 09-12	836	524	62.68	N	SW							Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330354	Stocks Elementary	N	Regular	 PK-03	542	467	86.16	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	330	Edgecombe County Public Schools	330358	Tarboro High	N	Regular	 09-12	613	391	63.78	N	SW							Y	2013-2014
Region 3	33A	North East Carolina Preparatory School	33A000	North East Carolina Prep	Y	Regular	 KG-09	900	450	50	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340308	Ashley Elementary	N	Regular	 PK-05	483	436	90.27	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340311	Atkins Academic & Tech High	N	Regular	 09-12	387	208	53.75	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340314	Bolton Elementary	N	Regular	 P2-05	517	445	86.07	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340320	Brunson Elementary	N	Regular	 KG-05	616	315	51.14	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340326	Caleb's Creek Elementary	N	Regular	 PK-05	923	339	36.73	N	TAS							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340330	Carver High	N	Regular	 09-12	554	479	86.46	Y	SW-SW					2009-2010		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340332	Career Center	N	Vocational	 NG-NG	0	0		N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340334	Cash Elementary	N	Regular	 PK-05	705	251	35.6	N	TAS							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340336	Carter High School	N	EC	 09-12	172	107	62.21	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340344	Childrens Center	N	EC	 P0-05	66	35	53.03	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340348	Clemmons Elementary	N	Regular	 KG-05	740	153	20.68	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340350	Clemmons Middle School	N	Regular	 06-08	878	452	51.48	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340351	Cook Elementary	N	Regular	 PK-05	246	241	97.97	Y	SW-SW					2004-2005		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340354	The Downtown School	N	Regular	 P3-08	382	41	10.73	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340362	Early College of Forsyth Co	N	Regular	 09-12	230	0	0	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340364	East Forsyth High	N	Regular	 09-12	1845	632	34.25	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340366	East Forsyth Middle School	N	Regular	 06-08	789	564	71.48	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340368	Easton Elementary School	N	Regular	 PK-05	526	519	98.67	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340372	Flat Rock Middle	N	Regular	 06-08	878	664	75.63	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340376	Forest Park Elementary	N	Regular	 P3-05	582	574	98.63	Y	SW-SW					2001-2002		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340380	Gibson Elementary	N	Regular	 PK-05	770	703	91.3	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340382	Robert B Glenn High School	N	Regular	 09-12	1619	810	50.03	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340384	Griffith Elementary	N	Regular	 PK-05	557	508	91.2	Y	SW-SW					2004-2005		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340385	Main Street Academy	N	Alternate	 06-12	144	131	90.97	Y	SW-SW					2008-2009		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340390	Hall-Woodward Elementary	N	Regular	 PK-05	737	711	96.47	Y	SW-SW					2004-2005		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340392	Hanes Middle School	N	Regular	 06-08	1050	362	34.48	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340398	Homebound/ Hospital Education	N	Regular	 KG-12	54	0	0	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340400	Ibraham Elementary	N	Regular	 PK-05	467	438	93.79	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340403	Jefferson Elementary	N	Regular	 KG-05	614	175	28.5	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340406	Thomas Jefferson Middle	N	Regular	 06-08	1247	400	32.08	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340416	Kernersville Elementary	N	Regular	 KG-05	888	643	72.41	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340420	Kernersville Middle	N	Regular	 06-08	802	322	40.15	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340424	Kimberley Park Elementary	N	Regular	 PK-05	275	270	98.18	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340426	Kimmel Farm Elementary	N	Regular	 KG-05	845	475	56.21	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340427	Kingswood School	N	Alternate	 KG-12	56	41	73.21	Y	SW-SW					2011-2012		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340428	Konnoak Elementary	N	Regular	 P3-05	707	658	93.07	Y	SW-SW					2004-2005		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340430	Diggs-Latham Elementary	N	Regular	 P3-05	467	447	95.72	Y	SW-SW					2002-2003		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340432	Lewisville Elementary	N	Regular	 KG-05	661	152	23	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340436	Lowrance Middle	N	EC	 UG-UG	131	81	61.83	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340440	Meadowlark Elementary	N	Regular	 KG-05	863	187	21.67	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340442	Meadowlark Middle	N	Regular	 06-08	1088	245	22.52	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340446	Middle College of Forsyth Cnty	N	Regular	 11-12	79	0	0	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340447	Middle Fork Elementary	N	Regular	 PK-05	322	288	89.44	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340448	Mineral Springs Elementary	N	Regular	 KG-05	670	641	95.67	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340452	Mineral Springs Middle	N	Regular	 06-08	479	454	94.78	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340453	Moore Magnet Elementary	N	Regular	 PK-05	644	377	58.54	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340454	Mount Tabor High School	N	Regular	 09-12	1557	616	39.56	N	TAS							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340457	Frank Morgan Elementary	N	Regular	 KG-05	712	230	32.3	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340460	North Forsyth High	N	Regular	 09-12	1169	789	67.49	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340462	North Hills Elementary	N	Regular	 PK-05	434	430	99.08	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340464	Northwest Middle	N	Regular	 06-08	928	643	69.29	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340472	Old Richmond Elementary	N	Regular	 KG-05	447	221	49.44	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340476	Old Town Elementary	N	Regular	 P3-05	625	612	97.92	Y	SW-SW					2004-2005		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340480	Paisley IB Magnet School	N	Regular	 06-10	813	450	55.35	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340486	Parkland High	N	Regular	 09-12	1251	966	77.22	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340488	J F Kennedy High	N	Alternate	 06-12	256	218	85.16	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340490	Petree Elementary	N	Regular	 P3-05	366	358	97.81	Y	SW-SW					2010-2011		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340492	Philo-Hill Magnet Academy	N	Regular	 06-08	510	489	95.88	Y	SW-SW					2003-2004		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340494	Piney Grove Elementary	N	Regular	 PK-05	625	169	27.04	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340495	Ronald W Reagan High School	N	Regular	 09-12	1774	307	17.31	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340496	R J Reynolds High	N	Regular	 09-12	1722	817	47.44	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340504	Rural Hall Elementary	N	Regular	 KG-05	637	320	50.24	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340508	Sedge Garden Elementary	N	Regular	 P3-05	862	391	45.36	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340512	Sherwood Forest Elementary	N	Regular	 P3-05	551	81	14.7	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340514	Smith Farm Elementary	N	Regular	 KG-03	169	0	0	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340516	Southeast Middle	N	Regular	 06-08	1257	551	43.83	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340520	South Fork Elementary	N	Regular	 PK-05	537	451	83.99	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340528	Southwest Elementary	N	Regular	 KG-05	454	197	43.39	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340530	Speas Elementary	N	Regular	 PK-05	385	347	90.13	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340531	The Special Children's School	N	EC	 P2-05	8	5	62.5	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340532	Union Cross Traditional Acad	N	Regular	 KG-05	832	377	45.31	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340536	Vienna Elementary	N	Regular	 KG-05	629	131	20.83	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340540	Walkertown Elementary	N	Regular	 PK-05	832	535	64.3	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340542	Walkertown High	N	Regular	 09-12	455	246	54.07	N	SW							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340544	Walkertown Middle	N	Regular	 06-08	747	476	63.72	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340548	Ward Elementary	N	Regular	 PK-05	700	465	66.43	Y	SW-SW					2013-2014		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340556	West Forsyth High	N	Regular	 09-12	2042	499	24.44	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340560	Whitaker Elementary	N	Regular	 KG-05	604	88	14.57	N	Not Eligible							Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340564	Wiley Middle	N	Regular	 06-08	491	387	78.82	Y	SW-SW					2009-2010		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340568	Winston-Salem Preparatory Acad	N	Regular	 06-12	402	357	88.81	Y	SW-SW					2009-2010		Y	2013-2014
Region 5	340	Winston Salem/Forsyth County Schools	340703	Jacket Academy at Carver 	N	Regular	 09-12	47	34	72.34	Y	SW-SW					2012-2013		Y	2013-2014
Region 5	34B	Quality Education Academy	34B000	Quality Education Academy	Y	Regular	 KG-12	498	448	89.96	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	34D	Carter G Woodson School	34D000	Carter G Woodson School	Y	Regular	 KG-12	441	437	99.09	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	34F	Forsyth Academy	34F000	Forsyth Academy	Y	Regular	 KG-08	721	506	70.18	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	34G	Arts Based School	34G000	The Arts Based School	Y	Regular	 KG-07	451	71	15.74	Y	TAS-TAS	Charter School		30	0K:01:02:03:04:05:06	2011-2012		Y	2013-2014
Region 5	34H	The North Carolina Leadership Academy	34H000	The North Carolina Leadership Academy	Y	Regular	 KG-09	455	66	14.51	Y	TAS-TAS	Charter School		66	0K:01:02:03:04:05:06:07:08:09	2013-2014		Y	2013-2014
Region 3	350	Franklin County Schools	350304	Bunn Elementary	N	Regular	 KG-05	707	490	69.31	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	350	Franklin County Schools	350308	Bunn High	N	Regular	 09-12	865	443	51.21	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350310	Bunn Middle	N	Regular	 06-08	696	430	61.78	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350312	Cedar Creek Middle	N	Regular	 06-08	552	263	47.64	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350316	Edward Best Elementary	N	Regular	 P0-05	479	336	70.15	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	350	Franklin County Schools	350317	Franklin County Early College	N	Regular	 09-13	123	58	47.15	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350318	Franklinton Elementary	N	Regular	 P0-05	479	354	73.9	Y	SW-SW					2004-2005		Y	2013-2014
Region 3	350	Franklin County Schools	350321	Franklinton High	N	Regular	 09-12	950	441	46.42	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350324	Franklinton Middle	N	Regular	 06-08	323	224	69.35	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350330	Laurel Mill Elementary	N	Regular	 P0-05	314	255	81.21	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	350	Franklin County Schools	350331	Long Mill Elementary	N	Regular	 P0-05	588	291	49.49	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	350	Franklin County Schools	350332	Louisburg Elementary	N	Regular	 P0-05	531	431	81.17	Y	SW-SW					2004-2005		Y	2013-2014
Region 3	350	Franklin County Schools	350336	Louisburg High	N	Regular	 09-12	579	338	58.38	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350338	Terrell Lane Middle	N	Regular	 06-08	450	313	69.56	N	SW							Y	2013-2014
Region 3	350	Franklin County Schools	350339	Royal Elementary	N	Regular	 P0-05	602	395	65.61	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	350	Franklin County Schools	350340	Youngsville Elementary	N	Regular	 KG-05	477	233	48.85	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	35A	Crosscreek Charter School	35A000	Crosscreek Charter School	Y	Regular	 KG-08	186	40	21.51	Y	TAS-TAS	Charter School		30	03:04:05:06:07:08	2006-2007		Y	2013-2014
Region 6	360	Gaston County Schools	360310	Ashbrook High	N	Regular	 09-12	1460	674	46.16	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360320	Belmont Central Elementary	N	Regular	 02-05	677	212	31.31	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360324	Belmont Middle	N	Regular	 06-08	763	305	39.97	N	TAS							Y	2013-2014
Region 6	360	Gaston County Schools	360332	Bessemer City Central Elem	N	Regular	 03-05	331	250	75.53	Y	SW-SW					2005-2006		Y	2013-2014
Region 6	360	Gaston County Schools	360336	Bessemer City High	N	Regular	 09-12	597	327	54.77	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360337	Gaston Early College High School	N	Regular	 09-13	114	46	40.35	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360338	Bessemer City Primary	N	Regular	 PK-02	397	260	65.49	Y	SW-SW					2005-2006		Y	2013-2014
Region 6	360	Gaston County Schools	360339	W B Beam Intermediate School	N	Regular	 04-05	228	123	53.95	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360340	Brookside Elementary	N	Regular	 PK-05	537	369	68.72	Y	SW-SW					2006-2007		Y	2013-2014
Region 6	360	Gaston County Schools	360344	Carr Elementary	N	Regular	 PK-05	708	530	74.86	Y	SW-SW					2006-2007		Y	2013-2014
Region 6	360	Gaston County Schools	360348	Catawba Heights Elementary	N	Regular	 PK-05	357	205	57.42	Y	SW-SW					2012-2013		Y	2013-2014
Region 6	360	Gaston County Schools	360352	Chapel Grove Elementary	N	Regular	 PK-05	479	337	70.35	Y	SW-SW					2009-2010		Y	2013-2014
Region 6	360	Gaston County Schools	360360	Cherryville High	N	Regular	 09-12	588	228	38.78	N	TAS							Y	2013-2014
Region 6	360	Gaston County Schools	360364	Cherryville Elementary	N	Regular	 PK-03	455	272	59.78	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360372	Warlick Academy	N	Alternate	 06-12	110	85	77.27	Y	SW-SW					2013-2014		Y	2013-2014
Region 6	360	Gaston County Schools	360376	Costner Elementary	N	Regular	 PK-05	629	286	45.47	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360378	Stuart W Cramer High	N	Regular	 09-10	200	1	0.5	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360380	Cramerton Middle	N	Regular	 06-08	860	257	29.88	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360390	East Gaston High	N	Regular	 09-12	1520	437	28.75	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360392	Edward D Sadler Jr  Elementary School	N	Regular	 PK-05	497	439	88.33	Y	SW-SW					2005-2006		Y	2013-2014
Region 6	360	Gaston County Schools	360394	Webb Street School	N	EC	 UG-UG	186	55	29.57	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360396	Forestview High	N	Regular	 09-12	1166	281	24.1	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360400	Gardner Park Elementary	N	Regular	 PK-05	635	444	69.92	Y	SW-SW					2010-2011		Y	2013-2014
Region 6	360	Gaston County Schools	360408	W P Grier Middle School	N	Regular	 06-08	729	550	75.45	Y	SW-SW					2011-2012		Y	2013-2014
Region 6	360	Gaston County Schools	360416	Hawks Nest Intermediate	N	Regular	 04-05	165	60	36.36	N	TAS							Y	2013-2014
Region 6	360	Gaston County Schools	360418	Highland Sch of Technology	N	Regular	 09-12	552	89	16.12	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360426	Holbrook Middle	N	Regular	 06-08	762	483	63.39	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360428	Hunter Huss High	N	Regular	 09-12	992	585	58.97	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360430	J B Page Primary School	N	Regular	 PK-01	351	108	30.77	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360431	John Chavis Middle School	N	Regular	 06-08	490	271	55.31	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360432	Kiser Elementary	N	Regular	 03-05	433	246	56.81	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360436	Bessemer City Middle	N	Regular	 06-08	603	453	75.12	Y	SW-SW					2010-2011		Y	2013-2014
Region 6	360	Gaston County Schools	360438	Lingerfeldt Elementary	N	Regular	 PK-05	460	406	88.26	Y	SW-SW					2006-2007		Y	2013-2014
Region 6	360	Gaston County Schools	360440	Lowell Elementary	N	Regular	 KG-05	546	313	57.33	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360448	McAdenville Elementary	N	Regular	 KG-05	140	88	62.86	Y	SW-SW					2010-2011		Y	2013-2014
Region 6	360	Gaston County Schools	360456	Mount Holly Middle	N	Regular	 06-08	765	377	49.28	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360460	Forest Heights Elementary	N	Regular	 PK-05	427	344	80.56	Y	SW-SW					2006-2007		Y	2013-2014
Region 6	360	Gaston County Schools	360464	New Hope Elementary	N	Regular	 KG-05	513	149	29.04	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360468	North Belmont Elementary	N	Regular	 PK-05	414	266	64.25	Y	SW-SW					2009-2010		Y	2013-2014
Region 6	360	Gaston County Schools	360470	North Gaston High	N	Regular	 09-12	1064	462	43.42	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360478	Pinewood Elementary	N	Regular	 PK-05	556	262	47.12	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360480	Pleasant Ridge Elementary	N	Regular	 PK-05	293	242	82.59	Y	SW-SW					2005-2006		Y	2013-2014
Region 6	360	Gaston County Schools	360482	Ida Rankin Elementary School	N	Regular	 PK-05	667	355	53.22	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360484	Rhyne Elementary	N	Regular	 PK-05	428	403	94.16	Y	SW-SW					2004-2005		Y	2013-2014
Region 6	360	Gaston County Schools	360488	Robinson Elementary	N	Regular	 PK-03	374	165	44.12	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360490	Sherwood Elementary	N	Regular	 PK-05	630	435	69.05	Y	SW-SW					2009-2010		Y	2013-2014
Region 6	360	Gaston County Schools	360492	H H Beam Elementary	N	Regular	 PK-05	578	501	86.68	Y	SW-SW					2006-2007		Y	2013-2014
Region 6	360	Gaston County Schools	360494	South Point High	N	Regular	 09-12	1294	304	23.49	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360498	Southwest Middle	N	Regular	 06-08	831	651	78.34	Y	SW-SW					2010-2011		Y	2013-2014
Region 6	360	Gaston County Schools	360499	Springfield Primary	N	Regular	 PK-02	471	266	56.48	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360500	Stanley Middle	N	Regular	 06-08	534	294	55.06	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360504	Tryon Elementary	N	Regular	 PK-05	353	243	68.84	Y	SW-SW					2006-2007		Y	2013-2014
Region 6	360	Gaston County Schools	360510	W A Bess Elementary School	N	Regular	 KG-05	626	214	34.19	N	Not Eligible							Y	2013-2014
Region 6	360	Gaston County Schools	360514	W C Friday Middle School	N	Regular	 06-08	660	394	59.7	N	SW							Y	2013-2014
Region 6	360	Gaston County Schools	360520	Woodhill Elementary	N	Regular	 PK-05	457	382	83.59	Y	SW-SW					2011-2012		Y	2013-2014
Region 6	360	Gaston County Schools	360526	York Chester Middle	N	Regular	 06-08	368	333	90.49	Y	SW-SW					2005-2006		Y	2013-2014
Region 6	36B	Piedmont Community Charter	36B000	Piedmont Community Charter School	Y	Regular	 KG-12	1168	220	18.84	Y	TAS-TAS	Charter School		65	1:02:03	2010-2011		Y	2013-2014
Region 6	36C	Mountain Island Charter	36C000	Mountain Island Charter	Y	Regular	 KG-10	815	32	3.93	N	Not Eligible							Y	2013-2014
Region 1	370	Gates County Schools	370304	Buckland Elementary	N	Regular	 PK-05	240	147	61.25	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	370	Gates County Schools	370308	Central Middle	N	Regular	 06-08	527	206	39.09	N	TAS							Y	2013-2014
Region 1	370	Gates County Schools	370312	Gates County Senior High	N	Regular	 09-12	688	263	38.23	N	TAS							Y	2013-2014
Region 1	370	Gates County Schools	370316	Gatesville Elementary	N	Regular	 PK-05	309	200	64.72	Y	SW-SW					2005-2006		Y	2013-2014
Region 1	370	Gates County Schools	370324	T S Cooper Elementary	N	Regular	 KG-05	234	141	60.26	Y	SW-SW					2005-2006		Y	2013-2014
Region 8	380	Graham County Schools	380306	Robbinsville Elementary	N	Regular	 PK-06	683	464	67.94	Y	SW-SW					2006-2007		Y	2013-2014
Region 8	380	Graham County Schools	380308	Robbinsville High	N	Regular	 PK-12	339	213	62.83	N	SW							Y	2013-2014
Region 8	380	Graham County Schools	380310	Robbinsville Middle	N	Regular	 07-08	205	126	61.46	N	SW							Y	2013-2014
Region 3	390	Granville County Schools	390309	Butner-Stem Middle	N	Regular	 06-08	472	279	59.11	N	SW							Y	2013-2014
Region 3	390	Granville County Schools	390311	Butner-Stem Elementary	N	Regular	 PK-05	488	354	72.54	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	390	Granville County Schools	390312	C. G. Credle Elementary	N	Regular	 PK-05	480	391	81.46	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	390	Granville County Schools	390314	Center For Innovative Learning	N	Alternate	 KG-12	59	52	88.14	Y	SW-SW					2013-2014		Y	2013-2014
Region 3	390	Granville County Schools	390316	Creedmoor Elementary	N	Regular	 PK-05	457	310	67.83	Y	SW-SW					2006-2007		Y	2013-2014
Region 3	390	Granville County Schools	390320	G. C. Hawley Middle	N	Regular	 06-08	700	296	42.29	N	SW							Y	2013-2014
Region 3	390	Granville County Schools	390322	Granville Central High	N	Regular	 09-12	571	327	57.27	N	SW							Y	2013-2014
Region 3	390	Granville County Schools	390323	Granville Early College High	N	Regular	 09-13	188	76	40.43	N	SW							Y	2013-2014
Region 3	390	Granville County Schools	390324	J. F. Webb High	N	Regular	 09-12	627	389	62.04	N	SW							Y	2013-2014
Region 3	390	Granville County Schools	390328	Granville Magnet School	N	Regular	 06-09	125	76	60.8	N	SW							Y	2013-2014
Region 3	390	Granville County Schools	390331	Mary Potter Middle	N	Regular	 06-08	439	294	66.97	Y	SW-SW					2012-2013		Y	2013-2014
