RegionName	LEACode	LEA Name	SchoolCode	School Name	CharterSchool	SchoolType	GradeSpan	TotalResident	# LowIncome	% LowIncome	SchoolServed	Eligibility -ProgramModel	EligibilityJustification	ProgramJustification	# StudentsServedTAS	GradesServedTAS	Served1st Year	Served1st YearComment	InEDDIE	SchoolYear
Region 6	130	Cabarrus County Schools	130330	R Brown  McAllister Elementary	N		0K,01,02,03,04,05	276	142	51.45	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	130	Cabarrus County Schools	130331	Pitts School Road Elementary	N		0K,01,02,03,04,05	916	294	32.1	N	Not Title I							Y	2014-2015
Region 6	130	Cabarrus County Schools	130332	Hickory Ridge High	N		09,10,11,12	1433	277	19.33	N	Not Title I							Y	2014-2015
Region 6	130	Cabarrus County Schools	130333	Performance Learning Center	N		09,10,11,12	138	67	48.55	N	SW							Y	2014-2015
Region 6	130	Cabarrus County Schools	130336	W R Odell Elementary	N		0K,01,02,03,04,05	914	192	21.01	N	Not Title I							Y	2014-2015
Region 6	130	Cabarrus County Schools	130338	Weddington Hills Elementary	N		0K,01,02,03,04,05	796	525	65.95	Y	SW-SW					2005-2006		Y	2014-2015
Region 6	130	Cabarrus County Schools	130340	Winecoff Elementary	N		PK,0K,01,02,03,04,05	882	634	71.88	Y	SW-SW					2004-2005		Y	2014-2015
Region 6	130	Cabarrus County Schools	130342	W M Irvin Elementary	N		PK,0K,01,02,03,04,05	860	602	70	Y	SW-SW					2004-2005		Y	2014-2015
Region 6	130	Cabarrus County Schools	130344	Wolf Meadow Elementary	N		0K,01,02,03,04,05	594	594	100	Y	SW-SW					2005-2006		Y	2014-2015
Region 6	130	Cabarrus County Schools	130345	Patriots Elementary	N		0K,01,02,03,04,05	862	288	33.41	N	Not Title I							Y	2014-2015
Region 6	130	Cabarrus County Schools	130346	Hickory Ridge Middle	N		06,07,08	1141	241	21.12	N	Not Title I							Y	2014-2015
Region 6	130	Cabarrus County Schools	130350	Cabarrus-Kannapolis Early Coll	N		09,10,11,12,13	224	101	45.09	N	SW							Y	2014-2015
Region 6	130	Cabarrus County Schools	130355	Harold E. Winkler Middle	N		06,07,08	990	500	50.51	N	SW							Y	2014-2015
Region 6	132	Kannapolis City Schools	132304	A L Brown High	N		09,10,11,12	1386	847	61.11	N	SW							Y	2014-2015
Region 6	132	Kannapolis City Schools	132308	Forest Park Elementary	N		0K,01,02,03,04	595	405	68.07	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	132	Kannapolis City Schools	132312	Fred L Wilson Elementary	N		PK,0K,01,02,03,04	421	356	84.56	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	132	Kannapolis City Schools	132328	Jackson Park Elementary	N		0K,01,02,03,04	480	376	78.33	Y	SW-SW					2004-2005		Y	2014-2015
Region 6	132	Kannapolis City Schools	132329	Kannapolis Intermediate	N		05,06	875	670	76.57	Y	SW-SW					2005-2006		Y	2014-2015
Region 6	132	Kannapolis City Schools	132330	Kannapolis Middle	N		07,08	825	606	73.45	N	SW							Y	2014-2015
Region 6	132	Kannapolis City Schools	132332	Shady Brook Elementary	N		0K,01,02,03,04	397	297	74.81	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	132	Kannapolis City Schools	132336	Woodrow Wilson Elementary	N		PK,0K,01,02,03,04	487	414	85.01	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	13A	Carolina International School	13A000	Carolina International School	Y		0K,01,02,03,04,05,06,07,08,09,10,11	711	0	0	N	Not Title I							Y	2014-2015
Region 6	13B	Cabarrus Charter Academy	13B000	Cabarrus Charter Academy	Y		0K,01,02,03,04,05,06,07	903	75	8.31	Y	TAS-SW	Charter School	Always SW			2014-2015		Y	2014-2015
Region 6	13C	A.C.E. Academy	13C000	A.C.E. Academy	Y		0K,01,02,03,04,05	155	67	43.23	Y	SW-SW					2014-2015		Y	2014-2015
Region 7	140	Caldwell County Schools	140304	Baton Elementary	N		PK,0K,01,02,03,04,05	416	287	68.99	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140305	Caldwell Career Cen Mid. Coll.	N		09,10,11,12	193	75	38.86	N	TAS							Y	2014-2015
Region 7	140	Caldwell County Schools	140306	Gateway School	N		06,07,08,09,10,11,12	31	27	87.1	Y	SW-SW					2005-2006		Y	2014-2015
Region 7	140	Caldwell County Schools	140307	Horizons Elementary	N		0K,01,02,03,04,05	37	31	83.78	Y	SW-SW					2005-2006		Y	2014-2015
Region 7	140	Caldwell County Schools	140308	Collettsville School	N		0K,01,02,03,04,05,06,07,08	343	212	61.81	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140309	Caldwell Early College	N		09,10,11,12,13	292	55	18.84	N	Not Title I							Y	2014-2015
Region 7	140	Caldwell County Schools	140312	Davenport A+ School	N		0K,01,02,03,04,05	517	353	68.28	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140316	Dudley Shoals Elementary	N		PK,0K,01,02,03,04,05	504	272	53.97	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140324	Gamewell Elementary	N		PK,0K,01,02,03,04,05	539	383	71.06	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140332	Gamewell Middle	N		06,07,08	625	496	79.36	Y	SW-SW					2002-2003		Y	2014-2015
Region 7	140	Caldwell County Schools	140336	Granite Falls Middle	N		06,07,08	640	305	47.66	Y	SW-SW					2005-2006		Y	2014-2015
Region 7	140	Caldwell County Schools	140340	Granite Falls Elementary	N		0K,01,02,03,04,05	666	332	49.85	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140344	Happy Valley Elementary	N		0K,01,02,03,04,05,06,07,08	281	174	61.92	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140348	Hibriten High	N		09,10,11,12	708	355	50.14	N	SW							Y	2014-2015
Region 7	140	Caldwell County Schools	140352	Hudson Elementary	N		PK,0K,01,02,03,04,05	751	435	57.92	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140356	Hudson Middle	N		06,07,08	749	410	54.74	Y	SW-SW					2002-2003		Y	2014-2015
Region 7	140	Caldwell County Schools	140360	Kings Creek Elementary	N		PK,0K,01,02,03,04,05,06,07,08	233	159	68.24	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140368	William Lenoir Middle	N		06,07,08	485	294	60.62	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140372	Lower Creek Elementary	N		0K,01,02,03,04,05	367	156	42.51	Y	SW-SW					2005-2006		Y	2014-2015
Region 7	140	Caldwell County Schools	140376	Oak Hill Elementary	N		0K,01,02,03,04,05,06,07,08	137	78	56.93	Y	SW-SW					2005-2006		Y	2014-2015
Region 7	140	Caldwell County Schools	140384	Sawmills Elementary	N		0K,01,02,03,04,05	318	178	55.97	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140386	South Caldwell High	N		09,10,11,12	1376	502	36.48	N	TAS							Y	2014-2015
Region 7	140	Caldwell County Schools	140388	Valmead Elementary	N		PK,0K,01,02,03,04,05	210	191	90.95	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140390	West Caldwell High	N		09,10,11,12	753	465	61.75	N	SW							Y	2014-2015
Region 7	140	Caldwell County Schools	140392	West Lenoir Elementary	N		0K,01,02,03,04,05	169	166	98.22	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	140	Caldwell County Schools	140396	Whitnel Elementary	N		PK,0K,01,02,03,04,05	329	262	79.64	Y	SW-SW					2006-2007		Y	2014-2015
Region 1	150	Camden County Schools	150304	Camden County High	N		09,10,11,12	429	120	27.97	N	Not Title I							Y	2014-2015
Region 1	150	Camden County Schools	150308	Grandy Primary	N		PK,0K,01,02,03	542	218	40.22	Y	SW-TAS			100		2006-2007		Y	2014-2015
