RegionName	LEACode	LEA Name	SchoolCode	School Name	CharterSchool	SchoolType	GradeSpan	TotalResident	# LowIncome	% LowIncome	SchoolServed	Eligibility -ProgramModel	EligibilityJustification	ProgramJustification	# StudentsServedTAS	GradesServedTAS	Served1st Year	Served1st YearComment	InEDDIE	SchoolYear
Region 8	20A	The Learning Center	20A000	The Learning Center	Y		0K,01,02,03,04,05,06,07,08	176	126	71.59	Y	SW-SW					2006-2007		Y	2014-2015
Region 1	210	Edenton-Chowan Schools	210304	Chowan Middle	N		06,07,08	554	351	63.36	N	SW							Y	2014-2015
Region 1	210	Edenton-Chowan Schools	210306	D F Walker Elementary	N		03,04,05	478	311	65.06	Y	SW-SW					2002-2003		Y	2014-2015
Region 1	210	Edenton-Chowan Schools	210312	John A Holmes High	N		09,10,11,12	663	382	57.62	N	SW							Y	2014-2015
Region 1	210	Edenton-Chowan Schools	210316	White Oak Elementary	N		PK,0K,01,02	627	449	71.61	Y	SW-SW					2002-2003		Y	2014-2015
Region 8	220	Clay County Schools	220308	Hayesville Elementary	N		PK,0K,01,02,03,04	614	370	60.26	Y	SW-SW					2006-2007		Y	2014-2015
Region 8	220	Clay County Schools	220310	Hayesville High	N		09,10,11,12	346	159	45.95	N	SW							Y	2014-2015
Region 8	220	Clay County Schools	220312	Hayesville Middle	N		05,06,07,08	442	267	60.41	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230304	Bethware Elementary	N		PK,0K,01,02,03,04	409	269	65.77	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230308	Boiling Springs Elementary	N		PK,0K,01,02,03,04,05	522	278	53.26	Y	SW-SW					2009-2010		Y	2014-2015
Region 6	230	Cleveland County Schools	230312	Burns High	N		09,10,11,12	1046	608	58.13	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230316	Burns Middle	N		06,07,08	863	576	66.74	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230320	Casar Elementary	N		PK,0K,01,02,03,04,05	269	175	65.06	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230322	Cleveland ECHS	N		09,10,11,12,13	209	133	63.64	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230324	Crest High	N		09,10,11,12	1194	583	48.83	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230328	Crest Middle	N		06,07,08	945	550	58.2	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230330	Turning Point Academy	N		06,07,08,09,10,11,12	156	138	88.46	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230334	East Elementary	N		PK,0K,01,02,03,04	250	189	75.6	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230336	Shelby Intermediate	N		05,06	465	330	70.97	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230340	Fallston Elementary	N		PK,0K,01,02,03,04,05	529	346	65.41	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230342	Graham Elementary	N		PK,0K,01,02,03,04	272	255	93.75	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230344	Grover Elementary	N		PK,0K,01,02,03,04	341	264	77.42	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230346	James Love Elementary	N		PK,0K,01,02,03,04	326	299	91.72	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230348	Jefferson Elementary	N		PK,0K,01,02,03,04	386	230	59.59	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230350	Kings Mountain High	N		09,10,11,12	1213	590	48.64	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230351	Kings Mountain Intermediate	N		05,06	652	407	62.42	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230352	Kings Mountain Middle	N		07,08	660	393	59.55	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230355	Marion Elementary	N		PK,0K,01,02,03,04	320	225	70.31	Y	SW-SW					2011-2012		Y	2014-2015
Region 6	230	Cleveland County Schools	230357	North Elementary	N		PK,0K,01,02,03,04	236	167	70.76	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230359	North Shelby	N		PK,0K,01,02,03,04,05,06,07,08,09,10,11,12	132	105	79.55	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230361	Shelby High	N		09,10,11,12	791	485	61.31	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230362	Shelby Middle	N		07,08	482	341	70.75	N	SW							Y	2014-2015
Region 6	230	Cleveland County Schools	230364	Springmore Elementary	N		PK,0K,01,02,03,04,05	663	342	51.58	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230368	Township Three Elementary	N		PK,0K,01,02,03,04,05	668	538	80.54	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230370	Union Elementary	N		PK,0K,01,02,03,04,05	375	269	71.73	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230376	Washington Elementary	N		PK,0K,01,02,03,04,05	373	308	82.57	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	230	Cleveland County Schools	230380	West Elementary	N		PK,0K,01,02,03,04	321	164	51.09	Y	SW-SW					2009-2010		Y	2014-2015
Region 6	23A	Pinnacle Classical Academy	23A000	Pinnacle Classical Academy	Y		0K,01,02,03,04,05,06,07	370	95	25.68	N	Not Title I							Y	2014-2015
Region 4	240	Columbus County Schools	240304	Acme Delco Middle	N		06,07,08	159	126	79.25	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	240	Columbus County Schools	240308	Acme Delco Elementary	N		PK,0K,01,02,03,04,05	374	363	97.06	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	240	Columbus County Schools	240328	Cerro Gordo Elementary	N		PK,0K,01,02,03,04,05,06,07,08	377	355	94.16	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	240	Columbus County Schools	240330	Chadbourn Middle	N		06,07,08	152	152	100	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	240	Columbus County Schools	240332	Chadbourn Elementary	N		PK,0K,01,02,03,04,05	298	298	100	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	240	Columbus County Schools	240334	East Columbus High	N		09,10,11,12	495	298	60.2	N	SW					2014-2015		Y	2014-2015
Region 4	240	Columbus County Schools	240344	Evergreen Elementary	N		PK,0K,01,02,03,04,05,06,07,08	305	305	100	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	240	Columbus County Schools	240352	Guideway Elementary	N		PK,0K,01,02,03,04,05	166	166	100	Y	SW-SW					2002-2003		Y	2014-2015
Region 4	240	Columbus County Schools	240354	Hallsboro-Artesia Elementary	N		PK,0K,01,02,03,04,05	406	406	100	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	240	Columbus County Schools	240356	Hallsboro Middle	N		06,07,08	224	174	77.68	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	240	Columbus County Schools	240368	Nakina Middle	N		06,07,08	226	160	70.8	Y	SW-SW					2009-2010		Y	2014-2015
Region 4	240	Columbus County Schools	240370	Old Dock Elementary	N		PK,0K,01,02,03,04,05	241	171	70.95	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	240	Columbus County Schools	240371	South Columbus High	N		09,10,11,12	739	362	48.99	N	SW					2014-2015		Y	2014-2015
Region 4	240	Columbus County Schools	240372	Tabor City Elementary	N		PK,0K,01,02,03,04,05	408	408	100	Y	SW-SW					2003-2004		Y	2014-2015
Region 4	240	Columbus County Schools	240373	CCCA - Fair Bluff /Southeastern Campuses	N		09,10,11,12,13	195	96	49.23	N	SW					2014-2015		Y	2014-2015
Region 4	240	Columbus County Schools	240376	Tabor City Middle	N		06,07,08	241	241	100	Y	SW-SW					2002-2003		Y	2014-2015
Region 4	240	Columbus County Schools	240380	West Columbus High	N		09,10,11,12	441	315	71.43	N	SW					2014-2015		Y	2014-2015
Region 4	240	Columbus County Schools	240388	Williams Township	N		PK,0K,01,02,03,04,05,06,07,08	713	576	80.79	Y	SW-SW					2002-2003		Y	2014-2015
Region 4	241	Whiteville City Schools	241304	Central Middle	N		06,07,08	511	346	67.71	Y	SW-SW					2002-2003		Y	2014-2015
Region 4	241	Whiteville City Schools	241308	Edgewood Elementary	N		03,04,05	475	380	80	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	241	Whiteville City Schools	241312	North Whiteville Academy	N		03,04,05,06,07,08,09,10,11,12	23	21	91.3	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	241	Whiteville City Schools	241316	Whiteville High	N		09,10,11,12	718	412	57.38	Y	SW-SW					2009-2010		Y	2014-2015
Region 4	241	Whiteville City Schools	241320	Whiteville Primary	N		PK,0K,01,02	590	505	85.59	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	24B	Flemington Academy	24B000	Flemington Academy	Y		06,07,08,09,10,11,12	73	68	93.15	Y	SW-SW					2014-2015		Y	2014-2015
Region 4	24N	Columbus Charter School	24N000	Columbus Charter School	Y		0K,01,02,03,04,05,06,07,08	821	346	42.14	Y	SW-SW					2008-2009		Y	2014-2015
Region 2	250	Craven County Schools	250304	Albert H Bangert Elementary	N		0K,01,02,03,04,05	354	203	57.34	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250306	Ben D Quinn Elementary	N		PK,0K,01,02,03,04,05	504	294	58.33	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250308	Bridgeton Elementary	N		0K,01,02,03,04,05	489	310	63.39	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250312	Brinson Memorial Elementary	N		0K,01,02,03,04,05	679	292	43	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250314	Craven Early College High	N		09,10,11,12,13	162	68	41.98	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250316	Creekside Elementary	N		0K,01,02,03,04,05	603	169	28.03	N	Not Title I							Y	2014-2015
Region 2	250	Craven County Schools	250320	Vanceboro-Farm Life Elementary	N		PK,0K,01,02,03,04,05	610	487	79.84	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250321	Early College EAST High	N		09,10,11,12,13	176	53	30.11	N	Not Title I							Y	2014-2015
Region 2	250	Craven County Schools	250324	Grover C Fields Middle	N		06,07,08	614	416	67.75	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250328	Graham A Barden Elementary	N		PK,0K,01,02,03,04,05	349	235	67.34	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250332	H J MacDonald Middle	N		06,07,08	895	439	49.05	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250336	Havelock Elementary	N		0K,01,02,03,04,05	363	240	66.12	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250340	Havelock High	N		09,10,11,12	1022	463	45.3	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250344	Havelock Middle	N		06,07,08	450	307	68.22	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250348	J T Barber Elementary	N		PK,0K,01,02,03,04,05	370	315	85.14	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250350	James W Smith Elementary	N		PK,0K,01,02,03,04,05	564	452	80.14	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250356	New Bern High	N		09,10,11,12	1514	751	49.6	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250360	Oaks Road Elementary	N		0K,01,02,03,04,05	410	376	91.71	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250362	Roger R Bell Elementary	N		0K,01,02,03,04,05	370	265	71.62	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250364	Trent Park Elementary	N		0K,01,02,03,04,05	418	317	75.84	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250368	Tucker Creek Middle	N		06,07,08	443	188	42.44	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250372	West Craven High	N		09,10,11,12	878	502	57.18	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250376	West Craven Middle	N		06,07,08	849	608	71.61	N	SW							Y	2014-2015
Region 2	250	Craven County Schools	250378	W Jesse Gurganus Elementary	N		0K,01,02,03,04,05	480	211	43.96	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	250	Craven County Schools	250380	Arthur W Edwards Elementary	N		0K,01,02,03,04,05	461	244	52.93	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260302	Alma O Easom Elementary	N		0K,01	288	116	40.28	Y	SW-SW					2014-2015		Y	2014-2015
Region 4	260	Cumberland County Schools	260306	Armstrong Elementary	N		PK,0K,01,02,03,04,05	413	268	64.89	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260308	Ashley Elementary	N		03,04,05	239	140	58.58	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260310	Loyd E Auman Elementary	N		PK,0K,01,02,03,04,05	553	382	69.08	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260312	Beaver Dam Elementary	N		P3,0K,01,02,03,04,05	109	63	57.8	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260316	Lillian Black Elementary	N		0K,01,02,03,04,05	217	165	76.04	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260318	Jack Britt High	N		09,10,11,12	1739	486	27.95	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260320	Brentwood Elementary	N		PK,0K,01,02,03,04,05	529	455	86.01	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260321	Douglas Byrd Middle	N		06,07,08	726	613	84.44	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260322	Douglas Byrd High	N		09,10,11,12	1031	804	77.98	Y	SW-SW					2012-2013		Y	2014-2015
Region 4	260	Cumberland County Schools	260325	Cape Fear High	N		09,10,11,12	1370	616	44.96	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260326	Elizabeth M Cashwell Elementary	N		PK,0K,01,02,03,04,05	691	584	84.52	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260332	Eastover Central Elementary	N		PK,0K,01,02,03,04,05	448	151	33.71	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260336	Anne Chesnutt Middle	N		06,07,08	649	397	61.17	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260338	Cliffdale Elementary	N		PK,0K,01,02,03,04,05	606	479	79.04	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260340	College Lakes Elementary	N		PK,0K,01,02,03,04,05	403	279	69.23	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260342	C Wayne Collier Elementary	N		PK,0K,01,02,03,04,05	587	372	63.37	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260344	J W Coon Elementary	N		PK,0K,01,02,03,04,05	248	205	82.66	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260347	Cumberland International Early CollegeHS	N		09,10,11,12	169	89	52.66	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260348	Cumberland Mills Elementary	N		PK,0K,01,02,03,04,05	655	504	76.95	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260352	Cumberland Road Elementary	N		PK,0K,01,02,03,04,05	408	329	80.64	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260354	Cross Creek Early College	N		09,10,11,12	221	122	55.2	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260356	District No 7 Elementary	N		PK,0K,01,02,03,04,05	253	129	50.99	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260357	Grays Creek High	N		09,10,11,12	1179	409	34.69	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260358	Luther Nick Jeralds Middle	N		06,07,08	543	466	85.82	Y	SW-SW					2002-2003		Y	2014-2015
Region 4	260	Cumberland County Schools	260359	E E Smith High	N		09,10,11,12	1050	631	60.1	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260361	Ferguson-Easley Elementary	N		PK,0K,01,02,03,04,05	359	311	86.63	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260362	Grays Creek Middle	N		06,07,08	1048	509	48.57	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260363	Glendale Acres Elementary	N		0K,01,02	243	164	67.49	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260364	Alderman Road Elementary	N		PK,0K,01,02,03,04,05	640	389	60.78	Y	SW-SW					2002-2003		Y	2014-2015
Region 4	260	Cumberland County Schools	260365	R Max Abbott Middle	N		06,07,08	887	491	55.36	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260366	Howard L Hall Elementary	N		0K,01,02,03,04,05	648	224	34.57	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260367	Bill Hefner Elementary	N		0K,01,02,03,04,05	756	469	62.04	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260368	Hope Mills Middle	N		06,07,08	714	395	55.32	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260369	John R Griffin Middle	N		06,07,08	971	311	32.03	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260370	Ed V Baldwin Elementary	N		PK,0K,01,02,03,04,05	709	399	56.28	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260371	Ireland Drive Middle	N		06,07,08	382	317	82.98	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260372	Lewis Chapel Middle	N		06,07,08	642	472	73.52	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260373	Gallberry Farm Elementary	N		PK,0K,01,02,03,04,05	861	436	50.64	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260374	Alger B. Wilkins High School PLC	N		09,10,11,12	127	89	70.08	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260375	Grays Creek Elementary	N		PK,0K,01,02,03,04,05	439	195	44.42	Y	SW-SW					2009-2010		Y	2014-2015
Region 4	260	Cumberland County Schools	260380	Long Hill Elementary	N		PK,02,03,04,05	535	168	31.4	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260382	Lucile Souders Elementary	N		PK,0K,01,02,03,04,05	472	375	79.45	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260383	Mac Williams Middle	N		06,07,08	1165	608	52.19	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260386	Margaret Willis Elementary	N		PK,0K,01,02,03,04,05	327	260	79.51	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260388	Massey Hill Classical High	N		09,10,11,12	319	82	25.71	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260396	Mary McArthur Elementary	N		PK,0K,01,02,03,04,05	443	334	75.4	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260397	E Melvin Honeycutt Elementary	N		PK,0K,01,02,03,04,05	764	296	38.74	N	TAS							Y	2014-2015
Region 4	260	Cumberland County Schools	260398	E E Miller Elementary	N		PK,0K,01,02,03,04,05	545	340	62.39	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260400	Montclair Elementary	N		PK,0K,01,02,03,04,05	482	373	77.39	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260401	Morganton Road Elementary	N		0K,01,02,03,04,05	552	392	71.01	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260402	Manchester Elementary	N		0K,01,02,03,04,05	426	325	76.29	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260403	New Century International Elementary	N		PK,0K,01,02,03,04,05	734	360	49.05	Y	SW-SW					2011-2012		Y	2014-2015
Region 4	260	Cumberland County Schools	260404	William H Owen Elementary	N		PK,0K,01,02,03,04,05	462	374	80.95	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260405	Walker Spivey Elementary	N		0K,01,02,03,04,05	321	315	98.13	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260406	Pine Forest Middle	N		06,07,08	817	334	40.88	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260407	Lake Rim Elementary	N		PK,0K,01,02,03,04,05	669	369	55.16	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260408	Pine Forest High	N		09,10,11,12	1517	762	50.23	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260410	Ponderosa Elementary	N		PK,0K,01,02,03,04,05	386	293	75.91	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260411	Reid Ross Classical High	N		09,10,11,12	300	143	47.67	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260412	Raleigh Road Elementary	N		0K,01	256	85	33.2	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260413	Pauline Jones Middle	N		05,06,07,08	73	56	76.71	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260414	Benjamin J Martin Elementary	N		PK,0K,01,02,03,04,05	519	374	72.06	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260415	Rockfish Elementary	N		0K,01,02,03,04,05	770	374	48.57	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260416	J W Seabrook Elementary	N		PK,0K,01,02,03,04,05	284	201	70.77	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260417	New Century International Middle	N		06,07,08	385	170	44.16	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260418	Seventy-First Classical Middle	N		06,07,08	513	203	39.57	N	TAS							Y	2014-2015
Region 4	260	Cumberland County Schools	260419	Reid Ross Classical Middle	N		06,07,08	422	269	63.74	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260424	Seventy-First High	N		09,10,11,12	1410	839	59.5	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260425	South View Middle	N		06,07,08	716	477	66.62	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260426	Sherwood Park Elementary	N		PK,0K,01,02,03,04,05	438	342	78.08	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	260	Cumberland County Schools	260427	South View High	N		09,10,11,12	1575	856	54.35	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260428	Spring Lake Middle	N		06,07,08	502	374	74.5	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260430	Stedman Elementary	N		0K,01,02,03,04,05	317	169	53.31	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260432	Stedman Primary	N		PK,01	162	88	54.32	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260434	Stoney Point Elementary	N		PK,0K,01,02,03,04,05	796	204	25.63	N	Not Title I							Y	2014-2015
Region 4	260	Cumberland County Schools	260440	Sunnyside Elementary	N		PK,0K,01,02,03,04,05	387	294	75.97	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260444	Teresa C Berrien Elementary	N		0K,01,02,03,04,05	192	170	88.54	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260446	Terry Sanford High	N		09,10,11,12	1147	466	40.63	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260448	Vanstory Hills Elementary	N		02,03,04,05	537	206	38.36	N	TAS							Y	2014-2015
Region 4	260	Cumberland County Schools	260449	Ramsey Street High	N		09,10,11,12	95	62	65.26	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260450	Warrenwood Elementary	N		PK,0K,01,02,03,04,05	498	384	77.11	Y	SW-SW					2004-2005		Y	2014-2015
Region 4	260	Cumberland County Schools	260452	Westarea Elementary	N		PK,0K,01,02,03,04,05	573	486	84.82	Y	SW-SW					2003-2004		Y	2014-2015
Region 4	260	Cumberland County Schools	260454	Westover Middle	N		06,07,08	775	585	75.48	Y	SW-SW					2014-2015		Y	2014-2015
Region 4	260	Cumberland County Schools	260455	Westover High	N		09,10,11,12	1018	723	71.02	N	SW							Y	2014-2015
Region 4	260	Cumberland County Schools	260459	William T Brown Elementary	N		PK,0K,01,02,03,04,05	637	457	71.74	Y	SW-SW					2006-2007		Y	2014-2015
Region 4	260	Cumberland County Schools	260700	Howard Health & Life Sciences	N		PK,09,10,11,12	137	64	46.72	N	SW							Y	2014-2015
Region 4	26B	Alpha Academy	26B000	Alpha Academy	Y		0K,01,02,03,04,05,06,07,08	650	550	84.62	Y	SW-SW					2005-2006		Y	2014-2015
Region 4	26C	The Capitol Encore Academy	26C000	The Capitol Encore Academy	Y		0K,01,02,03,04,05	225	92	40.89	Y	SW-SW					2014-2015		Y	2014-2015
Region 1	270	Currituck County Schools	270304	Central Elementary	N		PK,0K,01,02,03,04,05	210	133	63.33	Y	SW-SW					2006-2007		Y	2014-2015
Region 1	270	Currituck County Schools	270306	Currituck County High	N		09,10,11,12	946	314	33.19	N	Not Title I							Y	2014-2015
Region 1	270	Currituck County Schools	270308	Currituck County Middle	N		06,07,08	339	155	45.72	N	SW							Y	2014-2015
Region 1	270	Currituck County Schools	270309	Jarvisburg Elementary	N		PK,0K,01,02,03,04,05	266	150	56.39	Y	SW-SW					2006-2007		Y	2014-2015
Region 1	270	Currituck County Schools	270310	Shawboro Elementary School	N		0K,01,02,03,04,05	507	219	43.2	Y	SW-SW					2006-2007		Y	2014-2015
Region 1	270	Currituck County Schools	270311	The JP Knapp ECH (i)School	N		09,10,11,12,13	233	59	25.32	N	Not Title I							Y	2014-2015
Region 1	270	Currituck County Schools	270312	Knotts Island Elementary	N		0K,01,02,03,04,05	94	44	46.81	Y	SW-TAS			25		2006-2007		Y	2014-2015
Region 1	270	Currituck County Schools	270316	Moyock Elementary	N		0K,01,02,03,04,05	486	128	26.34	N	Not Title I							Y	2014-2015
Region 1	270	Currituck County Schools	270318	Moyock Middle	N		06,07,08	576	178	30.9	N	Not Title I							Y	2014-2015
Region 1	270	Currituck County Schools	270320	W T Griggs Elementary	N		0K,01,02,03,04,05	250	160	64	Y	SW-SW					2006-2007		Y	2014-2015
Region 1	27A	Water's Edge Village School	27A000	Water's Edge Village School	Y		0K,01,02,03,04,05,06	19	5	26.32	N	Not Title I							Y	2014-2015
Region 1	280	Dare County Schools	280302	Cape Hatteras Elementary School	N		PK,0K,01,02,03,04,05	311	190	61.09	Y	SW-SW					2006-2007		Y	2014-2015
Region 1	280	Dare County Schools	280304	Cape Hatteras Secondary School	N		06,07,08,09,10,11,12	283	151	53.36	N	SW							Y	2014-2015
Region 1	280	Dare County Schools	280306	Dare County Alternative School	N		09,10,11,12	29	29	100	N	SW							Y	2014-2015
Region 1	280	Dare County Schools	280308	Kitty Hawk Elementary School	N		0K,01,02,03,04,05	460	112	24.35	N	Not Title I							Y	2014-2015
