2015-16 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
* or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	SBE District	Grade Span	Title I School	SPG Grade	SPG Score	Reading SPG Grade	Reading SPG Score	Math SPG Grade	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Participation Denominator	Percent Participation	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WorkKeys Percent	Passing      Math III Denominator	Passing Math III Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	Math I Denominator	Math I Percent College/Career Ready	Math I Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
Alamance-Burlington Schools	010328	Edwin M Holt Elementary	Piedmont Triad Region	0K-05	Y	B	73	B	73	B	72	Met	1.6	11	100.0													722	60.4	69.8										100	74.0	81.0	87	58.6	64.4	116	56.9	60.3										100	65.0	76.0	87	57.5	70.1	116	47.4	65.5										116	64.7	72.4			
Alamance-Burlington Schools	010340	Elon Elementary	Piedmont Triad Region	PK-05	Y	C	64	C	63	C	61	Met	1.23	17	100.0													816	50.5	59.3										130	56.9	66.9	130	32.3	39.2	99	53.5	61.6										130	53.8	59.2	130	50.0	62.3	99	45.5	57.6										98	64.3	71.4			
Alamance-Burlington Schools	010346	B Everett Jordan Elem	Piedmont Triad Region	0K-05	Y	C	61	C	63	C	60	Met	-0.03	11	100.0													458	43.4	56.6										66	48.5	66.7	58	39.7	51.7	70	31.4	47.1										66	56.1	59.1	58	56.9	70.7	70	31.4	45.7										70	42.9	57.1			
Alamance-Burlington Schools	010347	Garrett Elementary	Piedmont Triad Region	PK-05	Y	C	63	C	61	C	61	Met	0.51	17	100.0													808	47.6	58.5										111	43.2	59.5	128	32.8	40.6	110	65.5	69.1										111	53.2	62.2	128	43.8	50.0	110	40.0	59.1										110	58.2	73.6			
Alamance-Burlington Schools	010348	Graham High	Piedmont Triad Region	09-12	Y	C	57					Met	0.35	30	90.0	N		171	31.6	43	69.8	154	>95	189	83.1	218	84.4	688	25.9	34.4	245	24.5	33.9	235	27.7	34.5	208	25.5	35.1																																										
Alamance-Burlington Schools	010350	Graham Middle	Piedmont Triad Region	06-08	Y	D	45	D	45	F	38	Exceeded	2.66	25	100.0													1486	27.0	34.5	42	69.0	81.0																192	26.0	30.7	222	15.8	22.5	206	20.4	24.3										192	30.7	39.6	222	25.2	33.3	205	22.4	33.2				205	41.0	49.8
Alamance-Burlington Schools	010351	Grove Park Elementary	Piedmont Triad Region	PK-05	Y	D	46	D	43	D	43	Exceeded	2.45	19	100.0													734	27.2	36.4										121	18.2	30.6	102	39.2	44.1	96	16.7	19.8										121	16.5	24.8	102	31.4	40.2	96	24.0	38.5										96	49.0	60.4			
Alamance-Burlington Schools	010353	Hawfields Middle	Piedmont Triad Region	06-08	Y	B	70	C	60	C	67	Exceeded	10.87	26	100.0													1534	53.9	62.3	37	>95	>95																186	54.8	61.8	218	56.9	63.8	230	46.5	51.7										186	48.9	59.1	218	41.3	54.6	229	44.1	54.1				230	76.1	83.9
Alamance-Burlington Schools	010354	Harvey R Newlin Elementary	Piedmont Triad Region	PK-05	Y	D	42	D	45	D	41	Met	0.41	18	100.0													604	23.2	32.0										91	29.7	39.6	82	23.2	29.3	86	18.6	22.1										91	27.5	37.4	82	25.6	41.5	86	17.4	27.9										86	19.8	25.6			
Alamance-Burlington Schools	010357	Haw River Elementary	Piedmont Triad Region	PK-05	Y	D	41	D	41	D	42	Met	0.19	15	100.0													592	20.8	31.1										97	16.5	27.8	85	29.4	34.1	76	26.3	31.6										97	22.7	34.0	85	20.0	31.8	76	13.2	25.0										76	17.1	32.9			
Alamance-Burlington Schools	010358	Hillcrest Elementary	Piedmont Triad Region	PK-05	Y	D	47	D	51	D	46	Met	-1.19	13	100.0													628	28.0	40.6										97	33.0	51.5	85	18.8	20.0	88	33.0	42.0										97	23.7	42.3	85	29.4	42.4	88	29.5	44.3										88	28.4	39.8			
Alamance-Burlington Schools	010360	Hugh M Cummings High	Piedmont Triad Region	09-12	Y	C	63					Exceeded	9.3	31	83.9	N		159	38.4	89	70.8	164	91.5	218	72.5	229	74.2	775	31.9	41.8	244	25.8	39.8	272	41.2	47.8	259	27.8	37.5																																										
Alamance-Burlington Schools	010362	Marvin B Smith Elementary	Piedmont Triad Region	PK-05	Y	B	72	B	71	C	67	Met	0.16	15	100.0													634	61.2	70.2										94	63.8	76.6	94	56.4	61.7	86	62.8	67.4										94	59.6	70.2	94	52.1	64.9	86	58.1	69.8										86	76.7	81.4			
Alamance-Burlington Schools	010364	North Graham Elementary	Piedmont Triad Region	PK-05	Y	D	52	D	48	D	52	Met	0.35	14	100.0													401	36.4	44.6										57	31.6	47.4	58	27.6	31.0	57	47.4	56.1										57	29.8	38.6	58	41.4	51.7	57	26.3	31.6										57	50.9	56.1			
Alamance-Burlington Schools	010372	Pleasant Grove Elementary	Piedmont Triad Region	PK-05	Y	C	61	C	59	C	57	Exceeded	3.18	9	100.0													254	41.7	53.9										32	34.4	53.1	41	41.5	46.3	36	44.4	52.8										32	43.8	53.1	41	48.8	61.0	36	22.2	38.9										36	55.6	72.2			
