2015-16 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
* or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	SBE District	Grade Span	Title I School	SPG Grade	SPG Score	Reading SPG Grade	Reading SPG Score	Math SPG Grade	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Participation Denominator	Percent Participation	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WorkKeys Percent	Passing      Math III Denominator	Passing Math III Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	Math I Denominator	Math I Percent College/Career Ready	Math I Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
Forsyth County Schools	340398	Homebound/ Hospital Education	Piedmont Triad Region	PK-12	Y	I										N		<10	*									<10	*	*																						<10	*	*	<10	*	*													<10	*	*	<10	*	*				<10	*	*
Forsyth County Schools	340400	Ibraham Elementary	Piedmont Triad Region	PK-05	Y	D	51	D	44	D	50	Met	0.16	15	100.0													526	31.7	43.2										91	28.6	49.5	70	25.7	30.0	68	41.2	45.6										91	28.6	39.6	70	27.1	37.1	68	16.2	29.4										68	57.4	70.6			
Forsyth County Schools	340403	Jefferson Elementary	Piedmont Triad Region	PK-05	Y	B	83	B	81	B	81	Exceeded	2.82	17	100.0													621	74.4	81.8										82	67.1	74.4	86	83.7	86.0	95	74.7	78.9										82	62.2	73.2	86	75.6	83.7	95	71.6	84.2										95	84.2	90.5			
Forsyth County Schools	340406	Thomas Jefferson Middle	Piedmont Triad Region	06-08	Y	B	71	B	71	C	66	NotMet	-2.89	30	100.0													3115	64.6	72.3	187	91.4	>95																399	68.7	74.2	432	60.6	69.0	422	47.2	55.9										400	64.8	70.8	432	66.0	75.5	422	55.5	65.6				421	77.7	84.1
Forsyth County Schools	340416	Kernersville Elementary	Piedmont Triad Region	PK-05	Y	C	62	D	52	C	65	Met	0	20	100.0													957	49.0	57.3										151	59.6	66.9	140	50.7	55.7	125	56.8	61.6										151	42.4	51.7	140	37.1	45.7	125	28.8	41.6										125	68.0	78.4			
Forsyth County Schools	340420	Kernersville Middle	Piedmont Triad Region	06-08	Y	C	64	C	59	C	58	Met	-0.07	25	100.0													1754	51.5	60.0	93	92.5	>95																220	54.5	63.2	252	37.3	42.1	239	47.3	54.0										220	50.5	58.2	252	46.4	56.7	239	40.6	54.8				239	69.0	77.4
Forsyth County Schools	340424	Kimberley Park Elementary	Piedmont Triad Region	PK-05	Y	F	34	F	29	F	37	Met	-0.04	9	100.0													248	18.5	23.0										44	20.5	31.8	35	14.3	14.3	30	30.0	30.0										44	<5	6.8	35	20.0	22.9	30	16.7	23.3										30	30.0	36.7			
Forsyth County Schools	340426	Kimmel Farm Elementary	Piedmont Triad Region	PK-05	Y	C	61	C	56	C	60	Met	1.36	20	100.0													992	42.7	55.5										146	37.0	54.8	149	40.9	49.0	134	49.3	53.7										146	38.4	54.8	149	36.9	47.7	134	35.1	53.7										134	63.4	76.9			
Forsyth County Schools	340427	Kingswood School	Piedmont Triad Region	PK-12	Y	N/A		N/A		N/A		NotMet	-4.03	3	0.0	N		<10	*									104	7.7	8.7	17	5.9	5.9	<10	*	*	14	<5	<5										12	<5	<5	<10	*	*	<10	*	*										12	<5	<5	<10	*	*	<10	*	*				<10	*	*
Forsyth County Schools	340428	Konnoak Elementary	Piedmont Triad Region	PK-05	Y	D	49	D	44	D	50	Met	0.84	18	100.0													831	31.8	41.3										124	41.9	53.2	113	28.3	32.7	119	33.6	39.5										124	27.4	35.5	113	21.2	34.5	119	21.8	32.8										119	47.1	59.7			
Forsyth County Schools	340430	Diggs-Latham Elementary	Piedmont Triad Region	PK-05	Y	D	44	D	40	D	48	NotMet	-2.6	13	100.0													519	27.6	38.2										83	41.0	57.8	88	22.7	28.4	59	37.3	40.7										83	25.3	36.1	88	17.0	28.4	59	23.7	30.5										59	28.8	47.5			
Forsyth County Schools	340432	Lewisville Elementary	Piedmont Triad Region	PK-05	Y	B	80	B	80	B	81	NotMet	-3.42	13	100.0													724	77.1	84.3										86	80.2	93.0	108	80.6	85.2	112	82.1	83.0										86	74.4	81.4	108	73.1	82.4	112	67.9	78.6										112	81.3	87.5			
Forsyth County Schools	340436	Lowrance Middle	Piedmont Triad Region	06-08	Y	N/A		N/A		N/A				14	100.0													327	18.0	33.0																			30	<5	20.0	29	<5	17.2	70	7.1	14.3										30	16.7	36.7	29	24.1	37.9	69	24.6	42.0				70	32.9	51.4
Forsyth County Schools	340440	Meadowlark Elementary	Piedmont Triad Region	PK-05	Y	A+NG	85	B	80	A	87	Met	1.91	19	100.0													948	75.7	84.6										135	77.8	86.7	136	77.9	85.3	135	82.2	88.1										136	73.5	83.1	136	69.1	80.9	135	62.2	78.5										135	87.4	89.6			
Forsyth County Schools	340442	Meadowlark Middle	Piedmont Triad Region	06-08	Y	B	79	B	79	B	70	Exceeded	4.8	27	100.0													2916	67.7	75.6	173	89.6	>95																357	63.3	69.5	431	62.4	70.1	390	54.4	60.8										357	63.9	73.7	431	69.1	78.7	388	63.7	74.7				389	87.4	92.0
Forsyth County Schools	340446	Middle College of Forsyth Cnty	Piedmont Triad Region	11-12	Y	A	93							2	50.0	N		32	90.6			47	>95	50	90.0	37	>95	<10	*	*				<10	*	*	<10	*	*																																										
Forsyth County Schools	340447	Middle Fork Elementary	Piedmont Triad Region	PK-05	Y	F	31	F	30	F	29	NotMet	-4.82	12	100.0													422	16.4	23.5										77	11.7	24.7	53	9.4	15.1	54	14.8	20.4										77	18.2	24.7	53	15.1	18.9	54	16.7	20.4										54	29.6	38.9			
Forsyth County Schools	340448	Mineral Springs Elementary	Piedmont Triad Region	PK-05	Y	D	53	D	46	D	53	Met	0.6	16	100.0													729	35.8	46.2										116	35.3	51.7	109	29.4	36.7	93	48.4	54.8										116	36.2	44.8	109	17.4	31.2	93	20.4	32.3										93	67.7	75.3			
Forsyth County Schools	340452	Mineral Springs Middle	Piedmont Triad Region	06-08	Y	F	32	F	35	F	25	NotMet	-6.91	17	100.0													925	16.6	25.7	25	36.0	64.0																120	17.5	30.8	145	9.0	13.1	121	5.0	7.4										120	17.5	25.8	144	17.4	31.3	124	15.3	23.4				126	31.7	41.3
Forsyth County Schools	340453	Moore Magnet Elementary	Piedmont Triad Region	PK-05	Y	C	55	C	55	D	53	NotMet	-5.24	17	100.0													669	43.3	54.4										98	52.0	66.3	94	38.3	45.7	95	36.8	43.2										98	42.9	54.1	94	46.8	58.5	95	31.6	46.3										95	54.7	66.3			
Forsyth County Schools	340454	Mount Tabor High School	Piedmont Triad Region	09-12	Y	B	70					Met	0.17	39	94.9	N		358	59.8	69	88.4	334	>95	370	92.2	385	92.5	1251	46.5	53.6	459	41.4	47.3	398	47.5	54.5	394	51.5	59.9																																										
Forsyth County Schools	340457	Frank Morgan Elementary	Piedmont Triad Region	PK-05	Y	B	71	C	64	B	78	NotMet	-4.21	19	100.0													869	65.7	74.3										122	76.2	80.3	125	73.6	80.0	125	73.6	77.6										122	66.4	72.1	125	52.8	64.0	125	42.4	58.4										125	75.2	88.0			
Forsyth County Schools	340460	North Forsyth High	Piedmont Triad Region	09-12	Y	D	53					NotMet	-5.11	30	86.7	N		247	39.7	49	81.6	258	>95	296	83.1	324	84.6	952	22.3	31.1	308	11.7	20.5	327	28.4	37.3	317	26.2	35.0																																										
Forsyth County Schools	340462	North Hills Elementary	Piedmont Triad Region	PK-05	Y	D	49	D	44	D	54	Met	-0.23	13	100.0													507	31.8	41.8										82	48.8	67.1	74	33.8	37.8	65	27.7	36.9										82	32.9	45.1	74	21.6	28.4	65	15.4	27.7										65	38.5	44.6			
Forsyth County Schools	340464	Northwest Middle	Piedmont Triad Region	06-08	Y	D	46	D	48	F	35	NotMet	-2.88	27	100.0													2193	31.2	40.6	65	80.0	90.8																291	18.6	26.5	329	25.8	32.8	296	25.0	30.4										291	23.0	32.3	330	30.6	41.8	296	31.1	44.6				295	54.2	65.4
Forsyth County Schools	340472	Old Richmond Elementary	Piedmont Triad Region	PK-05	Y	B	74	B	72	B	73	Met	-0.07	17	100.0													557	63.7	73.1										73	71.2	79.5	84	54.8	64.3	81	63.0	70.4										73	64.4	75.3	84	63.1	70.2	81	56.8	69.1										81	74.1	84.0			
Forsyth County Schools	340476	Old Town Elementary	Piedmont Triad Region	PK-05	Y	D	49	D	43	D	52	Met	-0.92	13	100.0													683	31.2	42.0										111	39.6	52.3	93	37.6	47.3	92	31.5	40.2										111	28.8	36.0	92	23.9	35.9	92	16.3	29.3										92	39.1	52.2			
Forsyth County Schools	340480	Paisley IB Magnet School	Piedmont Triad Region	06-10	Y	C	55	C	58	D	43	NotMet	-7.04	28	100.0	N												1744	48.3	55.3	130	49.2	71.5	76	84.2	89.5	54	94.4	>95										220	37.7	40.5	195	36.4	43.1	218	32.6	34.9										220	47.7	55.5	195	49.2	59.0	218	47.2	52.8				218	61.5	68.8
Forsyth County Schools	340486	Parkland High	Piedmont Triad Region	09-12	Y	D	47					NotMet	-5.66	33	81.8	N		313	32.6	29	58.6	288	93.4	342	83.3	353	85.6	1193	16.5	23.9	428	9.6	18.0	390	19.0	24.1	375	21.9	30.4																																										
Forsyth County Schools	340488	J F Kennedy High	Piedmont Triad Region	06-12	Y	D	53	F	31	F	28	Exceeded	4.1	25	100.0	N		50	28.0	26	38.5	43	>95	54	88.9	45	80.0	466	24.7	35.4	72	15.3	31.9	78	47.4	55.1	56	39.3	57.1										24	12.5	16.7	31	6.5	9.7	50	16.0	18.0										24	20.8	25.0	31	6.5	9.7	50	10.0	20.0				50	40.0	64.0
Forsyth County Schools	340490	Petree Elementary	Piedmont Triad Region	PK-05	Y	D	42	F	32	D	42	Met	0.26	13	100.0													399	22.1	31.8										69	15.9	30.4	51	27.5	35.3	53	18.9	32.1										69	17.4	24.6	51	15.7	23.5	53	13.2	17.0										53	49.1	62.3			
Forsyth County Schools	340492	Philo-Hill Magnet Academy	Piedmont Triad Region	06-08	Y	F	22	F	25	F	18	NotMet	-8.99	17	100.0													1130	9.7	15.0	23	8.7	17.4																147	6.8	10.2	170	6.5	9.4	158	<5	<5										146	8.2	12.3	170	13.5	19.4	159	10.1	17.0				157	18.5	31.8
Forsyth County Schools	340494	Piney Grove Elementary	Piedmont Triad Region	PK-05	Y	B	73	B	74	B	70	Met	-1.08	12	100.0													638	63.8	73.2										105	61.9	73.3	85	57.6	60.0	86	69.8	75.6										105	61.9	78.1	85	55.3	68.2	86	60.5	70.9										86	80.2	84.9			
Forsyth County Schools	340495	Ronald W Reagan High School	Piedmont Triad Region	09-12	Y	B	78					NotMet	-3.54	33	100.0	N		465	79.6	90	94.4	421	>95	437	>95	468	>95	1405	61.9	71.0	454	51.8	64.8	476	63.7	71.2	475	69.7	76.8																																										
Forsyth County Schools	340496	R J Reynolds High	Piedmont Triad Region	09-12	Y	B	70					Met	0.79	41	97.6	N		391	60.9	67	73.1	386	90.9	428	87.4	455	87.9	1357	45.0	54.6	403	36.7	47.9	437	46.5	56.1	517	50.3	58.6																																										
Forsyth County Schools	340504	Rural Hall Elementary	Piedmont Triad Region	PK-05	Y	C	57	D	51	C	59	Met	-1.27	19	100.0													747	42.2	52.7										100	42.0	59.0	116	45.7	48.3	105	48.6	57.1										100	28.0	41.0	116	37.9	50.0	105	33.3	45.7										105	59.0	68.6			
Forsyth County Schools	340508	Sedge Garden Elementary	Piedmont Triad Region	PK-05	Y	C	64	C	60	C	67	Met	-0.19	19	100.0													767	51.6	60.2										117	53.8	66.7	97	62.9	66.0	113	50.4	56.6										117	49.6	61.5	97	48.5	56.7	113	38.9	46.9										113	58.4	67.3			
Forsyth County Schools	340512	Sherwood Forest Elementary	Piedmont Triad Region	PK-05	Y	B	82	B	81	B	82	Met	-1.77	13	100.0													595	79.3	84.2										83	92.8	94.0	81	76.5	81.5	89	77.5	84.3										83	86.7	89.2	81	69.1	76.5	89	68.5	78.7										89	84.3	85.4			
Forsyth County Schools	340514	Smith Farm Elementary	Piedmont Triad Region	PK-05	Y	D	52	D	53	D	53	NotMet	-3.93	16	100.0													517	36.8	50.1										71	39.4	62.0	72	33.3	40.3	77	36.4	45.5										71	50.7	63.4	72	29.2	43.1	77	29.9	42.9										77	39.0	54.5			
Forsyth County Schools	340516	Southeast Middle	Piedmont Triad Region	06-08	Y	C	58	D	53	D	51	Met	0.19	28	100.0													2803	42.9	52.0	109	92.7	>95																375	36.0	42.9	386	36.3	46.1	391	37.9	42.5										375	32.3	42.9	386	36.8	48.4	390	42.3	53.8				391	64.2	74.4
Forsyth County Schools	340520	South Fork Elementary	Piedmont Triad Region	PK-05	Y	D	43	D	44	F	38	Met	-0.33	17	100.0													551	24.1	34.3										83	16.9	27.7	83	19.3	20.5	73	30.1	37.0										83	20.5	34.9	83	20.5	36.1	73	26.0	32.9										73	38.4	53.4			
Forsyth County Schools	340528	Southwest Elementary	Piedmont Triad Region	PK-05	Y	B	81	B	78	A	85	Met	1.7	17	100.0													712	74.3	80.6										121	80.2	86.0	118	83.9	86.4	78	71.8	78.2										121	70.2	78.5	118	77.1	84.7	78	55.1	65.4										78	74.4	78.2			
Forsyth County Schools	340530	Speas Elementary	Piedmont Triad Region	PK-05	Y	D	48	D	48	D	41	Met	-1.27	13	100.0													515	30.9	41.4										87	33.3	46.0	73	16.4	20.5	65	33.8	40.0										87	31.0	42.5	73	23.3	32.9	65	29.2	44.6										65	50.8	64.6			
Forsyth County Schools	340531	The Special Childrens School	Piedmont Triad Region	PK-05	Y	N/A		N/A		N/A																		19	5.3	10.5										<10	*	*	<10	*	*	<10	*	*										<10	*	*	<10	*	*	<10	*	*										<10	*	*			
Forsyth County Schools	340532	Union Cross Traditional Acad	Piedmont Triad Region	PK-05	Y	C	58	D	51	C	56	Met	0.45	17	100.0													809	42.3	51.9										117	31.6	46.2	121	37.2	47.9	111	48.6	53.2										117	35.0	42.7	121	35.5	46.3	111	41.4	52.3										111	68.5	76.6			
Forsyth County Schools	340536	Vienna Elementary	Piedmont Triad Region	PK-05	Y	B	82	B	78	B	83	Met	0.52	15	100.0													865	73.5	82.2										123	70.7	77.2	137	83.2	85.4	115	76.5	85.2										123	69.9	80.5	137	73.0	84.7	115	60.0	73.0										115	80.0	88.7			
Forsyth County Schools	340540	Walkertown Elementary	Piedmont Triad Region	PK-05	Y	C	56	C	56	C	58	NotMet	-3.74	17	100.0													900	44.9	55.0										132	49.2	62.9	128	43.8	47.7	126	49.2	54.0										132	45.5	55.3	128	43.8	55.5	127	33.1	47.2										127	49.6	62.2			
Forsyth County Schools	340542	Walkertown High	Piedmont Triad Region	09-12	Y	C	64					Met	-0.52	25	88.0	N		184	45.1	51	82.4	171	94.7	193	89.6	162	87.0	594	32.2	44.3	171	26.3	40.4	200	30.5	40.0	223	38.1	51.1																																										
Forsyth County Schools	340544	Walkertown Middle	Piedmont Triad Region	06-08	Y	D	44	D	48	F	34	NotMet	-5.55	20	100.0													1663	32.5	40.6	41	65.9	87.8																200	25.0	33.0	261	28.4	31.8	233	17.6	22.3										200	31.0	37.0	262	35.5	45.4	232	27.6	40.9				234	55.6	64.5
Forsyth County Schools	340548	Ward Elementary	Piedmont Triad Region	PK-05	Y	D	51	D	51	D	51	NotMet	-5.11	21	100.0													864	40.3	49.2										97	48.5	62.9	131	38.2	42.7	136	38.2	44.1										97	45.4	54.6	131	34.4	42.0	136	31.6	44.1										136	49.3	58.8			
Forsyth County Schools	340556	West Forsyth High	Piedmont Triad Region	09-12	Y	A+NG	85					Exceeded	16.42	40	100.0	N		534	72.3	95	84.2	523	>95	565	93.1	508	91.9	1754	65.9	75.0	560	62.7	75.9	597	69.3	75.2	597	65.5	73.9																																										
Forsyth County Schools	340560	Whitaker Elementary	Piedmont Triad Region	PK-05	Y	A+NG	87	A	86	A	88	Met	-0.33	15	100.0													596	83.4	88.9										93	79.6	93.5	79	82.3	86.1	84	78.6	82.1										93	81.7	87.1	79	77.2	82.3	84	88.1	92.9										84	>95	>95			
Forsyth County Schools	340564	Wiley Middle	Piedmont Triad Region	06-08	Y	D	48	D	50	F	39	NotMet	-2.39	28	100.0													1436	35.1	43.6	53	69.8	84.9																209	31.1	37.8	192	25.5	29.7	194	27.8	30.9										209	37.8	45.5	191	36.1	46.6	194	28.9	38.7				194	49.0	64.9
Forsyth County Schools	340568	Winston-Salem Preparatory Acad	Piedmont Triad Region	06-12	Y	D	43	F	36	F	24	Met	0.41	26	96.2	N		54	25.9	<10	*	53	>95	57	91.2	39	87.2	583	14.8	22.6	72	12.5	23.6	61	16.4	26.2	45	37.8	44.4										49	12.2	18.4	64	10.9	17.2	60	<5	<5										49	14.3	26.5	64	17.2	28.1	60	10.0	15.0				59	22.0	28.8
Franklin County Schools	350	Franklin County Schools	North Central Region											69	94.2			546	54.6	192	74.5	551	>95	686	81.6	661	83.8	10979	43.0	55.0	987	37.3	54.2	269	60.6	72.9	666	49.4	60.5	679	49.3	66.4	671	45.3	54.8	614	48.5	54.9	586	36.3	43.0	639	30.7	37.7	688	26.5	35.5	679	43.2	55.8	671	40.7	55.9	614	38.3	54.9	586	41.1	50.5	639	38.2	52.3	688	35.8	50.3	614	58.3	70.8	689	64.9	74.6
Franklin County Schools	350304	Bunn Elementary	North Central Region	PK-05	Y	C	66	C	59	C	68	Met	1.3	17	100.0		Y											749	49.8	61.9										97	59.8	72.2	111	49.5	64.0	111	47.7	55.0										97	47.4	56.7	111	46.8	59.5	111	27.9	48.6										111	70.3	78.4			
Franklin County Schools	350308	Bunn High	North Central Region	09-12	Y	B	73					Exceeded	3.55	34	100.0	Y	Y	176	53.4	83	77.1	195	94.9	244	81.6	214	84.6	544	43.8	57.9	260	35.4	54.2	55	58.2	70.9	229	49.8	59.0																																										
Franklin County Schools	350310	Bunn Middle	North Central Region	06-08	Y	D	49	D	51	D	41	NotMet	-5.1	22	100.0		Y											1576	35.6	47.3	38	65.8	89.5																192	30.2	37.5	217	30.9	37.3	240	18.3	26.3										192	39.6	51.0	217	37.8	54.4	240	26.7	43.3				240	60.4	72.9
Franklin County Schools	350312	Cedar Creek Middle	North Central Region	06-08	Y	C	63	C	63	D	54	Met	0.6	22	100.0		Y											1373	48.4	58.1	62	75.8	91.9																184	54.3	60.3	194	34.5	43.8	185	28.6	39.5										184	52.7	59.2	194	45.9	59.8	185	42.7	55.1				185	71.9	78.4
Franklin County Schools	350316	Edward Best Elementary	North Central Region	PK-05	Y	B	73	C	68	B	74	Exceeded	2.29	15	100.0		Y											568	55.6	69.2										98	60.2	75.5	81	65.4	71.6	70	58.6	62.9										98	42.9	61.2	81	45.7	69.1	70	44.3	64.3										70	75.7	80.0			
Franklin County Schools	350317	Franklin County Early College	North Central Region	09-13	Y	B	84					Exceeded	4.74	9	100.0	N	Y	30	73.3			21	>95	24	>95	29	89.7	150	68.0	80.0	49	53.1	75.5	49	63.3	73.5	52	86.5	90.4																																										
Franklin County Schools	350318	Franklinton Elementary	North Central Region	PK-05	Y	D	53	D	49	D	54	Met	-0.75	13	100.0		Y											529	36.3	47.4										74	29.7	48.6	78	32.1	39.7	75	50.7	56.0										74	33.8	37.8	78	33.3	43.6	75	28.0	44.0										75	46.7	62.7			
Franklin County Schools	350321	Franklinton High	North Central Region	09-12	Y	C	68					Met	0.56	29	86.2	N	Y	217	54.8	59	76.3	214	93.5	267	80.9	264	84.5	740	37.6	52.3	361	24.1	39.9	130	59.2	72.3	249	45.8	59.8																																										
Franklin County Schools	350324	Franklinton Middle	North Central Region	06-08	Y	D	48	D	42	D	41	Met	-0.43	18	100.0		Y											669	31.4	40.5	27	81.5	>95																78	16.7	21.8	78	14.1	16.7	110	34.5	43.6										78	20.5	25.6	78	21.8	32.1	110	31.8	46.4				110	52.7	63.6
Franklin County Schools	350330	Laurel Mill Elementary	North Central Region	PK-05	Y	C	66	C	60	C	68	Met	1.38	9	100.0		Y											351	45.9	61.8										54	42.6	68.5	54	46.3	53.7	45	57.8	71.1										54	46.3	55.6	54	37.0	51.9	45	35.6	57.8										45	57.8	77.8			
Franklin County Schools	350331	Long Mill Elementary	North Central Region	PK-05	Y	C	63	C	61	C	65	Met	-0.55	15	100.0		Y											584	47.1	59.4										83	54.2	72.3	86	41.9	47.7	82	52.4	58.5										83	47.0	60.2	86	36.0	54.7	82	43.9	57.3										82	54.9	65.9			
Franklin County Schools	350332	Louisburg Elementary	North Central Region	PK-05	Y	C	58	C	55	C	58	Met	1.92	14	100.0		Y											522	34.3	51.5										93	44.1	60.2	81	37.0	51.9	58	31.0	37.9										93	31.2	49.5	81	22.2	42.0	58	37.9	53.4										58	36.2	65.5			
Franklin County Schools	350336	Louisburg High	North Central Region	09-12	Y	B	70					Exceeded	2.71	23	87.0	N	Y	123	51.2	50	68.0	121	>95	148	82.4	149	83.2	321	36.4	49.5	150	25.3	40.0	35	65.7	77.1	136	41.2	52.9																																										
Franklin County Schools	350338	Terrell Lane Middle	North Central Region	06-08	Y	C	62	C	60	D	51	Exceeded	6.84	20	100.0		Y											1064	43.0	53.2	40	77.5	87.5																132	31.8	39.4	150	34.0	41.3	153	30.7	39.2										132	39.4	52.3	150	37.3	50.0	153	44.4	58.2				154	72.1	80.5
Franklin County Schools	350339	Royal Elementary	North Central Region	PK-05	Y	C	58	C	58	C	56	Met	0.62	15	100.0		Y											666	39.0	51.7										112	41.1	60.7	95	35.8	45.3	84	33.3	41.7										112	40.2	53.6	95	41.1	51.6	84	35.7	50.0										84	45.2	56.0			
Franklin County Schools	350340	Youngsville Elementary	North Central Region	0K-05	Y	C	68	B	70	C	64	NotMet	-3.62	17	100.0		Y											573	59.3	69.3										68	60.3	73.5	85	54.1	62.4	89	57.3	59.6										68	61.8	73.5	85	58.8	71.8	89	53.9	66.3										89	69.7	79.8			
Gaston County Schools	360	Gaston County Schools	Southwest Region											90	98.9			2144	55.9	1014	69.9	2127	>95	2416	88.0	2364	88.2	41410	42.8	52.9	3317	44.9	59.7	2500	50.6	60.1	2556	47.1	56.6	2409	42.8	56.8	2455	40.9	47.0	2285	45.0	51.2	2202	41.1	47.7	2347	36.7	43.5	2454	33.2	39.9	2410	41.3	52.5	2455	38.5	51.3	2286	35.9	48.3	2202	44.2	51.7	2347	39.6	51.3	2454	36.6	48.7	2284	52.1	62.5	2447	56.3	66.6
Gaston County Schools	360310	Ashbrook High	Southwest Region	09-12	Y	B	73					Exceeded	10.69	41	97.6	N	Y	318	50.0	160	49.4	356	>95	377	92.6	339	92.3	1046	40.3	52.9	350	40.0	56.6	341	39.3	50.1	355	41.7	51.8																																										
Gaston County Schools	360320	Belmont Central Elementary	Southwest Region	02-05	Y	B	78	B	74	B	78	Exceeded	4.98	16	100.0													1230	65.7	74.6										176	65.3	81.3	181	63.0	67.4	172	68.6	75.6										176	63.6	75.6	181	63.0	67.4	172	58.7	71.5										172	77.9	83.7			
Gaston County Schools	360324	Belmont Middle	Southwest Region	06-08	Y	C	67	C	67	C	64	NotMet	-2.4	23	100.0		Y											1852	57.1	67.1	121	86.0	>95																225	60.9	67.1	249	48.2	56.2	261	52.9	57.9										225	58.7	66.7	249	53.4	67.9	261	45.6	59.4				261	66.7	79.3
Gaston County Schools	360332	Bessemer City Central Elem	Southwest Region	03-05	Y	F	39	D	42	F	38	NotMet	-2.57	18	100.0													1063	22.3	31.9										147	19.7	36.7	131	22.1	26.0	169	22.5	28.4										147	23.8	32.7	131	24.4	35.1	169	18.9	28.4										169	24.9	36.1			
Gaston County Schools	360336	Bessemer City High	Southwest Region	09-12	Y	C	64					Exceeded	5.19	25	100.0	N	Y	137	40.9	86	73.3	110	>95	140	80.0	136	83.1	520	33.3	43.8	202	13.9	26.2	155	50.3	60.0	163	41.1	50.3																																										
Gaston County Schools	360337	Gaston Early College High School	Southwest Region	09-13	Y	A	96					Exceeded	4.43	11	100.0	N	Y	42	>95			20	>95	22	90.9	18	88.9	143	83.9	>95	53	73.6	>95	45	86.7	>95	45	93.3	>95																																										
Gaston County Schools	360338	Bessemer City Primary	Southwest Region	PK-02	Y	I																																																																											
Gaston County Schools	360339	W B Beam Intermediate School	Southwest Region	04-05	Y	C	56	C	57	C	59	NotMet	-2.05	9	100.0													484	41.9	52.9													103	51.5	58.3	93	45.2	49.5													103	39.8	53.4	93	34.4	49.5										92	38.0	53.3			
Gaston County Schools	360340	Brookside Elementary	Southwest Region	PK-05	Y	C	61	C	60	C	58	Met	-0.93	15	100.0													564	44.7	57.4										76	46.1	57.9	101	44.6	51.5	70	48.6	57.1										76	36.8	50.0	101	37.6	60.4	70	40.0	54.3										70	62.9	72.9			
Gaston County Schools	360344	Carr Elementary	Southwest Region	PK-05	Y	C	57	C	55	C	56	Met	1.1	15	100.0													787	37.7	51.1										106	47.2	61.3	118	28.0	37.3	113	46.0	56.6										106	40.6	52.8	118	25.4	41.5	113	33.6	48.7										113	45.1	61.1			
Gaston County Schools	360348	Catawba Heights Elementary	Southwest Region	PK-05	Y	C	58	C	56	C	57	Met	1.09	8	100.0													358	41.1	51.7										52	42.3	57.7	52	23.1	34.6	50	54.0	58.0										52	38.5	50.0	52	30.8	42.3	50	46.0	58.0										50	54.0	62.0			
Gaston County Schools	360352	Chapel Grove Elementary	Southwest Region	PK-05	Y	C	60	C	56	C	63	Met	0.81	11	100.0													498	42.8	54.2										76	47.4	63.2	74	47.3	55.4	66	40.9	50.0										76	43.4	53.9	74	29.7	45.9	66	39.4	53.0										66	51.5	57.6			
Gaston County Schools	360360	Cherryville High	Southwest Region	09-12	Y	B	74					Exceeded	3.38	19	100.0	N	Y	140	60.0	63	65.1	96	>95	113	92.0	138	88.4	422	45.0	61.6	132	31.8	59.1	139	52.5	65.5	151	49.7	60.3																																										
