year	unit_code	szip_ad	type_cd	closed_ind	new_ind	category_cd	grade_range_cd	calendar_type_txt	sna_pgm_type_cd	school_type_txt	calendar_only_txt	title1_type_cd	clp_ind	focus_clp_ind	summer_program_ind	asm_no_spg_ind	no_data_spg_ind	esea_status	student_num	lea_avg_student_num	st_avg_student_num	Grad_project_status	stem
2016	500337	28789	P	0	0	I	K-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y			Y				396	563	475		
2016	500340	28779	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar				Y				845	494	860	N	
2016	500LEA	28779	P	0	0	T														179	268		
2016	500LEA	28779	P	0	0	I														563	475		
2016	500LEA	28779	P	0	0	H														494	860		
2016	500LEA	28779	P	0	0	E														165	493		
2016	500LEA	28779	P	0	0	A														104	511		
2016	50A000	28717	C	0	0	I	K-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								206		475		
2016	510308	27504	P	0	0	E	PK-4	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							613	725	493		
2016	510310	27504	P	0	0	M	5-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							445	715	634		
2016	510324	27520	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1548	976	860	N	
2016	510326	27520	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								914	725	493		
2016	510327	27520	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1574	976	860	N	
2016	510328	27520	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								802	725	493		
2016	510329	27529	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1142	715	634		
2016	510330	27520	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							600	725	493		
2016	510332	27597	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							559	725	493		
2016	510333	27591	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1742	976	860	N	
2016	510334	27592	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								560	725	493		
2016	510336	27527	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								568	725	493		
2016	510340	27524	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							1101	725	493		
2016	510342	27524	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							501	715	634		
2016	510344	27555	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							572	715	634		
2016	510356	27542	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y						F	610	725	493		
2016	510357	27577	P	0	0	H	10-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								120	976	860	N	
2016	510358	27501	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								859	725	493		
2016	510359	27504	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								861	715	634		
2016	510360	27504	P	0	0	I	PK-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							642	642	475		
2016	510364	27591	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1037	715	634		
2016	510367	27577	P	0	0	H	9-13	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								238	976	860	N	
2016	510368	27542	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								778	976	860	N	
2016	510372	27568	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							612	725	493		
2016	510373	27527	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								577	725	493		
2016	510374	27569	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							733	725	493		
2016	510376	27569	P	0	0	T	6-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								956	956	268	N	
2016	510377	27527	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								919	725	493		
