2016-17 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
An * or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	State Board District	Grade Span	Title I School	School Performance Grade (SPG)	SPG Score	Reading SPG	Reading SPG Score	Math SPG	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Number of Participation Targets	Percent Participation Targets Met	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WOrkKeys Percent	Passing NC Math 3 Denominator	Passing NC Math 3 Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	NC Math 1 Denominator	NC Math 1 Percent College/Career Ready	NC Math 1 Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
Cabarrus County Schools	130345	Patriots Elementary	Southwest	0K-05		B	77	B	76	B	78	Met	1.76	20	100.0													1252	63.8	75.6										166	66.9	79.5	180	65.6	72.2	187	67.9	76.5										166	60.8	74.1	179	60.9	73.2	187	56.1	73.3										187	68.4	80.7			
Cabarrus County Schools	130346	Hickory Ridge Middle	Southwest	06-08		B	79	B	73	B	76	Exceeded	10.19	28	100.0													2901	67.2	73.8	93	>95	>95																405	76.8	82.2	346	63.6	69.1	435	52.6	57.7										406	70.7	77.8	346	64.2	72.3	435	51.7	63.2				435	83.4	88.7
Cabarrus County Schools	130349	Cabarrus Early College of Technology	Southwest	09-09		B	79					Met	-1.96	4	100.0	N												181	72.4	81.2	61	75.4	85.2	60	70.0	78.3	60	71.7	80.0																																										
Cabarrus County Schools	130350	Cabarrus-Kannapolis Early Coll	Southwest	09-13		A	90					Met	0.44	10	100.0	N		51	>95			57	>95	48	>95	51	>95	188	76.1	85.6	64	71.9	85.9	62	79.0	82.3	62	77.4	88.7																																										
Cabarrus County Schools	130355	Harold E. Winkler Middle	Southwest	06-08		C	64	C	56	C	61	Exceeded	8.23	27	100.0													2147	47.7	56.3	57	>95	>95																284	46.5	55.3	280	36.1	39.3	321	51.1	57.9										284	46.8	57.7	280	35.0	46.4	321	38.3	48.0				320	67.5	78.4
Kannapolis City Schools	132	Kannapolis City Schools	Southwest											71	87.3			329	34.7	163	62.6	320	>95	382	85.9	362	83.4	7017	33.7	43.5	510	28.6	36.3	359	25.9	32.3	397	28.0	36.3	429	42.2	56.6	449	44.8	53.2	401	39.4	46.4	400	28.8	36.3	364	24.2	31.0	421	22.1	27.8	429	31.2	43.6	449	33.9	46.1	401	21.9	35.4	400	34.8	48.3	365	35.6	43.6	421	33.7	44.4	402	47.8	58.0	420	48.6	60.7
Kannapolis City Schools	132304	A L Brown High	Southwest	09-12		D	51					NotMet	-10.66	42	78.6	Y	Y	329	34.7	163	62.6	320	>95	382	85.9	362	83.4	1209	24.3	32.1	453	19.9	28.3	359	25.9	32.3	397	28.0	36.3																																										
Kannapolis City Schools	132308	Forest Park Elementary	Southwest	0K-04	Y	C	60	C	55	C	65	Met	1.07	10	100.0		Y											434	42.4	54.6										106	45.3	63.2	111	47.7	55.0													106	32.1	44.3	111	44.1	55.9																		
Kannapolis City Schools	132312	Fred L Wilson Elementary	Southwest	PK-04	Y	D	53	D	50	C	56	Met	-0.74	10	100.0		Y											296	32.1	47.0										73	42.5	58.9	75	36.0	45.3													73	26.0	43.8	75	24.0	40.0																		
Kannapolis City Schools	132328	Jackson Park Elementary	Southwest	0K-04	Y	D	52	D	50	D	53	Met	1.32	10	100.0		Y											382	34.3	44.0										89	36.0	44.9	102	40.2	47.1													89	31.5	42.7	102	29.4	41.2																		
Kannapolis City Schools	132329	Kannapolis Intermediate	Southwest	05-06	Y	D	48	D	47	D	45	NotMet	-5	26	100.0		Y											2004	34.5	44.9																401	39.4	46.4	400	28.8	36.3													401	21.9	35.4	400	34.8	48.3							402	47.8	58.0			
Kannapolis City Schools	132330	Kannapolis Middle	Southwest	07-08		D	48	D	51	F	38	NotMet	-2.63	29	100.0		Y											2048	34.8	43.4	57	>95	>95																			364	24.2	31.0	421	22.1	27.8													365	35.6	43.6	421	33.7	44.4				420	48.6	60.7
Kannapolis City Schools	132332	Shady Brook Elementary	Southwest	0K-04	Y	C	60	C	56	C	64	Exceeded	4.07	10	100.0		Y											298	44.0	53.0										72	38.9	52.8	77	55.8	62.3													72	40.3	48.6	77	40.3	48.1																		
Kannapolis City Schools	132336	Woodrow Wilson Elementary	Southwest	PK-04	Y	C	55	D	49	C	61	Met	-1.42	10	100.0		Y											346	36.7	50.3										89	47.2	61.8	84	44.0	57.1													89	27.0	39.3	84	28.6	42.9																		
Caldwell County Schools	140	Caldwell County Schools	Northwest											72	100.0			898	58.8	360	76.4	906	>95	1017	89.5	1061	91.0	15088	50.2	61.3	1175	56.8	67.2	405	64.0	75.3	930	47.0	59.4	896	47.2	60.8	946	42.5	50.2	888	55.3	62.2	860	41.3	50.7	854	42.2	50.8	934	39.9	47.3	896	48.5	61.8	946	44.3	60.1	888	44.5	61.4	860	51.7	64.5	854	53.0	61.9	934	42.2	54.0	888	63.4	75.8	934	74.7	84.5
Caldwell County Schools	140304	Baton Elementary	Northwest	PK-05	Y	C	62	C	65	C	56	NotMet	-2.17	11	100.0													490	48.6	60.0										68	60.3	67.6	75	36.0	46.7	68	44.1	45.6										68	57.4	64.7	75	41.3	60.0	68	41.2	63.2										68	61.8	73.5			
Caldwell County Schools	140305	Caldwell Career Cen Mid. Coll.	Northwest	09-12		A	91					Met	0.24	14	100.0	N		55	92.7	60	>95	61	>95	61	>95	54	>95	185	72.4	87.0	60	73.3	88.3	62	59.7	79.0	63	84.1	93.7																																										
Caldwell County Schools	140306	Gateway School	Northwest	06-12	Y	N/A		N/A		N/A		Met	1.19	2	100.0	N		<10	*					<10	*	<10	*	99	14.1	22.2	11	27.3	36.4	<10	*	*	<10	*	*										<10	*	*	13	15.4	15.4	13	<5	<5										<10	*	*	13	15.4	30.8	13	7.7	7.7				13	23.1	53.8
Caldwell County Schools	140307	Horizons Elementary	Northwest	0K-05	Y	N/A		N/A		N/A		Met	-1.08															62	17.7	22.6										12	25.0	33.3	<10	*	*	<10	*	*										12	50.0	50.0	<10	*	*	<10	*	*										<10	*	*			
Caldwell County Schools	140308	Collettsville School	Northwest	0K-08	Y	B	78	B	76	B	74	Exceeded	4.56	13	100.0													523	65.2	74.8	<10	*	*							48	54.2	64.6	35	54.3	62.9	35	91.4	91.4	42	73.8	76.2	31	64.5	67.7	35	51.4	60.0	48	50.0	68.8	35	48.6	65.7	35	60.0	80.0	42	61.9	73.8	31	67.7	74.2	35	65.7	77.1	35	88.6	94.3	35	88.6	94.3
Caldwell County Schools	140309	Caldwell Early College	Northwest	09-13		A+NG	91					Met	-1.23	18	100.0	N		79	>95			84	>95	83	>95	79	>95	242	83.1	92.1	86	81.4	91.9	79	84.8	93.7	77	83.1	90.9																																										
Caldwell County Schools	140312	Davenport A+ School	Northwest	PK-05	Y	C	64	C	59	C	61	Exceeded	2.03	16	100.0													587	49.1	58.8										76	40.8	47.4	75	50.7	54.7	95	60.0	63.2										76	36.8	48.7	75	41.3	54.7	95	43.2	55.8										95	65.3	81.1			
Caldwell County Schools	140316	Dudley Shoals Elementary	Northwest	PK-05	Y	C	68	C	68	C	65	Met	0.67	9	100.0													517	50.9	64.6										65	55.4	73.8	84	53.6	60.7	73	43.8	53.4										65	53.8	69.2	84	47.6	59.5	73	41.1	64.4										73	61.6	74.0			
Caldwell County Schools	140324	Gamewell Elementary	Northwest	PK-05	Y	C	60	C	58	C	57	Met	-0.64	15	100.0		Y											687	42.6	55.7										98	42.9	58.2	100	34.0	39.0	97	50.5	60.8										98	46.9	57.1	100	35.0	47.0	97	34.0	54.6										97	55.7	74.2			
Caldwell County Schools	140332	Gamewell Middle	Northwest	06-08	Y	C	57	C	56	D	46	Met	1.07	21	100.0		Y											1221	39.1	50.1	28	85.7	>95																179	32.4	42.5	146	23.3	32.2	181	28.2	34.8										179	35.2	53.1	146	37.7	48.6	181	35.4	49.2				181	70.7	79.6
Caldwell County Schools	140336	Granite Falls Middle	Northwest	06-08	Y	C	67	C	65	C	62	Met	-0.54	19	100.0													1434	55.7	64.9	55	>95	>95																196	39.3	47.4	183	60.1	67.8	207	44.9	52.7										196	57.7	73.0	183	62.3	68.3	207	40.6	52.7				207	73.9	83.6
Caldwell County Schools	140340	Granite Falls Elementary	Northwest	0K-05	Y	B	72	B	74	C	68	Met	0.08	14	100.0													785	60.4	70.4										106	60.4	72.6	99	47.5	56.6	125	66.4	72.8										106	61.3	76.4	99	55.6	66.7	125	57.6	68.8										125	70.4	76.8			
Caldwell County Schools	140344	Happy Valley Elementary	Northwest	0K-08	Y	C	56	C	58	D	48	NotMet	-2.94	9	100.0		Y											426	44.6	54.0	<10	*	*							33	42.4	51.5	22	45.5	45.5	29	58.6	65.5	23	13.0	26.1	41	26.8	26.8	31	32.3	38.7	33	48.5	60.6	22	50.0	63.6	29	48.3	58.6	23	34.8	43.5	41	46.3	58.5	31	32.3	45.2	29	55.2	72.4	31	74.2	87.1
Caldwell County Schools	140348	Hibriten High	Northwest	09-12		B	71					NotMet	-2.13	26	100.0	N		190	50.0	78	78.2	203	>95	217	93.1	235	92.8	449	45.2	59.0	211	38.9	50.2	38	60.5	65.8	200	49.0	67.0																																										
Caldwell County Schools	140352	Hudson Elementary	Northwest	PK-05	Y	B	70	B	70	C	67	Exceeded	2.32	13	100.0													886	53.8	66.1										123	47.2	62.6	143	45.5	51.0	118	67.8	74.6										123	51.2	65.9	143	52.4	69.9	118	46.6	64.4										118	68.6	77.1			
Caldwell County Schools	140356	Hudson Middle	Northwest	06-08	Y	C	67	C	66	C	59	Exceeded	2.98	20	100.0													1590	52.3	62.3	55	>95	>95																202	46.0	56.4	210	37.6	48.1	237	43.0	51.5										202	59.4	71.3	210	53.8	62.4	237	41.4	53.6				237	73.0	83.1
Caldwell County Schools	140360	Kings Creek Elementary	Northwest	PK-08	Y	B	70	B	70	C	64	Exceeded	3.61	8	100.0													292	54.8	65.8										23	30.4	47.8	22	45.5	63.6	18	66.7	72.2	19	57.9	63.2	16	68.8	81.3	26	34.6	34.6	23	47.8	69.6	22	50.0	63.6	18	50.0	61.1	19	57.9	57.9	16	56.3	62.5	26	61.5	73.1	18	66.7	77.8	26	80.8	>95
Caldwell County Schools	140368	William Lenoir Middle	Northwest	06-08	Y	B	70	C	66	C	61	Exceeded	4.55	23	100.0													1378	55.4	64.3	56	>95	>95																184	41.8	52.2	198	46.0	56.1	186	46.2	53.8										184	53.3	60.9	198	57.1	66.7	186	48.4	58.6				186	82.8	91.9
Caldwell County Schools	140372	Lower Creek Elementary	Northwest	0K-05	Y	B	71	B	70	C	66	Met	0.87	11	100.0													501	57.1	67.9										73	58.9	71.2	80	51.3	53.8	65	60.0	69.2										73	53.4	68.5	80	50.0	62.5	65	53.8	67.7										65	75.4	86.2			
Caldwell County Schools	140376	Oak Hill Elementary	Northwest	0K-08	Y	D	53	C	58	D	44	Met	-0.13	7	100.0		Y											192	34.4	46.4										12	33.3	41.7	14	7.1	7.1	12	41.7	50.0	<10	*	*	16	12.5	25.0	18	22.2	33.3	12	16.7	50.0	14	21.4	35.7	12	41.7	58.3	<10	*	*	16	43.8	56.3	18	44.4	50.0	12	33.3	50.0	18	66.7	66.7
Caldwell County Schools	140384	Sawmills Elementary	Northwest	PK-05	Y	C	64	C	63	C	61	Met	-0.77	8	100.0		Y											406	43.3	60.8										64	32.8	57.8	67	43.3	59.7	48	37.5	52.1										64	37.5	48.4	67	52.2	68.7	48	41.7	60.4										48	60.4	81.3			
Caldwell County Schools	140386	South Caldwell High	Northwest	09-12		B	74					Met	-1.2	29	96.6	N		373	58.7	156	70.5	357	>95	406	89.4	457	91.7	905	51.5	63.2	393	52.9	64.6	150	64.0	76.0	362	44.8	56.4																																										
Caldwell County Schools	140388	Valmead Elementary	Northwest	PK-05	Y	D	48	D	54	D	45	NotMet	-3.04	6	100.0		Y											186	26.9	43.5										30	30.0	40.0	27	25.9	40.7	24	33.3	33.3										30	26.7	50.0	27	18.5	55.6	24	29.2	41.7										24	25.0	41.7			
Caldwell County Schools	140390	West Caldwell High	Northwest	09-12		C	61					NotMet	-7.47	24	100.0	N		197	43.1	66	66.7	201	>95	237	85.2	220	89.5	504	31.5	43.7	211	30.3	44.1	74	48.6	58.1	219	26.9	38.4																																										
Caldwell County Schools	140392	West Lenoir Elementary	Northwest	0K-05	Y	C	57	D	52	D	51	Exceeded	2.27	7	100.0		Y											203	36.5	49.8										17	17.6	35.3	38	21.1	34.2	31	48.4	54.8										17	29.4	29.4	38	23.7	42.1	31	32.3	58.1										31	77.4	83.9			
Caldwell County Schools	140396	Whitnel Elementary	Northwest	PK-05	Y	C	59	C	63	D	53	Met	-0.67	9	100.0		Y											338	39.6	55.0										48	43.8	60.4	58	34.5	43.1	42	33.3	45.2										48	50.0	58.3	58	34.5	60.3	42	35.7	52.4										42	47.6	66.7			
Camden County Schools	150	Camden County Schools	Northeast											40	97.5			133	72.9	52	92.3	131	>95	157	85.4	143	90.2	2542	58.0	68.1	185	48.1	58.4	152	52.0	63.8	138	60.9	72.5	149	66.4	83.2	146	50.0	58.9	160	54.4	59.4	142	42.3	51.4	133	42.1	48.1	149	36.2	45.6	149	67.1	77.2	146	60.3	74.7	160	63.8	75.0	142	71.8	76.8	133	67.7	76.7	149	47.0	62.4	160	71.9	82.5	149	84.6	90.6
Camden County Schools	150304	Camden County High	Northeast	09-12		B	76					Met	0.62	18	94.4	Y		104	73.1	50	92.0	110	>95	125	89.6	102	90.2	348	48.3	58.9	123	32.5	44.7	114	52.6	61.4	111	61.3	72.1																																										
Camden County Schools	150308	Grandy Primary	Northeast	PK-03	Y	B	82	B	79	B	83	Exceeded	2.69	6	100.0													298	66.8	80.2										149	66.4	83.2																149	67.1	77.2																					
Camden County Schools	150310	Camden Intermediate	Northeast	04-06		C	68	B	77	C	57	NotMet	-3.11	17	100.0													1056	59.4	68.6													146	50.0	58.9	160	54.4	59.4	142	42.3	51.4										146	60.3	74.7	160	63.8	75.0	142	71.8	76.8							160	71.9	82.5			
Camden County Schools	150312	Camden Middle	Northeast	07-08		C	66	C	68	D	53	NotMet	-2.14	13	100.0													723	56.0	65.1	10	90.0	90.0																			133	42.1	48.1	149	36.2	45.6													133	67.7	76.7	149	47.0	62.4				149	84.6	90.6
Camden County Schools	150350	Camden Early College High	Northeast	09-12		B	81					Met	1.57	6	100.0	Y		29	72.4	<10	*	21	>95	25	84.0			117	64.1	77.8	52	76.9	84.6	38	50.0	71.1	27	59.3	74.1																																										
Carteret County Public Schools	160	Carteret County Public Schools	Southeast											71	100.0			628	78.3	172	84.9	571	>95	654	86.2	659	89.1	11160	59.7	69.4	772	67.4	78.2	713	65.6	73.4	761	62.0	70.4	597	59.8	70.7	628	67.5	76.1	603	62.4	69.8	699	57.4	67.5	620	53.1	60.8	672	42.9	47.9	597	55.4	66.8	628	58.3	71.5	604	55.5	70.5	699	63.5	71.5	621	56.7	67.0	671	46.3	58.3	604	66.6	76.2	671	72.4	82.1
Carteret County Public Schools	160304	Atlantic Elementary	Southeast	PK-05	Y	B	75	B	72	B	76	Met	-1.17	4	100.0		Y											99	62.6	75.8										11	72.7	72.7	13	61.5	69.2	17	82.4	82.4										11	27.3	63.6	13	61.5	76.9	17	52.9	70.6										17	70.6	88.2			
Carteret County Public Schools	160306	Bogue Sound Elementary	Southeast	PK-05	Y	B	71	B	71	B	70	Met	-0.74	11	100.0		Y											503	57.3	70.2										78	64.1	73.1	76	69.7	80.3	65	53.8	60.0										78	52.6	62.8	76	61.8	80.3	65	46.2	56.9										65	49.2	75.4			
Carteret County Public Schools	160308	Beaufort Elementary	Southeast	PK-05	Y	C	68	B	73	C	64	NotMet	-2.29	13	100.0		Y											575	56.5	68.0										79	64.6	74.7	78	52.6	64.1	87	48.3	59.8										79	64.6	69.6	78	60.3	73.1	87	51.7	69.0										87	55.2	66.7			
Carteret County Public Schools	160309	Bridges School	Southeast	0K-12	Y	N/A		N/A		N/A		Met	-0.58			N		<10	*					<10	*			64	18.8	25.0	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*
Carteret County Public Schools	160310	Beaufort Middle	Southeast	06-08		C	64	C	62	C	60	Met	-1.03	15	100.0													634	52.1	61.4	10	>95	>95																79	50.6	62.0	93	51.6	66.7	93	31.2	36.6										79	58.2	59.5	94	56.4	69.1	93	43.0	50.5				93	68.8	80.6
Carteret County Public Schools	160311	Broad Creek Middle	Southeast	05-08		C	68	C	68	C	66	NotMet	-2.65	21	100.0													1562	59.6	68.4	36	>95	>95													<10	*	*	223	51.6	60.1	202	66.3	71.3	225	45.3	51.6							<10	*	*	223	66.8	77.1	202	64.9	74.8	224	50.0	60.3	<10	*	*	224	67.0	79.5
Carteret County Public Schools	160313	East Carteret High	Southeast	09-12		B	82					Exceeded	8.01	20	100.0	N		129	76.0	51	82.4	127	>95	147	87.8	139	>95	403	58.3	70.0	122	50.0	69.7	127	68.5	73.2	154	56.5	67.5																																										
Carteret County Public Schools	160314	Croatan High	Southeast	09-12		A+NG	86					Exceeded	14.1	27	100.0	N		214	79.0	63	92.1	205	>95	227	89.0	212	92.9	685	68.8	76.4	189	76.7	83.1	242	67.4	75.2	254	64.2	72.4																																										
Carteret County Public Schools	160316	Harkers Island Elementary	Southeast	0K-05	Y	B	74	B	79	B	71	Exceeded	2.31	4	100.0		Y											108	55.6	71.3										15	73.3	80.0	18	66.7	72.2	14	50.0	50.0										15	53.3	80.0	18	50.0	72.2	14	35.7	78.6										14	57.1	64.3			
Carteret County Public Schools	160317	Morehead Elem at Camp Glenn	Southeast	04-05	Y	C	68	C	69	C	67	NotMet	-2.09	18	100.0		Y											735	58.1	67.6													171	69.6	75.4	131	53.4	58.8													171	58.5	70.8	131	48.1	61.1										131	57.3	68.7			
Carteret County Public Schools	160318	Morehead City Middle	Southeast	05-08		C	67	C	64	C	65	NotMet	-2.75	19	100.0													1142	58.1	66.6	33	>95	>95													<10	*	*	179	62.6	72.6	164	42.1	50.6	140	47.9	54.3							<10	*	*	179	64.2	72.1	164	51.8	59.8	140	49.3	61.4	<10	*	*	140	80.0	87.9
Carteret County Public Schools	160322	Morehead City Primary	Southeast	PK-03	Y	B	76	B	74	B	76	Exceeded	2.47	6	100.0													288	63.5	73.6										144	63.2	75.7																144	63.9	71.5																					
Carteret County Public Schools	160324	Newport Elementary	Southeast	PK-05	Y	B	75	B	73	B	75	Met	-0.82	13	100.0		Y											864	63.9	74.3										127	66.1	74.8	116	70.7	78.4	126	69.0	78.6										127	50.4	63.0	116	56.0	71.6	126	62.7	77.8										126	72.2	76.2			
Carteret County Public Schools	160326	Newport Middle	Southeast	06-08		C	69	C	68	C	63	Exceeded	3.15	17	100.0													988	56.0	64.9	10	>95	>95																140	67.1	75.0	121	49.6	55.4	152	38.8	42.1										140	63.6	72.1	121	52.9	65.3	152	40.1	57.9				152	76.3	83.6
Carteret County Public Schools	160332	Down East Middle and Smyrna Elementary	Southeast	PK-08	Y	B	72	C	68	B	70	Met	1.3	9	100.0		Y											524	60.3	69.5	10	>95	>95							13	76.9	92.3	18	50.0	55.6	21	76.2	90.5	75	53.3	70.7	37	45.9	54.1	55	54.5	56.4	13	61.5	76.9	18	61.1	66.7	21	61.9	76.2	75	60.0	66.7	37	48.6	59.5	55	50.9	61.8	21	>95	>95	55	74.5	80.0
Carteret County Public Schools	160344	West Carteret High	Southeast	09-12		B	83					Exceeded	8.8	30	100.0	Y		284	79.2	58	79.3	239	>95	269	86.6	302	84.8	1046	62.4	72.4	359	59.9	73.3	339	64.0	72.9	348	63.5	71.0																																										
Carteret County Public Schools	160352	White Oak Elementary	Southeast	PK-05		B	79	B	72	B	79	Exceeded	8.76	13	100.0		Y											940	63.8	74.3										127	40.2	54.3	136	73.5	84.6	138	75.4	80.4										127	49.6	64.6	136	58.1	67.6	138	64.5	79.7										138	82.6	86.2			
Caswell County Schools	170	Caswell County Schools	Piedmont Triad											54	92.6			180	42.8	107	49.5	162	>95	209	76.1	203	78.8	3605	34.3	43.7	261	26.8	37.2	241	28.6	33.6	244	37.3	48.0	210	44.3	58.1	221	45.7	56.1	212	37.7	42.5	205	25.4	31.2	169	11.2	17.2	204	12.3	16.7	210	41.0	51.9	221	36.2	53.8	211	28.4	40.8	204	38.2	46.1	169	29.0	39.1	205	25.9	32.2	213	46.5	60.1	205	64.9	73.2
Caswell County Schools	170316	Bartlett Yancey High	Piedmont Triad	09-12		C	55					NotMet	-3.24	31	87.1	N		180	42.8	107	49.5	162	>95	209	76.1	203	78.8	725	29.2	37.9	240	21.7	32.1	241	28.6	33.6	244	37.3	48.0																																										
Caswell County Schools	170334	North Elementary	Piedmont Triad	PK-05	Y	C	58	C	60	C	58	NotMet	-4.04	11	100.0													511	46.4	58.1										68	60.3	75.0	69	52.2	60.9	79	38.0	43.0										68	52.9	67.6	69	31.9	52.2	78	37.2	46.2										80	53.8	65.0			
Caswell County Schools	170338	N L Dillard Middle	Piedmont Triad	06-08		D	43	D	46	F	29	NotMet	-3.2	20	100.0													1382	30.9	37.8	21	85.7	>95																205	25.4	31.2	169	11.2	17.2	204	12.3	16.7										204	38.2	46.1	169	29.0	39.1	205	25.9	32.2				205	64.9	73.2
Caswell County Schools	170339	Oakwood Elementary	Piedmont Triad	PK-05	Y	D	43	D	46	D	40	NotMet	-5.34	11	100.0													406	29.1	39.4										55	27.3	38.2	52	38.5	48.1	64	17.2	20.3										55	36.4	45.5	52	46.2	57.7	64	12.5	26.6										64	31.3	45.3			
Caswell County Schools	170342	South Elementary	Piedmont Triad	PK-05	Y	C	58	D	53	C	63	NotMet	-3.69	12	100.0													347	44.7	57.3										50	46.0	56.0	59	40.7	54.2	43	69.8	76.7										50	34.0	42.0	59	37.3	55.9	43	39.5	51.2										43	51.2	69.8			
Caswell County Schools	170344	Stoney Creek Elementary	Piedmont Triad	0K-05	Y	C	55	D	50	C	60	NotMet	-2.79	6	100.0													234	38.0	52.1										37	37.8	59.5	41	51.2	61.0	26	34.6	38.5										37	35.1	45.9	41	29.3	48.8	26	23.1	42.3										26	53.8	65.4			
Catawba County Schools	180	Catawba County Schools	Northwest											83	100.0			1242	58.4	419	71.8	1276	94.0	1392	91.5	1396	90.6	21958	49.5	60.0	1656	52.5	63.9	1343	47.4	58.0	1363	47.8	59.6	1231	48.3	60.5	1280	52.7	61.3	1277	54.9	61.5	1258	46.5	53.8	1131	48.7	54.9	1320	43.9	50.6	1231	44.2	56.1	1280	41.0	56.3	1277	40.5	55.1	1258	50.5	61.2	1133	52.6	62.1	1321	41.2	54.4	1277	62.1	72.3	1322	66.8	77.5
Catawba County Schools	180302	Harry M Arndt Middle	Northwest	07-08		C	69	C	67	C	61	Exceeded	6.94	27	100.0													1601	53.9	62.8	32	>95	>95																			293	49.1	55.3	327	46.2	51.4													293	52.9	61.4	328	45.4	61.3				328	70.7	79.9
Catawba County Schools	180304	Balls Creek Elementary	Northwest	PK-06	Y	C	64	C	59	B	70	NotMet	-2.48	15	100.0													761	53.5	63.7										94	66.0	79.8	91	57.1	65.9	79	54.4	64.6	77	63.6	67.5							94	54.3	64.9	91	35.2	51.6	79	32.9	46.8	77	54.5	59.7							79	63.3	70.9			
Catawba County Schools	180308	Bandys High	Northwest	09-12		B	77					Met	1.09	25	100.0	N		208	66.8	87	78.2	197	>95	212	94.3	216	>95	695	56.3	66.8	255	63.1	72.9	216	56.5	67.6	224	48.2	58.9																																										
Catawba County Schools	180312	Banoak Elementary	Northwest	0K-06	Y	C	63	C	61	C	64	Met	0.2	8	100.0													391	46.0	58.8										50	30.0	54.0	41	51.2	65.9	41	56.1	61.0	43	46.5	55.8							50	34.0	48.0	41	36.6	58.5	41	63.4	68.3	43	48.8	58.1							41	53.7	63.4			
Catawba County Schools	180316	Blackburn Elementary	Northwest	0K-06	Y	C	62	C	61	C	58	Met	-1.31	19	100.0													901	47.7	58.9										97	47.4	57.7	112	53.6	67.0	97	59.8	67.0	96	26.0	33.3							97	44.3	53.6	112	41.1	56.3	97	43.3	58.8	96	42.7	55.2							97	71.1	80.4			
Catawba County Schools	180320	Bunker Hill High	Northwest	09-12		C	68					Met	1.64	33	100.0	N		204	46.1	84	65.5	243	90.5	273	89.4	245	93.5	698	35.5	50.0	245	37.1	51.0	210	34.3	51.0	243	35.0	48.1																																										
Catawba County Schools	180323	Catawba Rosenwald Education Center	Northwest	0K-12		N/A		N/A		N/A				4	100.0	N		<10	*	<10	*	<10	*	11	45.5	<10	*	98	6.1	13.3	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*
Catawba County Schools	180324	Catawba Elementary School	Northwest	PK-06	Y	C	55	D	53	C	55	Met	1.09	13	100.0													579	37.3	47.5										60	43.3	58.3	62	35.5	45.2	65	36.9	43.1	70	38.6	47.1							60	45.0	55.0	62	32.3	40.3	65	27.7	46.2	70	31.4	40.0							65	46.2	53.8			
Catawba County Schools	180325	Challenger Early College High	Northwest	09-12		A+NG	96					Exceeded	7.85	20	100.0	N		90	93.3			84	>95	84	>95	90	>95	310	86.5	93.9	107	80.4	92.5	91	93.4	>95	112	86.6	93.8																																										
