LEA,LEAname,SchoolCode,SchoolName,OfficialSchoolName,GradeLevelCurrent,SchoolType,SchoolProgramType,SchoolYear
10,Alamance-Burlington Schools,10303,Alamance-Burlington Middle College,Alamance-Burlington Middle College High School,09:10:11:12,Regular School,Cooperative Innovative High School,2013-14
10,Alamance-Burlington Schools,10304,Alexander Wilson Elementary,Alexander Wilson Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10308,Altamahaw Ossipee Elem,Altamahaw Ossipee Elem,KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10310,Broadview Middle,Broadview Middle,06:07:08,Regular School,None,2013-14
10,Alamance-Burlington Schools,10311,Career Technical Education Center,Career Technical Education Center,09:10:11:12,Vocational Education,None,2013-14
10,Alamance-Burlington Schools,10312,Highland Elementary,Highland Elementary,KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10320,E M Yoder Elementary,E M Yoder Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10324,Eastern Alamance High,Eastern Alamance High,09:10:11:12,Regular School,None,2013-14
10,Alamance-Burlington Schools,10326,Eastlawn Elementary,Eastlawn Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10328,Edwin M Holt Elementary,Edwin M Holt Elementary,KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10340,Elon Elementary,Elon Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10346,B Everett Jordan Elem,B Everett Jordan Elem,KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10347,Garrett Elementary,Garrett Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10348,Graham High,Graham High,09:10:11:12,Regular School,None,2013-14
10,Alamance-Burlington Schools,10350,Graham Middle,Graham Middle,06:07:08,Regular School,None,2013-14
10,Alamance-Burlington Schools,10351,Grove Park Elementary,Grove Park Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10353,Hawfields Middle,Hawfields Middle,06:07:08,Regular School,None,2013-14
10,Alamance-Burlington Schools,10354,Harvey R Newlin Elementary,Harvey R Newlin Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10357,Haw River Elementary,Haw River Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
10,Alamance-Burlington Schools,10358,Hillcrest Elementary,Hillcrest Elementary,PK:KG:01:02:03:04:05,Regular School,None,2013-14
