"countyname","teenbirth_all_perK","phys_perXK","chldfate_perXK","chldinsec_pct","chldobes_pct","jdelinq_perK","suspens_perK","jdetent_perK","chlddss_perK","chldabuse_perK","grad_pct","grade3_rd_pct","math1_pct","ACT","AMOtarget_pct","inc50all","poverty517_all_pct","unemp_all_pct","baplus_all_pct","singmom_all_pct"
"RICHMOND",66.20,10.54,3.73,27.80,13.10,27.47,380.44,2.28,3.98,5.49,81.00,44.50,61.40,16.80,68.50,33017,42.80,7.90,12.80,43.38
"ROBESON",64.00,13.93,11.78,32.10,20.30,30.41,358.02,1.39,14.12,24.97,86.60,39.30,37.30,15.90,56.40,32128,41.90,8.50,12.80,53.92
"ROCKINGHAM",46.40,10.91,5.14,25.80,14.10,22.78,157.65,1.09,11.94,17.72,81.40,57.80,52.90,17.70,54.50,40148,26.30,6.60,13.80,40.84
"ROWAN",44.00,12.90,7.59,25.80,13.10,26.97,179.50,1.22,6.45,9.41,85.10,50.10,45.60,17.10,60.90,44862,26.50,6.00,17.60,39.25
"RUTHERFORD",47.20,11.39,4.87,29.00,14.50,33.82,143.60,1.38,9.85,27.01,81.90,64.50,50.40,17.40,64.20,36998,29.60,7.80,16.20,36.08
"SAMPSON",59.00,9.63,4.37,24.80,20.90,17.36,147.77,3.76,10.37,9.30,83.20,59.00,59.40,17.00,71.30,40660,29.50,6.00,12.40,43.27
"SCOTLAND",68.80,19.97,8.09,32.90,12.80,28.35,255.57,1.19,4.23,15.63,81.80,53.50,61.80,16.20,70.70,35447,44.40,10.70,15.80,56.04
"STANLY",41.80,12.61,3.80,23.90,13.20,12.55,212.99,1.09,3.42,17.48,87.70,57.60,57.80,17.60,61.20,44878,25.10,5.30,16.20,33.38
"STOKES",29.90,5.56,6.44,25.30,15.00,14.43,80.52,1.48,15.53,18.62,90.30,59.80,59.90,18.20,69.20,42889,22.80,5.40,13.60,35.07
"SURRY",44.40,15.98,4.91,25.30,15.80,21.17,70.87,1.48,7.71,10.86,90.30,68.40,61.60,19.20,81.30,38408,27.00,5.50,14.90,33.05
"SWAIN",67.70,22.92,8.69,34.20,12.80,13.26,41.54,1.31,19.16,33.46,84.30,58.90,45.80,18.30,71.60,36103,26.00,7.90,15.90,38.42
"TRANSYLVANIA",32.20,17.35,8.84,26.10,14.30,15.45,66.36,0.50,10.30,18.47,84.50,71.70,58.30,18.70,74.80,45792,29.60,5.50,29.70,33.32
"TYRRELL",46.70,0.00,13.42,29.50,23.00,46.08,108.20,0.00,1.29,0.00,83.90,56.30,35.50,17.60,66.70,33759,36.20,9.40,8.00,40.99
"UNION",25.20,8.71,4.04,18.70,11.90,13.87,117.98,0.79,2.22,6.41,93.20,71.70,75.80,20.50,84.60,71690,12.70,4.80,33.40,22.75
"VANCE",64.80,17.97,5.51,27.60,11.30,18.45,288.57,3.90,6.38,13.67,77.50,45.70,32.20,15.50,52.20,32698,37.30,8.60,11.40,57.33
"WAKE",25.90,24.05,3.89,18.40,14.50,11.86,75.00,1.20,4.01,6.17,86.10,69.50,71.70,20.20,68.90,70629,14.70,4.70,49.00,28.06
"WARREN",54.40,0.49,12.83,26.10,12.60,30.26,273.91,4.05,3.11,11.41,72.00,42.90,35.30,16.30,53.10,34149,37.10,8.40,15.40,51.85
"WASHINGTON",46.10,6.31,0.00,28.00,18.90,14.78,148.52,1.55,4.38,8.04,88.40,42.20,37.50,14.90,54.90,35146,40.90,8.80,10.40,55.97
"WATAUGA",8.80,23.62,2.89,25.10,15.60,15.21,15.82,0.21,9.60,13.90,87.90,70.90,63.60,20.20,84.90,41762,18.90,4.90,38.40,29.27
"WAYNE",54.50,15.52,5.51,25.90,13.60,18.92,264.85,2.10,4.86,8.64,85.10,46.10,45.80,17.20,62.20,41161,28.10,6.10,18.40,45.86
"WILKES",48.00,10.73,6.79,27.80,19.70,26.60,61.68,2.57,19.76,17.56,87.60,55.00,50.50,18.00,67.40,40647,27.40,5.70,12.80,26.52
"WILSON",54.10,15.11,3.11,28.50,15.00,28.43,219.55,2.64,4.69,7.66,81.50,52.60,45.30,17.90,63.30,41276,30.30,9.60,18.00,44.47
"YADKIN",40.20,4.76,3.63,25.60,14.00,19.44,58.57,1.55,9.64,10.01,90.10,54.60,59.50,17.80,74.80,41208,24.90,5.00,11.90,30.69
"YANCEY",54.40,9.49,0.00,28.90,11.00,19.95,43.79,0.42,11.58,29.11,92.40,70.80,68.20,18.00,85.90,36418,29.20,5.90,19.30,24.59
