NCAccModel_2014_Summary																																																																																
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																
* or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																
District Name	School Code	School Name	SBE Region	Grade Span	Title I School	SPG Grade	SPG Score	Reading SPG Grade	Reading SPG Score	Math SPG Grade	Math SPG Score	EVAAS Growth Status	Percent Teachers Meet/Exceed Growth	AMO Target Denominator	AMO Target Percent	Graduation Project	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WorkKeys Percent	MCR Denominator	MCR Percent	Cohort Graduation Rate Standard Denominator	Cohort Graduation Rate Standard Percent	Cohort Graduation Rate Extended Denominator	Cohort Graduation Rate Extended Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	Math I Denominator	Math I Percent College/Career Ready	Math I Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
Cabarrus County Schools	130326	Northwest Cabarrus High	6	09-12		B	72					Exceeded	93.3	78	82.1	N	251	59.8	131	65.6	240	>95	251	93.6	230	93.0	924	45.1	56.8	324	41.4	54.9	295	46.1	58.0	305	48.2	57.7																																										
Cabarrus County Schools	130327	Northwest Cabarrus Middle	6	06-09		C	62	C	62	D	52	Exceeded	97.2	54	74.1												2142	44.7	55.4	63	>95	>95																280	35.7	49.3	289	36.3	44.6	313	30.7	37.4										280	45.7	58.6	290	44.8	56.9	314	40.8	55.1				313	66.1	76.0
Cabarrus County Schools	130328	Royal Oaks Elementary	6	0K-06	Y	D	53	D	50	C	55	Met	94.4	25	72.0												364	35.2	47.0										52	30.8	44.2	43	30.2	48.8	58	50.0	51.7										52	26.9	42.3	43	39.5	46.5	58	27.6	43.1										58	39.7	51.7			
Cabarrus County Schools	130329	Rocky River Elementary	6	PK-06	Y	D	53	C	55	D	52	NotMet	89.4	36	77.8												924	38.0	49.1										128	37.5	56.3	133	36.1	40.6	134	38.1	44.0										128	43.8	57.8	133	32.3	42.1	134	39.6	50.7										134	38.8	53.0			
Cabarrus County Schools	130330	R Brown McAllister Elementary	6	0K-06	Y	B	72	C	66	B	72	Exceeded	100.0	16	100.0												269	55.8	66.2										35	60.0	68.6	35	42.9	51.4	43	67.4	76.7										35	68.6	74.3	35	28.6	40.0	43	51.2	69.8										43	67.4	76.7			
Cabarrus County Schools	130331	Pitts School Road Elementary	6	0K-06		C	64	C	66	C	64	NotMet	82.9	37	97.3												1066	54.9	66.2										138	66.7	77.5	137	54.0	60.6	172	56.4	61.6										138	56.5	66.7	137	48.9	65.0	172	48.3	64.0										172	54.7	69.2			
Cabarrus County Schools	130332	Hickory Ridge High	6	09-12		B	83					Exceeded	100.0	62	100.0	N	334	74.9	112	79.5	332	>95	334	>95	352	>95	1160	61.1	72.2	440	59.5	73.2	353	56.9	68.0	367	67.0	75.2																																										
Cabarrus County Schools	130333	Performance Learning Center	6	09-12		C	62							9	66.7	N	21	52.4	24	41.7	67	82.1	62	80.6	54	88.9	60	23.3	28.3	<5	*	*	30	20.0	23.3	26	30.8	34.6																																										
Cabarrus County Schools	130335	Long School	6	PK-PK		I																																																																										
Cabarrus County Schools	130336	W R Odell Elementary	6	0K-06		B	76	B	75	B	76	Met	100.0	36	100.0												1098	64.2	75.4										160	72.5	83.1	131	64.1	70.2	172	67.4	75.0										160	67.5	78.1	131	59.5	73.3	172	50.0	69.2										172	68.0	77.9			
Cabarrus County Schools	130338	Weddington Hills Elementary	6	0K-06	Y	C	63	C	61	C	66	Met	91.2	41	85.4												915	47.3	57.9										126	49.2	58.7	117	58.1	65.0	143	50.3	60.1										126	46.0	57.9	117	45.3	62.4	143	39.2	48.3										143	44.8	55.2			
Cabarrus County Schools	130340	Winecoff Elementary	6	PK-06	Y	D	47	D	51	D	51	NotMet	76.5	41	70.7												912	32.5	44.0										142	50.7	62.0	110	37.3	43.6	136	36.8	39.7										142	33.8	45.8	110	24.5	40.0	136	25.0	42.6										136	17.6	32.4			
Cabarrus County Schools	130342	W M Irvin Elementary	6	PK-06	Y	D	47	D	53	D	52	NotMet	87.5	42	64.3												927	32.7	42.6										141	41.8	53.9	131	42.7	51.1	128	22.7	30.5										141	42.6	55.3	131	43.5	51.9	128	18.8	31.3										127	14.2	21.3			
Cabarrus County Schools	130344	Wolf Meadow Elementary	6	0K-06	Y	D	52	D	52	C	57	Met	84.0	34	73.5												618	33.5	46.6										97	44.3	56.7	86	32.6	40.7	84	52.4	56.0										97	33.0	51.5	86	20.9	38.4	84	27.4	47.6										84	22.6	33.3			
Cabarrus County Schools	130345	Patriots Elementary	6	0K-06		C	69	B	70	C	65	Met	100.0	37	97.3												1067	51.7	65.0										160	56.3	71.9	129	44.2	55.8	163	46.6	57.7										160	59.4	68.1	129	55.8	68.2	163	46.0	61.3										163	53.4	71.2			
Cabarrus County Schools	130346	Hickory Ridge Middle	6	06-09		B	74	B	72	C	68	Exceeded	95.3	52	98.1												2801	60.5	69.4	121	>95	>95																368	48.9	56.0	372	55.4	64.2	400	55.8	64.3										368	62.5	72.8	372	58.3	68.8	400	55.3	67.3				400	75.0	82.3
Cabarrus County Schools	130350	Cabarrus-Kannapolis Early Coll	6	09-13		A	87					Met	100.0	14	100.0	N	54	90.7			49	>95	29	>95	<5	*	194	73.7	84.5	69	68.1	76.8	63	69.8	85.7	62	83.9	91.9																																										
Cabarrus County Schools	130355	Harold E. Winkler Middle	6	06-09		C	62	C	60	D	52	Exceeded	94.1	50	74.0												2349	45.6	54.7	68	>95	>95																286	33.9	43.7	352	29.0	35.5	335	45.1	53.7										286	44.8	57.0	352	42.6	51.1	335	46.3	57.0				335	65.7	75.5
Kannapolis City Schools	132	Kannapolis City Schools	3											138	72.5		330	53.6	122	68.0	278	>95	330	83.3	384	85.2	6912	34.3	44.2	459	35.7	48.1	361	33.8	44.3	350	40.3	52.3	438	37.7	51.8	371	46.4	54.2	422	36.7	42.4	441	22.4	29.3	416	21.6	28.6	384	21.1	28.4	438	35.2	46.3	370	36.2	47.8	421	32.5	43.2	440	29.3	40.2	415	32.5	41.7	382	32.5	43.2	422	42.2	51.9	382	50.0	61.0
Kannapolis City Schools	132304	A L Brown High	3	09-12		C	59					NotMet	75.0	83	79.5	Y	330	53.6	122	68.0	278	>95	330	83.3	385	85.2	1116	33.6	45.8	405	27.7	41.5	361	33.8	44.3	350	40.3	52.3																																										
Kannapolis City Schools	132308	Forest Park Elementary	3	0K-04	Y	C	60	C	59	C	61	Exceeded	74.3	25	92.0												471	41.4	52.9										121	31.4	47.1	115	55.7	60.0													121	38.0	47.1	114	41.2	57.9																		
Kannapolis City Schools	132312	Fred L Wilson Elementary	3	PK-04	Y	C	55	D	48	C	60	Exceeded	100.0	19	84.2												258	36.4	46.5										70	38.6	54.3	59	50.8	52.5													70	27.1	37.1	59	30.5	42.4																		
Kannapolis City Schools	132328	Jackson Park Elementary	3	0K-04	Y	C	55	D	54	C	55	Met	66.7	21	76.2												344	34.3	48.5										95	29.5	45.3	77	42.9	57.1													95	27.4	43.2	77	40.3	50.6																		
Kannapolis City Schools	132329	Kannapolis Intermediate	3	05-06	Y	D	44	D	46	D	41	NotMet	67.6	51	64.7												2146	32.5	41.3																422	36.7	42.4	441	22.4	29.3													421	32.5	43.2	440	29.3	40.2							422	42.2	51.9			
Kannapolis City Schools	132330	Kannapolis Middle	3	07-08		D	45	D	50	F	34	NotMet	71.9	55	69.1												2033	33.1	41.9	54	>95	>95																			416	21.6	28.6	384	21.1	28.4													415	32.5	41.7	382	32.5	43.2				382	50.0	61.0
Kannapolis City Schools	132332	Shady Brook Elementary	3	0K-04	Y	C	58	C	56	C	60	Met	100.0	17	82.4												280	41.4	52.1										83	49.4	59.0	57	36.8	50.9													83	41.0	53.0	57	35.1	42.1																		
Kannapolis City Schools	132336	Woodrow Wilson Elementary	3	PK-04	Y	D	54	D	51	C	57	Met	100.0	23	91.3												264	38.6	47.7										69	44.9	58.0	63	38.1	44.4													69	42.0	50.7	63	28.6	36.5																		
Caldwell County Schools	140	Caldwell County Schools	7											145	84.8		808	62.0	276	73.9	890	>95	978	90.9	950	89.4	16244	47.5	58.7	1279	51.4	63.8	1007	47.2	57.2	1046	51.8	62.7	863	40.2	55.7	858	38.3	48.4	897	44.8	52.5	937	38.7	45.9	936	39.1	46.9	1011	39.0	47.7	863	45.8	61.1	858	47.1	58.5	897	44.5	59.5	937	50.7	62.1	936	51.9	64.0	1011	45.6	58.9	897	57.0	68.6	1011	70.3	80.0
Caldwell County Schools	140304	Baton Elementary	7	PK-05	Y	B	71	C	69	C	66	Exceeded	87.5	19	94.7												476	54.0	66.0										64	57.8	79.7	69	37.7	50.7	70	54.3	58.6										64	62.5	75.0	69	50.7	59.4	70	44.3	60.0										70	71.4	80.0			
Caldwell County Schools	140305	Caldwell Career Cen Mid. Coll.	7	09-12		B	81					Met	80.0	27	88.9	Y	58	77.6	41	90.2	43	>95	47	91.5	53	84.9	184	62.5	75.0	62	61.3	79.0	62	46.8	54.8	60	80.0	91.7																																										
Caldwell County Schools	140306	Gateway School	7	06-12	Y	N/A		N/A		N/A						Y	<5	*									67	7.5	17.9	13	<5	15.4	6	<5	<5	11	18.2	18.2										<5	*	*	<5	*	*	9	11.1	22.2										<5	*	*	<5	*	*	9	<5	22.2				9	22.2	22.2
Caldwell County Schools	140307	Horizons Elementary	7	0K-05	Y	N/A		N/A		N/A																	43	25.6	34.9										<5	*	*	<5	*	*	9	22.2	22.2										<5	*	*	<5	*	*	9	22.2	22.2										9	33.3	55.6			
Caldwell County Schools	140308	Collettsville School	7	0K-08	Y	B	77	B	76	B	71	Exceeded	100.0	23	100.0												567	64.9	74.1	24	79.2	>95							38	50.0	68.4	27	40.7	51.9	33	72.7	72.7	53	67.9	71.7	32	46.9	59.4	48	60.4	70.8	38	52.6	68.4	27	55.6	70.4	33	51.5	63.6	53	73.6	81.1	32	68.8	75.0	48	72.9	79.2	33	63.6	72.7	48	>95	>95
Caldwell County Schools	140309	Caldwell Early College	7	09-13		A	93					Exceeded	100.0	37	100.0	Y	77	>95			86	>95	78	>95	72	>95	247	78.9	88.7	83	77.1	90.4	79	74.7	84.8	85	84.7	90.6																																										
Caldwell County Schools	140312	Davenport A+ School	7	0K-05	Y	C	64	C	66	C	58	Exceeded	94.1	31	87.1												604	45.5	57.9										87	32.2	48.3	95	30.5	43.2	80	55.0	65.0										87	46.0	59.8	95	48.4	60.0	80	50.0	66.3										80	60.0	66.3			
Caldwell County Schools	140316	Dudley Shoals Elementary	7	PK-05	Y	C	66	B	70	C	55	Exceeded	92.9	23	87.0												622	47.7	60.6										89	38.2	49.4	87	42.5	47.1	90	41.1	54.4										89	47.2	64.0	87	47.1	63.2	90	48.9	65.6										90	68.9	80.0			
Caldwell County Schools	140324	Gamewell Elementary	7	PK-05	Y	C	61	C	62	C	55	Exceeded	91.7	23	82.6												600	40.8	52.0										92	22.8	33.7	79	41.8	51.9	86	44.2	51.2										92	37.0	46.7	79	57.0	70.9	86	38.4	50.0										86	47.7	62.8			
Caldwell County Schools	140332	Gamewell Middle	7	06-08	Y	C	56	C	57	D	45	Exceeded	100.0	41	70.7												1479	36.2	46.7	30	93.3	>95																198	30.8	36.4	216	22.7	30.1	207	27.1	34.3										198	41.4	54.0	216	39.8	51.9	207	30.4	43.5				207	53.6	69.6
Caldwell County Schools	140336	Granite Falls Middle	7	06-08	Y	C	69	C	69	C	62	Exceeded	82.8	36	91.7												1539	53.0	63.1	56	>95	>95																215	40.0	47.9	204	52.5	61.8	215	45.1	52.6										215	52.6	63.3	204	57.4	69.1	215	47.0	60.5				215	64.2	77.2
Caldwell County Schools	140340	Granite Falls Elementary	7	0K-05	Y	B	72	B	71	C	69	Exceeded	100.0	27	100.0												748	55.5	67.4										102	55.9	65.7	101	52.5	59.4	114	57.9	66.7										102	52.0	68.6	101	55.4	68.3	114	50.9	65.8										114	63.2	76.3			
Caldwell County Schools	140344	Happy Valley Elementary	7	0K-08	Y	C	63	C	63	C	55	Met	92.9	19	84.2												493	46.7	58.2	17	70.6	82.4							22	27.3	40.9	40	22.5	32.5	32	21.9	34.4	33	36.4	54.5	38	52.6	65.8	38	50.0	60.5	22	22.7	40.9	40	32.5	40.0	32	25.0	37.5	33	69.7	72.7	38	55.3	73.7	38	60.5	76.3	32	62.5	75.0	38	84.2	84.2
Caldwell County Schools	140348	Hibriten High	7	09-12		B	72					Met	92.3	49	81.6	Y	185	58.9	60	71.7	193	>95	215	91.2	214	90.2	648	45.5	57.1	223	31.4	42.2	206	47.6	61.2	219	58.0	68.5																																										
Caldwell County Schools	140352	Hudson Elementary	7	PK-05	Y	C	67	C	68	C	63	Exceeded	95.2	31	93.5												832	47.8	61.5										115	51.3	69.6	118	33.1	44.9	122	48.4	57.4										115	49.6	66.1	118	46.6	58.5	122	45.9	63.9										122	59.8	70.5			
Caldwell County Schools	140356	Hudson Middle	7	06-08	Y	C	69	C	69	C	58	Exceeded	96.7	36	86.1												1807	53.8	63.3	62	>95	>95																227	45.4	52.0	236	41.5	47.9	273	37.7	49.5										227	51.1	64.3	236	57.2	66.9	273	50.9	63.7				273	80.6	86.8
Caldwell County Schools	140360	Kings Creek Elementary	7	PK-08	Y	C	65	C	69	C	55	Met	84.6	19	84.2												386	47.4	61.9	<5	*	*							21	33.3	61.9	19	68.4	84.2	23	60.9	69.6	27	11.1	25.9	25	28.0	32.0	44	31.8	47.7	21	42.9	52.4	19	57.9	68.4	23	52.2	73.9	27	37.0	55.6	25	60.0	80.0	44	45.5	63.6	23	69.6	78.3	44	70.5	79.5
Caldwell County Schools	140368	William Lenoir Middle	7	06-08	Y	C	65	C	64	C	55	Exceeded	93.8	40	85.0												1165	50.4	58.2	54	>95	>95																164	37.2	43.3	165	40.0	46.7	151	44.4	48.3										164	49.4	59.1	165	49.1	62.4	151	43.7	55.0				151	74.2	80.1
Caldwell County Schools	140372	Lower Creek Elementary	7	0K-05	Y	C	67	C	68	C	62	Met	100.0	17	94.1												410	49.8	63.4										59	44.1	62.7	56	48.2	62.5	60	41.7	46.7										59	39.0	59.3	56	51.8	64.3	60	56.7	71.7										60	66.7	76.7			
Caldwell County Schools	140376	Oak Hill Elementary	7	0K-08	Y	C	58	C	67	D	40	Met	90.5	17	76.5												244	38.9	51.2										9	11.1	22.2	15	26.7	26.7	16	25.0	31.3	19	5.3	15.8	16	25.0	37.5	26	30.8	38.5	9	33.3	44.4	15	33.3	40.0	16	37.5	43.8	19	57.9	68.4	16	56.3	75.0	26	53.8	80.8	16	37.5	43.8	26	73.1	>95
Caldwell County Schools	140384	Sawmills Elementary	7	0K-05	Y	C	56	C	65	D	54	Met	77.8	17	70.6												310	40.0	49.7										48	35.4	45.8	38	50.0	57.9	46	28.3	34.8										48	45.8	64.6	38	55.3	63.2	46	45.7	54.3										46	23.9	30.4			
Caldwell County Schools	140386	South Caldwell High	7	09-12		B	71					Met	70.6	59	84.7	Y	318	60.1	101	79.2	359	>95	386	92.7	355	>95	1274	46.5	58.9	401	48.4	62.8	437	44.9	55.4	436	46.6	58.9																																										
Caldwell County Schools	140388	Valmead Elementary	7	PK-05	Y	D	49	C	55	F	37	Met	85.7	17	58.8												245	27.3	40.8										28	35.7	46.4	33	18.2	27.3	41	12.2	14.6										28	39.3	67.9	33	24.2	33.3	41	31.7	46.3										41	34.1	56.1			
Caldwell County Schools	140390	West Caldwell High	7	09-12		C	64					Met	69.2	45	77.8	Y	167	48.5	74	59.5	209	>95	237	90.3	232	87.5	705	34.9	46.5	253	24.9	41.9	217	42.9	49.3	235	38.3	48.9																																										
Caldwell County Schools	140392	West Lenoir Elementary	7	0K-05	Y	D	46	D	48	D	40	NotMet	80.0	15	60.0												188	23.4	40.4										30	26.7	46.7	19	10.5	21.1	30	20.0	26.7										30	33.3	50.0	19	10.5	21.1	30	23.3	46.7										30	30.0	56.7			
Caldwell County Schools	140396	Whitnel Elementary	7	PK-05	Y	C	57	C	56	C	55	Met	100.0	21	85.7												361	39.9	51.0										55	30.9	52.7	58	32.8	43.1	45	44.4	51.1										55	45.5	52.7	58	36.2	43.1	45	37.8	53.3										45	55.6	64.4			
Camden County Schools	150	Camden County Schools	1											80	92.5		139	69.1	50	86.0	124	>95	157	80.3	144	85.4	2595	55.0	66.9	194	51.0	71.1	156	55.1	67.3	157	64.3	76.4	133	69.2	85.0	142	37.3	50.7	157	53.5	59.9	156	28.8	40.4	150	32.0	39.3	151	37.1	45.0	133	65.4	76.7	142	63.4	76.1	157	52.2	68.2	156	60.9	75.6	150	55.3	64.7	151	47.7	63.6	159	79.2	86.8	151	84.8	92.1
Camden County Schools	150304	Camden County High	1	09-12		B	80					Exceeded	100.0	34	97.1	Y	89	65.2	44	84.1	107	>95	127	85.0	88	87.5	358	55.3	70.1	133	45.9	68.4	112	58.9	67.9	113	62.8	74.3																																										
Camden County Schools	150308	Grandy Primary	1	0K-03	Y	B	83	B	79	A	85	Exceeded	100.0	13	100.0												266	67.3	80.8										133	69.2	85.0																133	65.4	76.7																					
Camden County Schools	150310	Camden Intermediate	1	04-06		C	68	B	75	D	53	Met	91.3	31	90.3												1069	53.8	65.5													142	37.3	50.7	157	53.5	59.9	156	28.8	40.4										142	63.4	76.1	157	52.2	68.2	156	60.9	75.6							159	79.2	86.8			
Camden County Schools	150312	Camden Middle	1	07-08		C	65	C	65	D	49	Met	100.0	31	90.3												777	52.8	62.0	24	>95	>95																			150	32.0	39.3	151	37.1	45.0													150	55.3	64.7	151	47.7	63.6				151	84.8	92.1
Camden County Schools	150700	CamTech High	1	09-12		B	76					Met	100.0	19	89.5	Y	50	76.0	6	>95	17	>95	26	69.2	54	85.2	125	52.0	71.2	37	40.5	64.9	44	45.5	65.9	44	68.2	81.8																																										
Carteret County Public Schools	160	Carteret County Public Schools	2											140	91.4		571	79.3	162	85.8	540	>95	612	87.9	642	86.4	11262	57.0	67.1	758	71.0	82.3	541	65.4	74.9	716	66.2	74.7	636	55.8	70.9	548	53.5	60.8	616	49.8	58.1	638	43.4	54.2	748	47.1	54.7	753	46.6	54.4	636	62.4	74.1	549	55.0	66.1	616	45.9	61.2	638	64.4	72.9	748	61.8	71.4	753	52.2	62.4	616	55.5	67.4	752	70.6	79.1
Carteret County Public Schools	160304	Atlantic Elementary	2	PK-08	Y	B	75	B	80	C	65	Met	85.7	13	100.0												144	57.6	72.9	5	>95	>95							15	40.0	66.7	5	60.0	60.0	10	40.0	50.0	11	45.5	63.6	7	42.9	42.9	11	63.6	72.7	15	60.0	73.3	5	20.0	60.0	10	30.0	80.0	11	81.8	81.8	7	71.4	71.4	11	63.6	>95	10	80.0	80.0	11	72.7	81.8
Carteret County Public Schools	160306	Bogue Sound Elementary	2	PK-05	Y	C	61	C	64	C	63	NotMet	78.9	21	81.0												471	48.2	59.4										73	47.9	64.4	71	59.2	64.8	61	39.3	47.5										73	46.6	67.1	71	56.3	63.4	61	41.0	54.1										61	44.3	50.8			
Carteret County Public Schools	160308	Beaufort Elementary	2	PK-05	Y	B	72	B	74	B	70	Met	95.0	27	100.0												518	57.5	70.1										77	62.3	72.7	62	48.4	59.7	80	65.0	73.8										77	61.0	75.3	62	59.7	69.4	80	53.8	70.0										80	51.3	67.5			
Carteret County Public Schools	160309	Bridges School	2	0K-12		N/A		N/A		N/A						N											51	15.7	27.5	<5	*	*				<5	*	*	<5	*	*	<5	*	*	<5	*	*	<5	*	*	7	<5	<5	<5	*	*	<5	*	*	<5	*	*	<5	*	*	<5	*	*	7	28.6	42.9	<5	*	*	<5	*	*	<5	*	*
Carteret County Public Schools	160310	Beaufort Middle	2	06-08		C	63	C	68	D	52	Met	88.9	31	80.6												683	49.5	58.6	29	>95	>95																71	32.4	42.3	97	33.0	45.4	106	36.8	45.3										71	52.1	59.2	97	52.6	64.9	106	54.7	66.0				106	66.0	70.8
Carteret County Public Schools	160311	Broad Creek Middle	2	06-08		B	76	B	77	C	68	Exceeded	96.3	42	95.2												1608	61.8	70.3	56	>95	>95																195	46.7	59.0	230	61.7	68.7	234	50.9	57.7										195	69.7	80.0	230	70.9	78.3	234	52.1	63.7				234	70.9	78.2
Carteret County Public Schools	160313	East Carteret High	2	06-12		B	80	F	0	F	0	Exceeded	87.5	46	87.0	N	126	66.7	53	79.2	132	>95	146	89.0	133	76.7	379	54.6	66.8	116	38.8	62.1	100	78.0	85.0	145	57.9	66.2																6	<5	<5																6	<5	<5				6	<5	<5
Carteret County Public Schools	160314	Croatan High	2	09-12		A	89					Exceeded	100.0	49	95.9	N	198	87.9	52	94.2	184	>95	216	88.9	200	89.5	662	70.7	81.4	193	72.0	84.5	221	66.5	76.9	248	73.4	83.1																																										
Carteret County Public Schools	160316	Harkers Island Elementary	2	0K-08	Y	B	78	B	79	B	71	Met	100.0	15	100.0												199	67.3	76.4	11	>95	>95							17	64.7	82.4	10	90.0	90.0	12	58.3	58.3	10	20.0	40.0	12	50.0	50.0	18	77.8	83.3	17	70.6	82.4	10	80.0	80.0	12	58.3	58.3	10	60.0	80.0	12	50.0	66.7	18	83.3	94.4	12	50.0	58.3	18	77.8	94.4
Carteret County Public Schools	160317	Morehead Elem at Camp Glenn	2	04-05	Y	C	61	C	62	D	53	Met	86.4	31	80.6												694	46.7	57.3													149	42.3	48.3	132	45.5	52.3													149	38.9	52.3	132	43.2	62.9										132	65.2	72.7			
Carteret County Public Schools	160318	Morehead City Middle	2	05-08		B	70	B	72	C	60	Exceeded	100.0	35	94.3												1231	58.4	66.3	48	>95	>95																162	41.4	51.2	184	41.8	49.5	164	54.3	61.6										162	64.2	71.6	184	59.8	68.5	164	60.4	68.3				163	77.3	85.9
Carteret County Public Schools	160322	Morehead City Primary	2	PK-05	Y	B	74	B	76	C	69	Met	100.0	13	100.0												281	61.6	71.5										138	58.7	70.3	<5	*	*	<5	*	*										138	66.7	75.4	<5	*	*	<5	*	*										<5	*	*			
Carteret County Public Schools	160324	Newport Elementary	2	PK-05	Y	C	69	C	69	B	70	Met	87.5	27	96.3												888	55.7	67.8										128	62.5	78.1	112	67.0	73.2	136	47.1	55.9										128	61.7	74.2	112	65.2	79.5	136	40.4	51.5										136	50.7	66.2			
Carteret County Public Schools	160326	Newport Middle	2	06-08		C	65	C	67	C	56	Met	90.0	35	91.4												1156	52.2	61.5	22	>95	>95																147	46.9	57.8	171	42.7	49.7	166	37.3	47.0										147	63.3	71.4	171	56.7	68.4	166	42.8	51.2				166	70.5	80.7
Carteret County Public Schools	160332	Smyrna Elementary	2	PK-08	Y	B	70	B	72	C	61	Exceeded	90.5	25	96.0												532	55.1	65.6	13	92.3	>95							49	32.7	51.0	22	50.0	63.6	29	58.6	58.6	39	48.7	51.3	40	47.5	55.0	44	47.7	56.8	49	49.0	61.2	22	63.6	77.3	29	44.8	69.0	39	61.5	69.2	40	70.0	80.0	44	47.7	56.8	29	82.8	89.7	44	68.2	81.8
Carteret County Public Schools	160344	West Carteret High	2	09-12		B	84					Exceeded	92.9	56	92.9	Y	247	78.9	57	84.2	224	>95	249	86.7	306	89.5	805	63.5	73.4	264	65.9	78.8	220	58.6	68.2	321	64.8	72.6																																										
Carteret County Public Schools	160352	White Oak Elementary	2	PK-05		B	71	B	74	C	69	Met	89.7	27	92.6												960	56.9	68.3										135	57.0	74.1	114	52.6	61.4	154	51.3	62.3										135	73.3	80.7	114	62.3	70.2	154	51.9	64.3										154	51.9	66.2			
Caswell County Schools	170	Caswell County Schools	5											104	60.6		169	37.3	67	59.7	157	>95	193	77.2	217	79.7	3821	35.7	45.6	342	25.1	38.0	200	21.5	27.5	186	33.9	44.1	202	41.1	55.9	185	41.1	46.5	228	42.5	49.1	218	28.9	36.2	261	17.2	21.8	225	18.2	23.6	202	41.6	55.9	185	35.1	48.6	228	30.3	45.6	218	45.4	54.6	261	33.0	43.7	226	42.5	52.7	228	57.0	67.5	226	61.5	71.2
Caswell County Schools	170316	Bartlett Yancey High	5	09-12		D	50					NotMet	0.0	58	51.7	N	169	37.3	67	59.7	157	>95	193	77.2	217	79.7	628	22.5	32.3	242	14.5	27.3	200	21.5	27.5	186	33.9	44.1																																										
Caswell County Schools	170334	North Elementary	5	PK-05	Y	C	64	C	58	C	62	Met	84.4	23	91.3												509	48.3	59.7										80	53.8	72.5	65	38.5	46.2	73	46.6	54.8										80	47.5	56.3	65	36.9	50.8	73	37.0	53.4										73	75.3	80.8			
Caswell County Schools	170338	N L Dillard Middle	5	06-08		D	51	C	57	F	33	Met	68.0	43	74.4												1735	35.7	44.1	100	51.0	64.0																218	28.9	36.2	261	17.2	21.8	225	18.2	23.6										218	45.4	54.6	261	33.0	43.7	226	42.5	52.7				226	61.5	71.2
Caswell County Schools	170339	Oakwood Elementary	5	PK-05	Y	D	53	D	51	D	51	Met	85.3	27	81.5												401	34.9	44.9										49	36.7	46.9	51	49.0	51.0	67	22.4	31.3										49	46.9	61.2	51	41.2	51.0	67	17.9	29.9										67	38.8	50.7			
Caswell County Schools	170342	South Elementary	5	PK-05	Y	C	58	D	54	C	55	Met	97.1	23	73.9												361	37.4	52.4										52	15.4	34.6	46	43.5	47.8	55	60.0	63.6										52	28.8	48.1	46	30.4	50.0	55	27.3	49.1										55	54.5	70.9			
Caswell County Schools	170344	Stoney Creek Elementary	5	0K-05	Y	C	58	C	55	D	54	Met	63.6	15	80.0												187	44.4	52.9										21	66.7	66.7	23	26.1	34.8	33	45.5	48.5										21	38.1	61.9	23	26.1	34.8	33	45.5	54.5										33	57.6	66.7			
Catawba County Schools	180	Catawba County Schools	7											175	72.0		1233	63.6	358	66.8	1197	92.1	1311	90.8	1411	92.5	22386	49.1	59.5	1617	53.1	67.0	1238	52.7	61.9	1364	57.3	68.6	1256	48.0	59.3	1142	50.0	56.8	1320	50.9	57.7	1320	49.0	56.6	1331	37.4	44.2	1369	39.3	47.7	1256	49.0	60.0	1142	40.6	53.4	1320	39.9	54.0	1320	50.8	63.3	1334	47.1	57.0	1369	45.0	59.2	1319	57.4	67.9	1369	64.9	74.2
