"countyname","teenbirth_all_perK","phys_perXK","chldfate_perXK","chldinsec_pct","chldobes_pct","jdelinq_perK","suspens_perK","jdetent_perK","chlddss_perK","chldabuse_perK","grad_pct","grade3_rd_pct","math1_pct","ACT","AMOtarget_pct","inc50all","poverty517_all_pct","unemp_all_pct","baplus_all_pct","singmom_all_pct"
ALAMANCE,41.70,17.77,6.84,26.10,17.50,24.57,98.90,2.45,4.28,6.34,79.00,54.90,58.00,17.40,54.20,41379,24.40,5.60,21.00,40.77
ALEXANDER,39.10,4.01,1.25,27.60,12.80,26.32,53.21,4.10,12.19,20.74,84.90,63.60,64.20,18.40,79.60,41157,22.90,5.50,13.00,27.44
ALLEGHANY,53.70,8.14,0.00,28.60,19.40,161.79,87.93,4.69,14.19,15.66,92.20,63.00,61.50,18.70,75.90,30859,34.20,6.70,17.40,27.62
ANSON,61.90,7.22,9.07,27.20,19.20,52.58,513.18,6.32,2.55,14.77,79.00,48.30,18.80,15.30,58.30,33927,35.90,7.00,10.70,56.32
ASHE,51.80,9.84,9.57,30.30,13.60,15.89,77.90,2.78,12.20,24.39,86.60,64.30,54.20,18.30,89.20,32097,31.20,6.80,18.60,29.04
AVERY,26.70,9.51,6.86,27.40,11.60,34.40,14.93,3.01,11.83,17.40,95.00,61.00,59.30,18.80,84.90,34404,31.70,6.40,20.10,22.34
BEAUFORT,60.80,11.51,4.89,27.40,14.90,30.01,174.37,2.25,9.81,14.77,80.10,57.40,57.00,17.80,69.70,39269,28.80,7.20,17.80,40.93
BERTIE,56.00,4.37,7.32,26.90,15.40,20.09,195.69,3.16,4.97,3.48,84.20,42.40,42.30,15.10,67.10,29779,38.90,7.80,11.10,47.09
BLADEN,47.80,7.10,10.35,29.80,15.90,11.94,247.76,0.55,5.12,11.17,76.00,52.10,34.40,15.50,61.70,29104,35.80,9.20,11.50,50.59
BRUNSWICK,46.40,10.11,5.77,27.20,14.60,44.45,109.54,2.05,10.04,11.23,82.10,61.80,58.50,18.20,71.90,44605,30.00,7.60,25.40,32.53
BUNCOMBE,37.90,38.09,6.50,24.90,14.10,16.56,124.23,1.46,8.17,13.31,83.70,66.00,66.80,19.10,77.90,43287,20.50,4.60,35.10,32.79
BURKE,46.90,22.90,3.69,29.00,14.30,19.35,80.97,1.19,9.18,23.02,90.80,61.70,63.20,18.50,79.80,38330,30.10,6.20,17.40,38.63
CABARRUS,38.60,23.01,5.10,22.20,12.20,11.77,88.03,0.35,3.05,5.83,87.40,62.60,62.40,18.90,80.40,52086,16.70,5.60,26.20,26.35
CALDWELL,51.60,9.70,3.97,28.60,12.90,18.04,68.33,0.96,19.39,21.69,90.90,61.10,63.80,18.40,84.80,36484,27.70,7.10,13.40,33.69
CAMDEN,28.50,0.00,0.00,21.00,16.90,8.98,40.78,0.00,2.64,9.68,80.30,76.70,71.10,19.40,92.50,69353,14.20,6.00,19.30,23.02
CARTERET,39.20,15.31,7.17,26.30,16.70,13.81,104.17,1.48,7.94,11.55,87.90,74.10,82.30,20.70,91.40,45135,24.30,6.00,24.20,39.52
CASWELL,37.90,2.52,2.22,27.70,14.20,20.41,301.32,1.87,4.52,8.81,77.20,55.90,38.00,15.70,60.60,36328,29.20,7.00,10.70,40.07
CATAWBA,48.50,24.71,4.47,26.40,15.10,19.77,84.44,2.06,8.56,12.23,89.80,59.70,63.60,18.50,73.60,44100,23.20,6.30,21.50,32.80
CHATHAM,38.30,5.32,4.32,21.10,16.90,26.39,109.58,0.41,9.44,10.73,82.20,61.60,71.50,18.50,73.20,54627,21.00,4.70,36.20,27.02
CHEROKEE,44.10,13.10,7.93,29.00,16.70,8.22,53.54,0.56,22.54,43.05,91.00,58.50,62.30,19.40,80.00,35359,33.00,7.00,18.40,25.87
CHOWAN,61.60,22.27,3.14,31.80,17.10,48.23,130.26,3.65,7.07,6.75,78.90,58.80,50.20,17.10,70.10,35987,36.00,7.70,20.90,45.47
CLAY,35.20,4.63,5.12,31.80,11.80,24.80,25.10,0.00,12.73,20.15,90.70,65.10,58.80,19.70,87.90,36994,30.30,6.40,20.10,29.70
CLEVELAND,53.40,17.24,7.76,27.50,12.10,28.89,185.90,1.78,12.53,16.40,85.00,65.40,63.40,17.80,76.30,38206,30.80,7.10,16.50,39.81
COLUMBUS,58.10,10.56,6.99,29.20,17.60,25.77,226.81,1.79,8.19,13.47,81.10,51.20,48.50,16.30,58.30,31769,35.40,8.30,12.70,44.71
CRAVEN,61.10,23.56,4.71,26.90,12.50,25.05,183.56,1.40,4.04,5.94,85.50,60.50,56.40,18.00,78.10,46299,26.20,6.80,21.60,36.72
CUMBERLAND,63.60,17.53,9.57,24.60,9.60,27.97,180.48,4.67,12.70,12.60,81.20,60.00,53.30,17.40,77.50,45437,25.60,7.80,22.90,43.06
CURRITUCK,43.80,3.26,0.00,21.70,17.60,51.17,95.30,2.31,8.00,21.58,86.20,63.50,57.00,19.30,74.30,56053,17.20,6.10,19.20,23.55
DARE,36.40,16.73,2.91,24.80,16.20,20.36,38.51,1.07,9.37,12.00,93.30,62.60,76.10,19.40,91.30,53948,18.50,8.20,29.40,37.42
DAVIDSON,45.70,7.21,2.95,26.50,13.50,33.82,101.43,2.25,5.51,11.21,83.50,55.60,62.40,17.90,80.40,41588,23.30,6.20,17.90,33.99
DAVIE,36.50,8.67,4.41,24.40,14.00,16.87,37.83,1.22,10.50,18.17,87.60,66.80,69.20,19.20,89.10,50224,21.30,5.70,25.60,26.50
DUPLIN,58.00,5.16,6.05,28.50,18.30,14.56,163.70,2.28,2.97,26.08,78.10,46.70,46.70,17.00,66.00,33135,37.60,6.30,10.40,39.67
DURHAM,50.00,74.50,5.65,21.70,16.50,27.26,158.23,2.65,3.64,6.71,81.50,48.80,49.00,17.60,58.00,49840,22.20,5.00,45.60,41.50
EDGECOMBE,71.70,7.54,9.12,30.60,13.90,35.86,391.79,2.90,6.17,12.73,77.60,32.20,35.70,15.90,54.30,32209,38.10,10.10,10.70,57.72
FORSYTH,46.00,50.18,6.52,24.50,13.70,24.96,164.65,2.13,2.57,2.90,83.50,58.00,58.60,18.90,70.70,44307,27.60,5.90,32.10,39.10
FRANKLIN,41.10,4.78,3.41,23.00,14.60,5.47,111.01,0.97,4.95,10.24,84.50,57.30,53.60,18.00,67.90,45210,22.60,6.20,18.20,29.06
GASTON,50.60,18.42,7.15,26.90,14.00,17.37,147.13,4.54,7.76,10.54,83.50,51.80,58.60,17.90,68.30,42045,23.30,6.50,18.50,37.88
GATES,40.50,0.84,4.00,26.90,19.40,7.42,97.58,0.55,0.41,2.03,82.90,53.30,57.50,17.40,83.90,46534,24.40,5.90,12.50,38.58
GRAHAM,56.30,5.65,0.00,31.50,25.70,16.44,38.07,0.00,13.91,25.15,81.60,60.20,65.30,18.00,78.50,33230,32.80,12.90,16.60,21.83
GRANVILLE,44.70,21.24,6.60,23.50,15.70,20.22,45.19,3.86,4.09,8.52,79.00,48.40,38.00,17.50,58.50,47701,19.30,5.50,17.70,37.88
GREENE,54.30,5.22,6.30,27.10,15.60,11.55,235.39,1.21,11.13,6.30,87.30,37.60,37.70,16.50,59.10,39315,38.20,6.20,9.70,38.54
