"countyname","teenbirth_all_perK","phys_perXK","chldfate_perXK","chldinsec_pct","chldobes_pct","jdelinq_perK","suspens_perK","jdetent_perK","chlddss_perK","chldabuse_perK","grad_pct","grade3_rd_pct","math1_pct","ACT","AMOtarget_pct","inc50all","poverty517_all_pct","unemp_all_pct","baplus_all_pct","singmom_all_pct"
GUILFORD,37.80,24.16,6.33,24.00,14.30,26.35,71.31,3.15,4.46,5.30,88.50,56.30,60.00,18.70,64.90,44712,25.40,6.40,33.70,41.82
HALIFAX,66.80,13.22,7.63,29.50,13.40,56.92,428.61,3.55,3.87,15.40,76.80,41.00,45.40,16.20,61.30,30298,34.60,9.50,11.90,54.52
HARNETT,47.10,6.33,7.36,24.80,13.20,25.58,110.58,1.10,4.63,10.23,79.30,50.30,46.60,17.70,66.70,41735,27.30,7.20,18.90,31.96
HAYWOOD,48.00,17.43,5.37,28.30,14.00,13.09,56.87,1.80,14.12,26.26,84.00,67.70,64.30,18.90,78.20,41214,26.70,5.50,23.80,37.47
HENDERSON,47.60,23.24,4.10,23.70,11.90,13.62,70.13,1.51,8.71,12.84,89.50,66.10,66.00,19.30,92.90,47761,22.00,4.80,28.30,25.57
HERTFORD,54.70,15.43,10.08,26.60,15.20,10.02,301.39,2.62,1.42,1.63,76.00,40.60,31.00,15.60,50.00,30882,35.30,7.20,14.30,52.08
HOKE,60.10,2.76,2.58,25.40,18.10,29.21,156.86,1.73,3.30,4.06,70.80,48.00,44.10,16.60,64.20,45575,28.30,7.90,18.40,38.60
HYDE,41.30,1.72,9.57,28.20,14.10,20.65,209.46,2.81,0.00,2.99,81.80,58.70,50.00,17.40,84.40,35470,28.70,8.90,11.20,59.44
IREDELL,40.90,19.64,5.57,24.00,14.90,22.54,99.38,1.33,7.18,19.69,89.40,65.70,65.50,19.10,73.00,51947,18.50,6.10,25.10,31.20
JACKSON,29.60,19.36,5.55,27.80,13.10,16.91,75.16,0.62,7.88,25.02,88.00,56.50,56.50,18.10,78.80,34478,27.80,6.40,29.30,40.71
JOHNSTON,47.40,7.33,4.83,24.10,18.10,8.67,114.58,0.48,2.56,7.75,85.40,60.40,62.30,18.20,74.30,49744,21.60,5.50,20.00,31.41
JONES,37.60,17.06,4.61,25.60,15.00,46.49,91.90,3.31,9.42,8.00,83.10,50.50,67.30,18.10,84.10,39338,36.60,6.40,13.70,41.65
LEE,65.40,15.84,7.99,27.00,14.50,36.34,163.21,3.10,4.61,10.55,87.50,55.60,49.70,17.20,63.70,43158,27.50,8.10,20.20,35.98
LENOIR,58.80,16.09,5.16,27.70,12.10,18.63,293.45,1.17,5.00,16.03,77.30,49.00,39.20,16.60,59.00,35955,35.50,7.00,13.90,51.24
LINCOLN,40.70,11.16,1.70,26.10,9.90,20.34,99.02,1.34,6.20,9.71,87.90,68.60,66.20,18.80,87.30,50728,21.20,5.90,19.90,26.74
MACON,47.30,20.50,7.74,30.40,20.50,36.33,77.62,1.57,8.93,6.77,88.20,61.10,64.70,18.50,71.40,36423,33.20,6.50,22.40,36.19
MADISON,33.20,5.61,0.00,26.30,15.80,25.24,20.73,0.68,19.14,22.37,80.40,61.50,50.70,17.80,71.60,38645,29.40,5.80,20.30,29.75
MARTIN,53.90,8.42,3.98,27.60,20.30,11.56,391.20,0.85,11.66,4.42,77.40,46.20,53.20,18.00,74.80,33968,32.40,7.70,12.90,39.77
MCDOWELL,50.90,9.29,3.15,31.00,16.30,38.27,44.31,2.86,12.28,20.65,77.00,60.90,63.50,17.80,72.90,33786,27.10,6.30,13.90,34.23
MECKLENBURG,42.40,29.07,5.18,22.20,16.70,29.00,169.40,2.79,4.37,7.14,85.10,61.60,63.80,18.60,77.60,54559,21.10,5.90,41.50,36.60
MITCHELL,53.80,15.58,0.00,29.80,12.00,24.90,33.81,8.59,24.78,33.05,78.90,60.10,67.00,18.70,83.00,35345,28.50,7.50,16.40,34.48
MONTGOMERY,70.80,3.60,7.78,28.90,15.40,21.63,118.83,0.67,5.67,13.07,86.40,49.20,54.10,17.00,64.20,32748,31.10,6.40,14.90,33.90
MOORE,43.40,32.09,3.09,25.90,14.70,21.39,108.88,0.37,3.99,6.80,88.10,67.90,59.10,19.30,73.40,50061,23.90,5.90,32.00,30.42
NASH,55.30,18.05,5.12,25.10,16.30,21.48,266.80,2.26,3.68,10.63,77.40,48.50,44.50,16.70,59.90,43901,26.20,7.90,18.40,42.39
NEW_HANOVER,32.70,32.27,3.86,24.60,12.60,19.56,132.69,2.25,11.69,18.63,81.40,65.50,66.20,19.60,85.20,47508,23.20,5.80,37.20,38.32
NORTHAMPTON,60.30,2.82,9.64,30.30,14.80,22.49,265.17,3.45,6.14,2.95,70.70,41.80,32.50,16.40,59.30,30838,38.10,7.90,11.10,68.55
ONSLOW,80.50,9.18,7.29,24.70,11.70,24.25,81.14,3.28,5.99,10.26,89.20,65.30,57.10,18.10,79.70,44511,19.50,5.90,18.40,29.17
ORANGE,14.80,105.44,3.94,20.90,14.60,11.74,41.51,0.20,5.12,11.52,89.10,70.00,72.50,22.60,82.40,52591,13.10,4.40,56.20,25.54
PAMLICO,55.40,5.36,13.70,27.20,12.20,21.57,226.77,3.19,11.07,11.53,87.20,55.60,57.10,17.80,78.20,48439,32.10,6.50,19.90,36.73
PASQUOTANK,42.10,26.86,3.34,26.10,15.90,38.93,274.13,4.39,2.76,9.71,84.90,57.40,40.10,16.60,63.40,41279,27.60,8.00,18.90,36.31
PENDER,40.00,3.42,5.89,27.00,15.40,25.08,120.03,1.34,6.26,7.26,88.30,61.60,59.60,18.20,77.10,45814,20.90,6.90,21.60,37.07
PERQUIMANS,41.70,2.18,3.73,27.50,16.70,14.53,110.11,2.15,1.13,3.76,92.10,55.10,44.90,18.10,77.90,40541,29.20,7.60,16.70,35.96
PERSON,55.50,9.95,4.67,24.00,14.70,37.68,196.18,4.87,10.22,14.93,76.00,62.40,42.00,17.00,74.20,41502,26.20,7.40,14.00,39.31
PITT,35.10,46.47,8.31,24.20,15.00,46.79,295.73,4.27,5.03,9.43,82.70,53.20,51.60,17.80,63.50,38899,27.00,6.30,28.80,44.75
POLK,30.40,14.08,0.00,27.40,20.90,21.04,41.59,0.00,13.90,17.79,82.90,70.90,82.00,19.20,93.50,44263,25.20,5.20,30.00,34.62
RANDOLPH,53.00,8.56,7.18,27.10,15.70,16.57,43.26,1.46,5.73,6.15,87.20,52.80,58.20,17.70,69.70,41015,26.10,6.30,14.10,37.28
RICHMOND,73.90,11.29,5.47,29.70,13.10,23.52,262.04,3.31,4.29,9.24,79.20,49.20,47.50,15.60,70.30,31065,37.20,8.70,13.10,47.29
ROBESON,72.80,12.46,12.17,33.90,20.30,28.92,346.46,1.69,14.75,29.18,85.00,39.70,42.10,16.00,59.10,29128,46.60,9.20,12.40,55.46
ROCKINGHAM,50.30,11.49,7.16,26.90,14.10,23.53,129.64,0.73,11.11,20.21,75.50,51.30,50.60,17.40,51.90,37218,28.70,7.30,13.10,39.31
ROWAN,48.10,12.62,5.64,26.80,13.10,20.35,157.68,0.46,5.72,8.72,80.90,52.10,46.80,17.50,55.60,40588,28.70,6.70,17.20,38.88
RUTHERFORD,51.60,11.95,6.86,31.10,14.50,16.42,106.80,0.69,10.51,26.88,78.60,64.60,49.70,17.90,64.10,35867,31.90,8.40,16.40,35.06
SAMPSON,64.00,8.86,8.08,25.90,20.90,13.96,134.67,5.21,11.74,10.30,81.40,59.50,56.40,17.10,77.10,35255,36.80,6.20,12.10,42.56
SCOTLAND,74.60,19.60,2.28,35.00,12.80,38.52,268.42,1.18,4.27,19.52,78.30,61.30,52.20,16.50,75.50,29657,41.60,11.70,15.00,59.75
STANLY,47.70,13.69,3.03,25.50,13.20,11.18,183.63,1.54,3.72,15.04,81.20,63.50,64.00,17.80,66.00,44087,22.00,5.90,15.60,35.46
STOKES,31.70,5.35,10.50,25.60,15.00,22.45,72.73,1.01,11.37,15.67,86.20,56.60,64.80,17.80,82.30,45577,20.90,5.80,13.60,29.60
SURRY,47.60,15.41,4.89,27.80,15.80,25.26,52.70,0.61,7.00,10.43,87.80,63.90,68.00,18.80,85.50,35574,25.60,6.10,15.20,30.35
SWAIN,68.30,17.82,11.77,35.60,12.80,5.31,38.71,0.00,20.85,37.06,84.20,58.90,46.40,17.80,78.40,35385,28.80,8.90,15.30,35.47
TRANSYLVANIA,34.40,16.56,5.27,28.40,14.30,18.25,41.07,0.75,10.43,17.86,79.90,71.20,65.10,18.70,85.00,41952,28.80,5.80,29.00,31.52
TYRRELL,55.50,0.00,13.57,29.80,23.00,21.84,126.63,2.09,1.34,0.00,88.20,52.20,50.00,17.60,72.70,31996,37.10,9.50,8.00,44.59
UNION,30.10,8.56,2.85,20.30,11.90,15.26,124.74,0.88,2.15,5.92,92.60,71.50,76.40,20.20,94.10,65735,14.50,5.10,32.30,21.91
VANCE,72.40,16.42,12.77,29.90,11.30,16.88,203.58,4.41,10.84,17.92,73.20,47.70,33.00,16.10,56.40,32457,38.60,9.20,12.70,57.68
WAKE,29.60,23.78,3.93,19.60,14.50,13.04,71.66,1.24,4.07,6.36,82.90,70.10,71.40,20.50,75.20,63235,14.30,4.80,48.30,28.26
WARREN,59.50,0.49,5.12,27.10,12.60,27.35,443.97,2.98,6.93,11.81,71.70,43.50,42.20,16.30,60.00,32378,34.50,8.70,15.20,49.70
WASHINGTON,54.30,6.24,0.00,27.00,18.90,10.45,127.81,0.51,5.01,3.22,83.00,45.80,34.40,15.50,57.90,32135,43.30,9.40,9.50,53.32
WATAUGA,10.80,24.68,2.88,27.10,15.60,17.18,17.61,0.64,10.11,12.13,87.40,71.60,72.40,20.50,92.50,36318,19.20,5.10,38.00,27.84
WAYNE,59.90,15.03,5.21,26.90,13.60,17.53,268.37,1.72,3.83,7.20,79.50,49.60,49.60,16.80,59.00,39369,35.80,6.30,17.20,43.93
WILKES,49.30,10.32,6.04,30.50,19.70,16.95,51.24,2.94,17.33,18.01,88.70,54.50,60.50,18.00,68.40,35029,29.50,6.50,12.90,29.08
WILSON,61.00,14.25,4.12,29.30,15.00,15.98,212.80,1.81,4.10,7.21,77.80,52.10,50.90,17.70,72.10,36923,39.20,9.30,18.40,43.30
YADKIN,46.10,4.98,8.28,27.10,14.00,24.38,46.37,1.69,10.29,8.72,86.60,60.50,48.20,17.80,77.90,41527,27.00,5.40,13.00,27.33
YANCEY,54.70,8.37,2.91,31.50,11.00,10.55,50.30,1.65,15.38,20.99,92.10,60.30,71.20,18.00,91.10,37344,30.30,6.60,18.70,22.85
