LEA,SchoolCode,Charter,TotalStudents,LowIncomeStudents,PctLowIncome,SchoolServed,SchoolYear
740,740302,N,840,368,43.81,N,2015-16
650,650384,N,466,466,100,Y,2015-16
132,132304,N,1409,852,60.47,N,2015-16
680,680304,N,644,320,49.69,N,2015-16
130,130304,N,901,562,62.38,Y,2015-16
13C,13C000,Y,143,60,41.96,Y,2015-16
920,920303,N,619,161,26.01,N,2015-16
630,630308,N,321,256,79.75,Y,2015-16
630,630304,N,362,279,77.07,Y,2015-16
240,240308,N,342,318,92.98,Y,2015-16
240,240304,N,140,120,85.71,Y,2015-16
920,920304,N,803,347,43.21,Y,2015-16
460,460308,N,517,517,100,Y,2015-16
410,410304,N,502,131,26.1,N,2015-16
10,10303,N,81,23,28.4,N,2015-16
840,840302,N,419,298,71.12,N,2015-16
840,840303,N,414,317,76.57,Y,2015-16
600,600300,N,1385,930,67.15,Y,2015-16
600,600301,N,1207,708,58.66,Y,2015-16
250,250304,N,332,204,61.45,Y,2015-16
260,260364,N,652,435,66.72,Y,2015-16
20,20302,N,1350,595,44.07,N,2015-16
600,600399,N,1434,422,29.43,N,2015-16
10,10304,N,541,262,48.43,N,2015-16
260,260374,N,155,123,79.35,N,2015-16
30,30304,N,427,229,53.63,N,2015-16
410,410310,N,454,291,64.1,Y,2015-16
410,410311,N,187,83,44.39,Y,2015-16
410,410316,N,704,410,58.24,Y,2015-16
600,600308,N,590,445,75.42,Y,2015-16
260,260302,N,302,142,47.02,Y,2015-16
26B,26B000,Y,660,534,80.91,Y,2015-16
920,920307,N,1065,84,7.89,N,2015-16
10,10308,N,554,258,46.57,N,2015-16
49B,49B000,Y,543,144,26.52,Y,2015-16
43C,43C000,Y,224,11,4.91,N,2015-16
430,430304,N,530,343,64.72,Y,2015-16
200,200304,N,352,352,100,Y,2015-16
200,200308,N,257,150,58.37,N,2015-16
200,200310,N,213,149,69.95,N,2015-16
430,430308,N,444,333,75,Y,2015-16
260,260336,N,509,359,70.53,N,2015-16
40,40305,N,77,77,100,N,2015-16
40,40304,N,187,154,82.35,N,2015-16
40,40306,N,672,672,100,N,2015-16
40,40309,N,591,591,100,N,2015-16
40,40700,N,148,148,100,N,2015-16
40,40308,N,241,241,100,Y,2015-16
900,900302,N,755,60,7.95,N,2015-16
920,920308,N,704,241,34.23,N,2015-16
920,920317,N,918,128,13.94,N,2015-16
920,920316,N,2526,234,9.26,N,2015-16
920,920312,N,1197,238,19.88,N,2015-16
450,450301,N,901,606,67.26,N,2015-16
840,840304,N,301,166,55.15,Y,2015-16
69A,69A000,Y,563,316,56.13,Y,2015-16
760,760304,N,378,241,63.76,Y,2015-16
760,760378,N,838,400,47.73,N,2015-16
410,410322,N,453,259,57.17,Y,2015-16
510,510364,N,1060,437,41.23,N,2015-16
600,600302,N,2683,139,5.18,N,2015-16
60N,60N000,Y,140,120,85.71,Y,2015-16
260,260306,N,422,281,66.59,Y,2015-16
250,250380,N,354,208,58.76,Y,2015-16
11B,11B000,Y,387,170,43.93,Y,2015-16
550,550308,N,49,48,97.96,N,2015-16
360,360310,N,1417,835,58.93,N,2015-16
50,50302,N,900,481,53.44,N,2015-16
50,50305,N,498,313,62.85,N,2015-16
761,761304,N,1269,827,65.17,N,2015-16
111,111302,N,1069,430,40.22,N,2015-16
111,111356,N,715,344,48.11,N,2015-16
340,340308,N,537,537,100,Y,2015-16
770,770342,N,132,132,100,Y,2015-16
260,260308,N,230,143,62.17,Y,2015-16
600,600311,N,623,516,82.83,Y,2015-16
920,920318,N,1893,727,38.4,N,2015-16
340,340311,N,585,142,24.27,N,2015-16
450,450302,N,380,178,46.84,Y,2015-16
160,160304,N,66,37,56.06,Y,2015-16
80,80348,N,160,160,100,Y,2015-16
420,420304,N,399,399,100,Y,2015-16
920,920320,N,577,355,61.53,Y,2015-16
60,60302,N,384,200,52.08,N,2015-16
60,60700,N,177,82,46.33,N,2015-16
60,60701,N,179,59,32.96,N,2015-16
60,60318,N,288,168,58.33,Y,2015-16
110,110410,N,634,445,70.19,Y,2015-16
910,910304,N,371,226,60.92,Y,2015-16
410,410325,N,606,329,54.29,Y,2015-16
740,740304,N,687,443,64.48,Y,2015-16
740,740308,N,326,198,60.74,N,2015-16
740,740309,N,670,297,44.33,N,2015-16
70,70310,N,70,70,100,N,2015-16
10,10346,N,407,242,59.46,Y,2015-16
310,310304,N,976,752,77.05,Y,2015-16
980,980308,N,407,407,100,Y,2015-16
90,90304,N,224,174,77.68,Y,2015-16
840,840308,N,447,278,62.19,Y,2015-16
640,640304,N,639,511,79.97,Y,2015-16
600,600313,N,1635,197,12.05,N,2015-16
920,920326,N,478,271,56.69,Y,2015-16
600,600314,N,911,118,12.95,N,2015-16
995,995304,N,176,103,58.52,Y,2015-16
450,450343,N,157,128,81.53,N,2015-16
761,761312,N,545,500,91.74,Y,2015-16
600,600437,N,863,81,9.39,N,2015-16
920,920327,N,487,155,31.83,N,2015-16
180,180304,N,610,328,53.77,Y,2015-16
180,180308,N,866,297,34.3,N,2015-16
540,540304,N,573,282,49.21,Y,2015-16
920,920325,N,730,238,32.6,N,2015-16
60,60304,N,184,103,55.98,Y,2015-16
180,180312,N,300,173,57.67,Y,2015-16
110,110308,N,144,99,68.75,Y,2015-16
600,600328,N,704,115,16.34,N,2015-16
600,600316,N,633,331,52.29,Y,2015-16
170,170316,N,751,435,57.92,N,2015-16
920,920329,N,894,711,79.53,Y,2015-16
640,640306,N,403,403,100,Y,2015-16
70,70308,N,587,235,40.03,Y,2015-16
140,140304,N,424,290,68.4,Y,2015-16
550,550312,N,315,315,100,Y,2015-16
920,920328,N,947,172,18.16,N,2015-16
58B,58B000,Y,329,43,13.07,N,2015-16
460,460312,N,806,806,100,Y,2015-16
70,70311,N,218,96,44.04,N,2015-16
160,160308,N,467,317,67.88,Y,2015-16
160,160310,N,266,148,55.64,N,2015-16
260,260312,N,93,54,58.06,Y,2015-16
980,980318,N,708,496,70.06,N,2015-16
995,995308,N,55,33,60,Y,2015-16
110,110332,N,296,177,59.8,Y,2015-16
670,670304,N,518,328,63.32,Y,2015-16
360,360320,N,680,200,29.41,N,2015-16
421,421304,N,627,550,87.72,Y,2015-16
360,360324,N,725,263,36.28,N,2015-16
100,100302,N,779,442,56.74,Y,2015-16
740,740310,N,504,504,100,Y,2015-16
250,250306,N,507,259,51.08,Y,2015-16
410,410544,N,1231,723,58.73,Y,2015-16
430,430312,N,495,337,68.08,Y,2015-16
260,260414,N,542,531,97.97,Y,2015-16
190,190304,N,217,86,39.63,N,2015-16
510,510308,N,637,470,73.78,Y,2015-16
510,510310,N,439,307,69.93,Y,2015-16
900,900304,N,622,557,89.55,Y,2015-16
640,640308,N,703,703,100,Y,2015-16
600,600369,N,644,203,31.52,N,2015-16
600,600319,N,719,393,54.66,Y,2015-16
80,80311,N,153,153,100,Y,2015-16
80,80312,N,474,474,100,Y,2015-16
80,80314,N,611,611,100,Y,2015-16
80,80700,N,119,119,100,Y,2015-16
360,360332,N,462,462,100,Y,2015-16
