"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
670	Onslow County	670350	Swansboro Elementary	N	0K,01,02,03,04,05	601	N/A	N/A	208	34.61	Y	TAS-SW	Grandfather Rule	Always SW			2006-2007	2015-2016	N
670	Onslow County	670352	Swansboro High	N	09,10,11,12	996	N/A	N/A	330	33.13	N	Not Title I						2015-2016	N
670	Onslow County	670351	Swansboro Middle	N	06,07,08	816	N/A	N/A	344	42.16	N	SW						2015-2016	N
640	Nash-Rocky Mount	640384	Swift Creek Elementary	N	PK,03,04,05	255	N/A	N/A	138	54.12	Y	SW-SW					2006-2007	2015-2016	N
920	Wake County	920568	Swift Creek Elementary	N	0K,01,02,03,04,05	534	N/A	N/A	245	45.88	Y	SW-SW					2012-2013	2015-2016	N
920	Wake County	920569	Sycamore Creek Elementary	N	PK,0K,01,02,03,04,05	1136	N/A	N/A	50	4.40	N	Not Title I						2015-2016	N
830	Scotland County	830364	Sycamore Lane Elementary	N	PK,0K,01,02,03,04,05	539	N/A	N/A	324	60.11	Y	SW-SW					2006-2007	2015-2016	Y
010	Alamance-Burlington	010392	Sylvan Elementary	N	PK,0K,01,02,03,04,05	331	N/A	N/A	210	63.44	Y	SW-SW					2006-2007	2015-2016	N
880	Transylvania County	880336	T C Henderson Elementary	N	0K,01,02,03,04,05	132	N/A	N/A	97	73.48	Y	SW-SW					2006-2007	2015-2016	N
370	Gates County	370324	T S Cooper Elementary	N	0K,01,02,03,04,05	229	N/A	N/A	142	62.01	Y	SW-SW					2005-2006	2015-2016	N
410	Guilford County	410319	T Wingate Andrews High	N	09,10,11,12	844	N/A	N/A	494	58.53	Y	SW-SW					2011-2012	2015-2016	Y
760	Randolph County	760364	Tabernacle Elementary	N	PK,0K,01,02,03,04,05	431	N/A	N/A	277	64.27	Y	SW-SW					2006-2007	2015-2016	N
120	Burke County	120376	Table Rock Middle	N	06,07,08	545	176	1.6	282	51.74	N	SW						2015-2016	N
240	Columbus County	240372	Tabor City Elementary	N	PK,0K,01,02,03,04,05	398	282	1.6	398	100.00	Y	SW-SW					2003-2004	2015-2016	Y
240	Columbus County	240376	Tabor City Middle	N	06,07,08	213	133	1.6	213	100.00	Y	SW-SW					2002-2003	2015-2016	Y
780	Robeson County	780407	Tanglewood Elementary	N	0K,01,02,03	424	134	1.6	214	50.47	Y	SW-SW					2014-2015	2015-2016	Y
090	Bladen County	090365	Tar Heel Middle	N	05,06,07,08	321	N/A	N/A	182	56.70	Y	SW-SW					2012-2013	2015-2016	Y
640	Nash-Rocky Mount	640340	Tar River Academy	N	06,07,08,09,10,11,12	119	118	1.6	119	100.00	Y	SW-SW					2010-2011	2015-2016	Y
390	Granville County	390362	Tar River Elementary	N	PK,0K,01,02,03,04,05	489	N/A	N/A	214	43.76	Y	SW-SW					2011-2012	2015-2016	N
