"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
740	Pitt County	740302	A G Cox Middle	N	06,07,08	840	N/A	N/A	368	43.81	N	SW						2015-2016	N
650	New Hanover County	650384	A H Snipes Academy of Arts/Des	N	0K,01,02,03,04,05	466	385	1.6	466	100.00	Y	SW-SW					2005-2006	2015-2016	Y
132	Kannapolis City	132304	A L Brown High	N	09,10,11,12	1409	N/A	N/A	852	60.47	N	SW						2015-2016	N
680	Orange County	680304	A L Stanback Middle	N	06,07,08	644	N/A	N/A	320	49.69	N	SW						2015-2016	N
130	Cabarrus County	130304	A T Allen Elementary	N	0K,01,02,03,04,05	901	N/A	N/A	562	62.38	Y	SW-SW					2006-2007	2015-2016	N
13C	A.C.E. Academy	13C000	A.C.E. Academy	Y	0K,01,02,03,04,05,06	143	N/A	N/A	60	41.96	Y	SW-SW					2014-2015	2015-2016	N
920	Wake County	920303	Abbotts Creek Elementary	N	PK,0K,01,02,03,04,05	619	N/A	N/A	161	26.01	N	Not Title I						2015-2016	N
630	Moore County	630308	Aberdeen Elementary	N	03,04,05	321	N/A	N/A	256	79.75	Y	SW-SW					2005-2006	2015-2016	N
630	Moore County	630304	Aberdeen Primary	N	PK,0K,01,02	362	N/A	N/A	279	77.07	Y	SW-SW					2005-2006	2015-2016	N
240	Columbus County	240308	Acme Delco Elementary	N	PK,0K,01,02,03,04,05	342	199	1.6	318	92.98	Y	SW-SW					2006-2007	2015-2016	Y
240	Columbus County	240304	Acme Delco Middle	N	06,07,08	140	75	1.6	120	85.71	Y	SW-SW					2004-2005	2015-2016	Y
920	Wake County	920304	Adams Elementary	N	PK,0K,01,02,03,04,05	803	N/A	N/A	347	43.21	Y	SW-SW					2010-2011	2015-2016	N
460	Hertford County	460308	Ahoskie Elementary	N	04,05,06	517	323	1.6	517	100.00	Y	SW-SW					2004-2005	2015-2016	Y
410	Guilford County	410304	Alamance Elementary	N	PK,0K,01,02,03,04,05	502	N/A	N/A	131	26.10	N	Not Title I						2015-2016	N
010	Alamance-Burlington	010303	Alamance-Burlington Middle College	N	09,10,11,12	81	N/A	N/A	23	28.40	N	Not Title I						2015-2016	N
840	Stanly County	840302	Albemarle High	N	09,10,11,12	419	N/A	N/A	298	71.12	N	SW						2015-2016	N
840	Stanly County	840303	Albemarle Middle	N	06,07,08	414	N/A	N/A	317	76.57	Y	SW-SW					2013-2014	2015-2016	N
600	Mecklenburg County	600300	Albemarle Road Elementary	N	P3,0K,01,02,03,04,05	1385	N/A	N/A	930	67.15	Y	SW-SW					2004-2005	2015-2016	Y
600	Mecklenburg County	600301	Albemarle Road Middle	N	06,07,08	1207	N/A	N/A	708	58.66	Y	SW-SW					2004-2005	2015-2016	Y
250	Craven County	250304	Albert H Bangert Elementary	N	0K,01,02,03,04,05	332	N/A	N/A	204	61.45	Y	SW-SW					2006-2007	2015-2016	N
260	Cumberland County	260364	Alderman Road Elementary	N	PK,0K,01,02,03,04,05	652	N/A	N/A	435	66.72	Y	SW-SW					2002-2003	2015-2016	N
020	Alexander County	020302	Alexander Central High	N	09,10,11,12	1350	N/A	N/A	595	44.07	N	SW						2015-2016	N
600	Mecklenburg County	600399	Alexander Graham Middle	N	06,07,08	1434	N/A	N/A	422	29.43	N	Not Title I						2015-2016	N
010	Alamance-Burlington	010304	Alexander Wilson Elementary	N	PK,0K,01,02,03,04,05	541	N/A	N/A	262	48.43	N	SW						2015-2016	N
260	Cumberland County	260374	Alger B. Wilkins High School PLC	N	09,10,11,12	155	N/A	N/A	123	79.35	N	SW						2015-2016	N
030	Alleghany County	030304	Alleghany High	N	09,10,11,12	427	N/A	N/A	229	53.63	N	SW						2015-2016	N
410	Guilford County	410310	Allen Jay Elementary	N	PK,0K,01,02,03,04,05	454	N/A	N/A	291	64.10	Y	SW-SW					2006-2007	2015-2016	Y
410	Guilford County	410311	Allen Jay Middle, A Preparatory Academy	N	05,06,07	187	N/A	N/A	83	44.39	Y	SW-SW					2014-2015	2015-2016	Y
410	Guilford County	410316	Allen Middle	N	06,07,08	704	N/A	N/A	410	58.24	Y	SW-SW					2007-2008	2015-2016	Y
600	Mecklenburg County	600308	Allenbrook Elementary	N	0K,01,02,03,04,05	590	N/A	N/A	445	75.42	Y	SW-SW					2002-2003	2015-2016	Y
260	Cumberland County	260302	Alma O Easom Elementary	N	0K,01	302	N/A	N/A	142	47.02	Y	SW-SW					2014-2015	2015-2016	N
26B	Alpha Academy	26B000	Alpha Academy	Y	0K,01,02,03,04,05,06,07,08,09	660	N/A	N/A	534	80.91	Y	SW-SW					2005-2006	2015-2016	Y
920	Wake County	920307	Alston Ridge Elementary	N	PK,0K,01,02,03,04,05	1065	N/A	N/A	84	7.89	N	Not Title I						2015-2016	N
010	Alamance-Burlington	010308	Altamahaw Ossipee Elem	N	0K,01,02,03,04,05	554	N/A	N/A	258	46.57	N	SW						2015-2016	N
49B	American Renaissance School	49B000	American Renaissance School	Y	0K,01,02,03,04,05,06,07,08	543	N/A	N/A	144	26.52	Y	TAS-TAS	Charter School		45	0K,04,05,06,07	2006-2007	2015-2016	N
43C	Anderson Creek Club Charter School	43C000	Anderson Creek Club Charter School	Y	0K,01,02,03,04,05	224	N/A	N/A	11	4.91	N	Not Title I						2015-2016	N
430	Harnett County	430304	Anderson Creek Primary	N	PK,0K,01,02	530	N/A	N/A	343	64.72	Y	SW-SW					2005-2006	2015-2016	N
200	Cherokee County	200304	Andrews Elementary	N	PK,0K,01,02,03,04,05	352	222	1.6	352	100.00	Y	SW-SW					2006-2007	2015-2016	Y
200	Cherokee County	200308	Andrews High	N	09,10,11,12	257	94	1.6	150	58.37	N	SW						2015-2016	Y
200	Cherokee County	200310	Andrews Middle	N	06,07,08	213	93	1.6	149	69.95	N	SW						2015-2016	Y
430	Harnett County	430308	Angier Elementary	N	03,04,05	444	N/A	N/A	333	75.00	Y	SW-SW					2005-2006	2015-2016	N
260	Cumberland County	260336	Anne Chesnutt Middle	N	06,07,08	509	N/A	N/A	359	70.53	N	SW						2015-2016	N
040	Anson County	040305	Anson Academy	N	09,10,11,12	77	66	1.6	77	100.00	N	SW						2015-2016	Y
040	Anson County	040304	Anson Co. Early College High	N	09,10,11,12,13	187	96	1.6	154	82.35	N	SW						2015-2016	Y
040	Anson County	040306	Anson High School	N	09,10,11,12	672	509	1.6	672	100.00	N	SW						2015-2016	Y
040	Anson County	040309	Anson Middle	N	07,08	591	467	1.6	591	100.00	N	SW						2015-2016	Y
040	Anson County	040700	Anson New Tech High	N	09,10,11,12	148	105	1.6	148	100.00	N	SW						2015-2016	Y
040	Anson County	040308	Ansonville Elementary	N	0K,01,02,03,04,05,06	241	154	1.6	241	100.00	Y	SW-SW					2006-2007	2015-2016	Y
900	Union County	900302	Antioch Elementary	N	0K,01,02,03,04,05	755	N/A	N/A	60	7.95	N	Not Title I						2015-2016	N
920	Wake County	920308	Apex Elementary	N	PK,0K,01,02,03,04,05	704	N/A	N/A	241	34.23	N	Not Title I						2015-2016	N
920	Wake County	920317	Apex Friendship High	N	09,10	918	N/A	N/A	128	13.94	N	Not Title I						2015-2016	N
920	Wake County	920316	Apex High	N	09,10,11,12	2526	N/A	N/A	234	9.26	N	Not Title I						2015-2016	N
920	Wake County	920312	Apex Middle	N	06,07,08	1197	N/A	N/A	238	19.88	N	Not Title I						2015-2016	N
450	Henderson County	450301	Apple Valley Middle	N	06,07,08	901	N/A	N/A	606	67.26	N	SW						2015-2016	N
840	Stanly County	840304	Aquadale Elementary	N	PK,0K,01,02,03,04,05	301	N/A	N/A	166	55.15	Y	SW-SW					2006-2007	2015-2016	N
69A	Arapahoe Charter School	69A000	Arapahoe Charter School	Y	0K,01,02,03,04,05,06,07,08,09,10,11	563	N/A	N/A	316	56.13	Y	SW-SW					2006-2007	2015-2016	N
760	Randolph County	760304	Archdale Elementary	N	0K,01,02,03,04,05	378	N/A	N/A	241	63.76	Y	SW-SW					2006-2007	2015-2016	N
760	Randolph County	760378	Archdale-Trinity Middle	N	07,08	838	N/A	N/A	400	47.73	N	SW						2015-2016	N
410	Guilford County	410322	Archer Elementary	N	PK,0K,01,02,03,04,05	453	N/A	N/A	259	57.17	Y	SW-SW					2005-2006	2015-2016	Y
510	Johnston County	510364	Archer Lodge Middle	N	06,07,08	1060	N/A	N/A	437	41.23	N	SW						2015-2016	N
600	Mecklenburg County	600302	Ardrey Kell High	N	09,10,11,12	2683	N/A	N/A	139	5.18	N	Not Title I						2015-2016	N
60N	Aristotle Preparatory Academy	60N000	Aristotle Preparatory Academy	Y	0K,01,02,03,04,05	140	N/A	N/A	120	85.71	Y	SW-SW					2013-2014	2015-2016	N
260	Cumberland County	260306	Armstrong Elementary	N	PK,0K,01,02,03,04,05	422	N/A	N/A	281	66.59	Y	SW-SW					2006-2007	2015-2016	N
250	Craven County	250380	Arthur W Edwards Elementary	N	0K,01,02,03,04,05	354	N/A	N/A	208	58.76	Y	SW-SW					2006-2007	2015-2016	N
11B	ArtSpace Charter School	11B000	ArtSpace Charter School	Y	0K,01,02,03,04,05,06,07,08	387	N/A	N/A	170	43.93	Y	SW-SW					2006-2007	2015-2016	N
550	Lincoln County	550308	Asbury Academy	N	06,07,08,09,10,11,12	49	30	1.6	48	97.96	N	SW						2015-2016	N
360	Gaston County	360310	Ashbrook High	N	09,10,11,12	1417	N/A	N/A	835	58.93	N	SW						2015-2016	N
050	Ashe County	050302	Ashe County High	N	09,10,11,12	900	N/A	N/A	481	53.44	N	SW						2015-2016	N
050	Ashe County	050305	Ashe County Middle	N	07,08	498	N/A	N/A	313	62.85	N	SW						2015-2016	N
761	Asheboro City	761304	Asheboro High	N	09,10,11,12	1269	N/A	N/A	827	65.17	N	SW						2015-2016	N
111	Asheville City	111302	Asheville High	N	09,10,11,12	1069	N/A	N/A	430	40.22	N	SW						2015-2016	N
111	Asheville City	111356	Asheville Middle	N	06,07,08	715	N/A	N/A	344	48.11	N	SW						2015-2016	N
340	Forsyth County	340308	Ashley Academy	N	PK,0K,01,02,03,04,05	537	444	1.6	537	100.00	Y	SW-SW					2005-2006	2015-2016	Y
770	Richmond County	770342	Ashley Chapel Educational Center	N	07,08,09,10,11,12	132	102	1.6	132	100.00	Y	SW-SW					2014-2015	2015-2016	Y
260	Cumberland County	260308	Ashley Elementary	N	03,04,05	230	N/A	N/A	143	62.17	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600311	Ashley Park PreK-8 School	N	PK,0K,01,02,03,04,05,06,07,08	623	N/A	N/A	516	82.83	Y	SW-SW					2006-2007	2015-2016	Y
920	Wake County	920318	Athens Drive High	N	09,10,11,12	1893	N/A	N/A	727	38.40	N	TAS						2015-2016	N
340	Forsyth County	340311	Atkins Academic & Tech High	N	09,10,11,12	585	89	1.6	142	24.27	N	Not Title I						2015-2016	N
450	Henderson County	450302	Atkinson Elementary	N	0K,01,02,03,04,05	380	N/A	N/A	178	46.84	Y	SW-SW					2006-2007	2015-2016	N
160	Carteret County	160304	Atlantic Elementary	N	PK,0K,01,02,03,04,05	66	N/A	N/A	37	56.06	Y	SW-SW					2006-2007	2015-2016	N
080	Bertie County	080348	Aulander Elementary	N	PK,0K,01,02,03,04,05	160	N/A	N/A	160	100.00	Y	SW-SW					2006-2007	2015-2016	Y
420	Halifax County	420304	Aurelian Springs Elementary	N	PK,0K,01,02,03,04,05	399	309	1.6	399	100.00	Y	SW-SW					2005-2006	2015-2016	Y
920	Wake County	920320	Aversboro Elementary	N	PK,0K,01,02,03,04,05	577	N/A	N/A	355	61.53	Y	SW-SW					2006-2007	2015-2016	N
060	Avery County	060302	Avery County High	N	09,10,11,12	384	N/A	N/A	200	52.08	N	SW						2015-2016	N
060	Avery County	060700	Avery High STEM Academy	N	09,10,11,12	177	N/A	N/A	82	46.33	N	SW						2015-2016	N
060	Avery County	060701	Avery High Viking Academy	N	09,10,11,12	179	N/A	N/A	59	32.96	N	Not Title I						2015-2016	N
060	Avery County	060318	Avery Middle	N	06,07,08	288	N/A	N/A	168	58.33	Y	SW-SW					2009-2010	2015-2016	N
110	Buncombe County	110410	Avery's Creek Elementary	N	0K,01,02,03,04	634	N/A	N/A	445	70.19	Y	SW-SW					2005-2006	2015-2016	N
910	Vance County	910304	Aycock Elementary	N	PK,0K,01,02,03,04,05	371	N/A	N/A	226	60.92	Y	SW-SW					2006-2007	2015-2016	Y
410	Guilford County	410325	Aycock Middle	N	06,07,08	606	N/A	N/A	329	54.29	Y	SW-SW					2009-2010	2015-2016	Y
740	Pitt County	740304	Ayden Elementary	N	PK,0K,01,02,03,04,05	687	N/A	N/A	443	64.48	Y	SW-SW					2006-2007	2015-2016	N
740	Pitt County	740308	Ayden Middle	N	06,07,08	326	N/A	N/A	198	60.74	N	SW						2015-2016	N
740	Pitt County	740309	Ayden-Grifton High	N	09,10,11,12	670	N/A	N/A	297	44.33	N	SW						2015-2016	N
070	Beaufort County	070310	B C Ed Tech Center	N	06,07,08,09,10,11,12	70	58	1.6	70	100.00	N	SW						2015-2016	Y
010	Alamance-Burlington	010346	B Everett Jordan Elem	N	0K,01,02,03,04,05	407	N/A	N/A	242	59.46	Y	SW-SW					2006-2007	2015-2016	N
310	Duplin County	310304	B F Grady Elementary	N	PK,0K,01,02,03,04,05,06,07,08	976	N/A	N/A	752	77.05	Y	SW-SW					2005-2006	2015-2016	N
980	Wilson County	980308	B O Barnes Elementary	N	0K,01,02,03,04,05	407	291	1.6	407	100.00	Y	SW-SW					2006-2007	2015-2016	Y
090	Bladen County	090304	B T Washington Primary	N	PK,0K,01,02,03,04,05	224	N/A	N/A	174	77.68	Y	SW-SW					2004-2005	2015-2016	Y
840	Stanly County	840308	Badin Elementary	N	0K,01,02,03,04,05	447	N/A	N/A	278	62.19	Y	SW-SW					2002-2003	2015-2016	N
640	Nash-Rocky Mount	640304	Bailey Elementary	N	PK,0K,01,02,03,04,05	639	N/A	N/A	511	79.97	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600313	Bailey Middle	N	06,07,08	1635	N/A	N/A	197	12.05	N	Not Title I						2015-2016	N
920	Wake County	920326	Baileywick Road Elementary	N	PK,0K,01,02,03,04,05	478	N/A	N/A	271	56.69	Y	SW-SW					2009-2010	2015-2016	N
600	Mecklenburg County	600314	Bain Elementary	N	0K,01,02,03,04,05	911	N/A	N/A	118	12.95	N	Not Title I						2015-2016	N
995	Yancey County	995304	Bald Creek Elementary	N	0K,01,02,03,04,05	176	N/A	N/A	103	58.52	Y	SW-SW					2006-2007	2015-2016	N
450	Henderson County	450343	Balfour Education Center	N	06,07,08,09,10,11,12	157	80	1.6	128	81.53	N	SW						2015-2016	Y
761	Asheboro City	761312	Balfour Elementary	N	PK,0K,01,02,03,04,05	545	N/A	N/A	500	91.74	Y	SW-SW					2004-2005	2015-2016	N
600	Mecklenburg County	600437	Ballantyne Elementary	N	0K,01,02,03,04,05	863	N/A	N/A	81	9.39	N	Not Title I						2015-2016	N
920	Wake County	920327	Ballentine Elementary	N	PK,0K,01,02,03,04,05	487	N/A	N/A	155	31.83	N	Not Title I						2015-2016	N
180	Catawba County	180304	Balls Creek Elementary	N	PK,0K,01,02,03,04,05,06	610	N/A	N/A	328	53.77	Y	SW-SW					2013-2014	2015-2016	N
180	Catawba County	180308	Bandys High	N	09,10,11,12	866	N/A	N/A	297	34.30	N	Not Title I						2015-2016	N
540	Lenoir County	540304	Banks Elementary	N	PK,0K,01,02,03,04,05	573	N/A	N/A	282	49.21	Y	SW-SW					2006-2007	2015-2016	Y
920	Wake County	920325	Banks Road Elementary	N	PK,0K,01,02,03,04,05	730	N/A	N/A	238	32.60	N	Not Title I						2015-2016	N
060	Avery County	060304	Banner Elk Elementary	N	PK,0K,01,02,03,04,05	184	N/A	N/A	103	55.98	Y	SW-SW					2009-2010	2015-2016	N
180	Catawba County	180312	Banoak Elementary	N	0K,01,02,03,04,05,06	300	N/A	N/A	173	57.67	Y	SW-SW					2006-2007	2015-2016	N
110	Buncombe County	110308	Barnardsville Elementary	N	0K,01,02,03,04	144	N/A	N/A	99	68.75	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600328	Barnette Elementary	N	PK,0K,01,02,03,04,05	704	N/A	N/A	115	16.34	N	Not Title I						2015-2016	N
600	Mecklenburg County	600316	Barringer Academic Center	N	0K,01,02,03,04,05	633	N/A	N/A	331	52.29	Y	SW-SW					2015-2016	2015-2016	Y
170	Caswell County	170316	Bartlett Yancey High	N	09,10,11,12	751	N/A	N/A	435	57.92	N	SW						2015-2016	N
920	Wake County	920329	Barwell Road Elementary	N	PK,0K,01,02,03,04,05	894	N/A	N/A	711	79.53	Y	SW-SW					2006-2007	2015-2016	N
640	Nash-Rocky Mount	640306	Baskerville Elementary	N	0K,01,02,03,04,05	403	403	1.6	403	100.00	Y	SW-SW					2006-2007	2015-2016	Y
070	Beaufort County	070308	Bath Elementary	N	0K,01,02,03,04,05,06,07,08	587	147	1.6	235	40.03	Y	SW-SW					2005-2006	2015-2016	N
140	Caldwell County	140304	Baton Elementary	N	PK,0K,01,02,03,04,05	424	181	1.6	290	68.40	Y	SW-SW					2006-2007	2015-2016	N
550	Lincoln County	550312	Battleground Elementary	N	PK,0K,01,02,03	315	212	1.6	315	100.00	Y	SW-SW					2005-2006	2015-2016	Y
920	Wake County	920328	Baucom Elementary	N	PK,0K,01,02,03,04,05	947	N/A	N/A	172	18.16	N	Not Title I						2015-2016	N
58B	Bear Grass	58B000	Bear Grass	Y	06,07,08,09,10,11,12	329	N/A	N/A	43	13.07	N	Not Title I						2015-2016	N
460	Hertford County	460312	Bearfield Primary	N	PK,0K,01,02,03	806	582	1.6	806	100.00	Y	SW-SW					2006-2007	2015-2016	Y
070	Beaufort County	070311	Beaufort Co Early College High	N	09,10,11,12,13	218	60	1.6	96	44.04	N	SW						2015-2016	N
160	Carteret County	160308	Beaufort Elementary	N	PK,0K,01,02,03,04,05	467	N/A	N/A	317	67.88	Y	SW-SW					2006-2007	2015-2016	N
160	Carteret County	160310	Beaufort Middle	N	06,07,08	266	N/A	N/A	148	55.64	N	SW						2015-2016	N
260	Cumberland County	260312	Beaver Dam Elementary	N	P3,0K,01,02,03,04,05	93	N/A	N/A	54	58.06	Y	SW-SW					2006-2007	2015-2016	N
980	Wilson County	980318	Beddingfield High	N	09,10,11,12	708	N/A	N/A	496	70.06	N	SW						2015-2016	N
995	Yancey County	995308	Bee Log Elementary	N	0K,01,02,03,04,05	55	N/A	N/A	33	60.00	Y	SW-SW					2006-2007	2015-2016	N
110	Buncombe County	110332	Bell Elementary	N	0K,01,02,03,04,05	296	N/A	N/A	177	59.80	Y	SW-SW					2006-2007	2015-2016	N
670	Onslow County	670304	Bell Fork Elementary	N	0K,01,02,03,04,05	518	N/A	N/A	328	63.32	Y	SW-SW					2006-2007	2015-2016	N
360	Gaston County	360320	Belmont Central Elementary	N	02,03,04,05	680	N/A	N/A	200	29.41	N	Not Title I						2015-2016	N
421	Roanoke Rapids City	421304	Belmont Elementary School	N	PK,0K,01,02,03,04,05	627	N/A	N/A	550	87.72	Y	SW-SW					2009-2010	2015-2016	N
360	Gaston County	360324	Belmont Middle	N	06,07,08	725	N/A	N/A	263	36.28	N	TAS						2015-2016	N
100	Brunswick County	100302	Belville Elementary	N	0K,01,02,03,04,05	779	N/A	N/A	442	56.74	Y	SW-SW					2002-2003	2015-2016	N
740	Pitt County	740310	Belvoir Elementary	N	PK,0K,01,02,03,04,05	504	364	1.6	504	100.00	Y	SW-SW					2004-2005	2015-2016	Y
250	Craven County	250306	Ben D Quinn Elementary	N	PK,0K,01,02,03,04,05	507	N/A	N/A	259	51.08	Y	SW-SW					2006-2007	2015-2016	N
410	Guilford County	410544	Ben L. Smith High School	N	09,10,11,12	1231	N/A	N/A	723	58.73	Y	SW-SW					2010-2011	2015-2016	Y
430	Harnett County	430312	Benhaven Elementary	N	PK,0K,01,02,03,04,05	495	N/A	N/A	337	68.08	Y	SW-SW					2005-2006	2015-2016	N
260	Cumberland County	260414	Benjamin J Martin Elementary	N	PK,0K,01,02,03,04,05	542	332	1.6	531	97.97	Y	SW-SW					2006-2007	2015-2016	Y
190	Chatham County	190304	Bennett School	N	PK,0K,01,02,03,04,05,06,07,08	217	N/A	N/A	86	39.63	N	TAS						2015-2016	N
510	Johnston County	510308	Benson Elementary	N	PK,0K,01,02,03,04	637	N/A	N/A	470	73.78	Y	SW-SW					2006-2007	2015-2016	N
510	Johnston County	510310	Benson Middle	N	05,06,07,08	439	N/A	N/A	307	69.93	Y	SW-SW					2012-2013	2015-2016	N
900	Union County	900304	Benton Heights Elementary	N	PK,0K,01,02,03,04,05	622	N/A	N/A	557	89.55	Y	SW-SW					2006-2007	2015-2016	N
640	Nash-Rocky Mount	640308	Benvenue Elementary	N	0K,01,02,03,04,05	703	547	1.6	703	100.00	Y	SW-SW					2006-2007	2015-2016	Y
600	Mecklenburg County	600369	Berewick Elementary	N	PK,0K,01,02,03,04,05	644	N/A	N/A	203	31.52	N	Not Title I						2015-2016	N
600	Mecklenburg County	600319	Berryhill School	N	PK,0K,01,02,03,04,05,06,07,08	719	N/A	N/A	393	54.66	Y	SW-SW					2009-2010	2015-2016	Y
080	Bertie County	080311	Bertie Early College High	N	09,10,11,12,13	153	N/A	N/A	153	100.00	Y	SW-SW					2014-2015	2015-2016	Y
080	Bertie County	080312	Bertie High	N	09,10,11,12	474	N/A	N/A	474	100.00	Y	SW-SW					2009-2010	2015-2016	Y
080	Bertie County	080314	Bertie Middle	N	06,07,08	611	N/A	N/A	611	100.00	Y	SW-SW					2006-2007	2015-2016	Y
080	Bertie County	080700	Bertie STEM High	N	09,10,11,12	119	N/A	N/A	119	100.00	Y	SW-SW					2014-2015	2015-2016	Y
360	Gaston County	360332	Bessemer City Central Elem	N	03,04,05	462	305	1.6	462	100.00	Y	SW-SW					2005-2006	2015-2016	Y
360	Gaston County	360336	Bessemer City High	N	09,10,11,12	621	N/A	N/A	394	63.45	N	SW						2015-2016	N
360	Gaston County	360436	Bessemer City Middle	N	06,07,08	541	322	1.6	515	95.19	Y	SW-SW					2010-2011	2015-2016	Y
360	Gaston County	360338	Bessemer City Primary	N	PK,0K,01,02	480	292	1.6	467	97.29	Y	SW-SW					2005-2006	2015-2016	Y
410	Guilford County	410328	Bessemer Elementary	N	PK,0K,01,02,03,04,05	512	N/A	N/A	410	80.08	Y	SW-SW					2002-2003	2015-2016	Y
79A	Bethany Community Middle	79A000	Bethany Community Middle	Y	06,07,08	250	N/A	N/A	61	24.40	Y	TAS-SW	Charter School	Always SW			2015-2016	2015-2016	N
790	Rockingham County	790302	Bethany Elementary	N	PK,0K,01,02,03,04,05	430	N/A	N/A	121	28.14	N	Not Title I						2015-2016	Y
130	Cabarrus County	130308	Bethel Elementary	N	0K,01,02,03,04,05	619	N/A	N/A	274	44.26	N	SW						2015-2016	N
440	Haywood County	440314	Bethel Elementary	N	0K,01,02,03,04,05	508	N/A	N/A	303	59.65	Y	SW-SW					2006-2007	2015-2016	N
740	Pitt County	740320	Bethel Elementary	N	PK,0K,01,02,03,04,05,06,07,08	329	N/A	N/A	172	52.28	Y	SW-SW					2002-2003	2015-2016	N
950	Watauga County	950308	Bethel Elementary	N	0K,01,02,03,04,05,06,07,08	170	N/A	N/A	93	54.71	Y	SW-SW					2006-2007	2015-2016	N
73A	Bethel Hill Charter	73A000	Bethel Hill Charter	Y	0K,01,02,03,04,05,06	397	N/A	N/A	139	35.01	Y	TAS-SW		Waiver Provided			2006-2007	2015-2016	N
440	Haywood County	440318	Bethel Middle	N	06,07,08	290	N/A	N/A	152	52.41	N	SW						2015-2016	N
320	Durham Public	320304	Bethesda Elementary	N	PK,0K,01,02,03,04,05	678	356	1.6	570	84.07	Y	SW-SW					2002-2003	2015-2016	Y
020	Alexander County	020304	Bethlehem Elementary	N	PK,0K,01,02,03,04,05	482	N/A	N/A	170	35.27	Y	TAS-SW		Always SW			2013-2014	2015-2016	N
230	Cleveland County	230304	Bethware Elementary	N	PK,0K,01,02,03,04	424	N/A	N/A	276	65.09	Y	SW-SW					2006-2007	2015-2016	N
310	Duplin County	310308	Beulaville Elementary	N	PK,0K,01,02,03,04,05,06,07,08	1017	N/A	N/A	603	59.29	Y	SW-SW					2002-2003	2015-2016	N
130	Cabarrus County	130309	Beverly Hills Elementary	N	0K,01,02,03,04,05	354	N/A	N/A	232	65.54	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600322	Beverly Woods Elementary	N	PK,0K,01,02,03,04,05	786	N/A	N/A	103	13.10	N	Not Title I						2015-2016	N
260	Cumberland County	260367	Bill Hefner Elementary	N	0K,01,02,03,04,05	810	N/A	N/A	556	68.64	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600335	Billingsville Elementary	N	PK,0K,01,02,03,04,05	632	N/A	N/A	471	74.53	Y	SW-SW					2002-2003	2015-2016	Y
110	Buncombe County	110318	Black Mountain Elementary	N	04,05	211	N/A	N/A	110	52.13	Y	SW-SW					2006-2007	2015-2016	N
110	Buncombe County	110320	Black Mountain Primary	N	0K,01,02,03	439	N/A	N/A	245	55.81	Y	SW-SW					2006-2007	2015-2016	N
180	Catawba County	180316	Blackburn Elementary	N	0K,01,02,03,04,05,06	677	N/A	N/A	342	50.52	Y	SW-SW					2013-2014	2015-2016	N
090	Bladen County	090318	Bladen Lakes Primary	N	PK,0K,01,02,03,04	299	N/A	N/A	193	64.55	Y	SW-SW					2006-2007	2015-2016	Y
090	Bladen County	090315	Bladenboro Middle	N	05,06,07,08	354	N/A	N/A	183	51.69	Y	SW-SW					2012-2013	2015-2016	Y
090	Bladen County	090317	Bladenboro Primary	N	PK,0K,01,02,03,04	448	N/A	N/A	277	61.83	Y	SW-SW					2006-2007	2015-2016	Y
950	Watauga County	950312	Blowing Rock Elementary	N	0K,01,02,03,04,05,06,07,08	346	N/A	N/A	80	23.12	N	Not Title I						2015-2016	N
670	Onslow County	670308	Blue Creek Elementary	N	0K,01,02,03,04,05	458	N/A	N/A	294	64.19	Y	SW-SW					2005-2006	2015-2016	N
060	Avery County	060334	Blue Ridge Academy	N	06,07,08,09,10,11,12	25	N/A	N/A	19	76.00	N	SW						2015-2016	N
500	Jackson County	500302	Blue Ridge Early College	N	07,08,09,10,11,12,13	171	97	1.6	155	90.64	N	SW						2015-2016	Y
050	Ashe County	050310	Blue Ridge Elementary	N	PK,0K,01,02,03,04,05,06	505	N/A	N/A	367	72.67	Y	SW-SW					2005-2006	2015-2016	N
500	Jackson County	500316	Blue Ridge School	N	0K,01,02,03,04,05,06	182	148	1.6	182	100.00	Y	SW-SW					2006-2007	2015-2016	Y
410	Guilford County	410331	Bluford Elementary	N	0K,01,02,03,04,05	285	N/A	N/A	208	72.98	Y	SW-SW					2006-2007	2015-2016	Y
600	Mecklenburg County	600442	Blythe Elementary	N	PK,0K,01,02,03,04,05	1121	N/A	N/A	330	29.44	N	Not Title I						2015-2016	N
160	Carteret County	160306	Bogue Sound Elementary	N	PK,0K,01,02,03,04,05	424	N/A	N/A	262	61.79	Y	SW-SW					2006-2007	2015-2016	N
230	Cleveland County	230308	Boiling Springs Elementary	N	PK,0K,01,02,03,04,05	495	N/A	N/A	265	53.54	Y	SW-SW					2009-2010	2015-2016	N
