Experience	year	unit_code	category_cd	pct_tch	lea_pct_tch	lea_pct_prin	st_pct_tch	st_pct_prin
0-3 Years	2016	200LEA	T		0	0.5	0.253	0.43
0-3 Years	2016	210LEA	E		0.156	0.75	0.227	0.43
0-3 Years	2016	210LEA	H		0.37	0.75	0.231	0.43
0-3 Years	2016	210LEA	M		0.194	0.75	0.244	0.43
0-3 Years	2016	220LEA	E		0.194	0.333	0.227	0.43
0-3 Years	2016	220LEA	H		0.065	0.333	0.231	0.43
0-3 Years	2016	220LEA	M		0.222	0.333	0.244	0.43
0-3 Years	2016	230LEA	A		0.571	0.69	0.227	0.43
0-3 Years	2016	230LEA	E		0.192	0.69	0.227	0.43
0-3 Years	2016	230LEA	H		0.194	0.69	0.231	0.43
0-3 Years	2016	230LEA	M		0.179	0.69	0.244	0.43
0-3 Years	2016	230LEA	T		0	0.69	0.253	0.43
0-3 Years	2016	240LEA	A			0.389	0.227	0.43
0-3 Years	2016	240LEA	E		0.212	0.389	0.227	0.43
0-3 Years	2016	240LEA	H		0.28	0.389	0.231	0.43
0-3 Years	2016	240LEA	I		0.241	0.389	0.255	0.43
0-3 Years	2016	240LEA	M		0.159	0.389	0.244	0.43
0-3 Years	2016	240LEA	T			0.389	0.253	0.43
0-3 Years	2016	241LEA	A			0.4	0.227	0.43
0-3 Years	2016	241LEA	E		0.123	0.4	0.227	0.43
0-3 Years	2016	241LEA	H		0.191	0.4	0.231	0.43
0-3 Years	2016	241LEA	M		0.139	0.4	0.244	0.43
0-3 Years	2016	241LEA	T		0.333	0.4	0.253	0.43
0-3 Years	2016	250LEA	E		0.282	0.36	0.227	0.43
0-3 Years	2016	250LEA	H		0.238	0.36	0.231	0.43
0-3 Years	2016	250LEA	M		0.213	0.36	0.244	0.43
0-3 Years	2016	260LEA	A			0.291	0.227	0.43
0-3 Years	2016	260LEA	E		0.27	0.291	0.227	0.43
0-3 Years	2016	260LEA	H		0.202	0.291	0.231	0.43
0-3 Years	2016	260LEA	M		0.247	0.291	0.244	0.43
0-3 Years	2016	260LEA	T			0.291	0.253	0.43
0-3 Years	2016	270LEA	E		0.167	0.5	0.227	0.43
0-3 Years	2016	270LEA	H		0.176	0.5	0.231	0.43
0-3 Years	2016	270LEA	M		0.22	0.5	0.244	0.43
0-3 Years	2016	280LEA	E		0.149	0.3	0.227	0.43
0-3 Years	2016	280LEA	H		0.167	0.3	0.231	0.43
0-3 Years	2016	280LEA	M		0.051	0.3	0.244	0.43
0-3 Years	2016	280LEA	T		0.29	0.3	0.253	0.43
0-3 Years	2016	290LEA	A		0.273	0.571	0.227	0.43
0-3 Years	2016	290LEA	E		0.173	0.571	0.227	0.43
0-3 Years	2016	290LEA	H		0.18	0.571	0.231	0.43
0-3 Years	2016	290LEA	M		0.151	0.571	0.244	0.43
0-3 Years	2016	290LEA	T		0.077	0.571	0.253	0.43
