Experience	year	unit_code	category_cd	pct_tch	lea_pct_tch	lea_pct_prin	st_pct_tch	st_pct_prin
10+ Years	2016	690320	H	0.561	0.561	0	0.534	0.143
10+ Years	2016	690324	E	0.609	0.524	0	0.5	0.143
10+ Years	2016	69A000	A				0.547	0.143
10+ Years	2016	700306	E	0.519	0.522	0.083	0.5	0.143
10+ Years	2016	700308	M	0.436	0.513	0.083	0.506	0.143
10+ Years	2016	700310	T	0.6	0.6	0.083	0.518	0.143
10+ Years	2016	700314	E	0.583	0.522	0.083	0.5	0.143
10+ Years	2016	700316	E	0.6	0.522	0.083	0.5	0.143
10+ Years	2016	700317	H	0.552	0.481	0.083	0.534	0.143
10+ Years	2016	700318	E	0.444	0.522	0.083	0.5	0.143
10+ Years	2016	700319	H	0.4	0.481	0.083	0.534	0.143
10+ Years	2016	700320	E	0.481	0.522	0.083	0.5	0.143
10+ Years	2016	700322	M	0.585	0.513	0.083	0.506	0.143
10+ Years	2016	700324	E	0.382	0.522	0.083	0.5	0.143
10+ Years	2016	700328	E	0.7	0.522	0.083	0.5	0.143
10+ Years	2016	70A000	H				0.534	0.143
10+ Years	2016	710312	E	0.382	0.476	0.063	0.5	0.143
10+ Years	2016	710316	M	0.5	0.442	0.063	0.506	0.143
10+ Years	2016	710318	E	0.516	0.476	0.063	0.5	0.143
10+ Years	2016	710320	M	0.471	0.442	0.063	0.506	0.143
10+ Years	2016	710321	H	0.52	0.539	0.063	0.534	0.143
10+ Years	2016	710323	E	0.425	0.476	0.063	0.5	0.143
10+ Years	2016	710324	E	0.297	0.476	0.063	0.5	0.143
10+ Years	2016	710326	H	0.5	0.539	0.063	0.534	0.143
10+ Years	2016	710327	H	0.333	0.539	0.063	0.534	0.143
10+ Years	2016	710328	I	0.606	0.606	0.063	0.491	0.143
10+ Years	2016	710332	E	0.378	0.476	0.063	0.5	0.143
10+ Years	2016	710342	H	0.611	0.539	0.063	0.534	0.143
10+ Years	2016	710344	E	0.781	0.476	0.063	0.5	0.143
10+ Years	2016	710346	M	0.421	0.442	0.063	0.506	0.143
10+ Years	2016	710347	E	0.6	0.476	0.063	0.5	0.143
10+ Years	2016	710348	M	0.389	0.442	0.063	0.506	0.143
10+ Years	2016	720304	E	0.414	0.5	0	0.5	0.143
10+ Years	2016	720312	E	0.593	0.5	0	0.5	0.143
10+ Years	2016	720316	H	0.611	0.611	0	0.534	0.143
10+ Years	2016	720320	M	0.433	0.433	0	0.506	0.143
10+ Years	2016	730332	E	0.4	0.416	0	0.5	0.143
10+ Years	2016	730334	E	0.316	0.416	0	0.5	0.143
10+ Years	2016	730340	E	0.429	0.416	0	0.5	0.143
10+ Years	2016	730344	M	0.424	0.453	0	0.506	0.143
10+ Years	2016	730348	E	0.533	0.416	0	0.5	0.143
10+ Years	2016	730352	H	0.551	0.551	0	0.534	0.143
10+ Years	2016	730354	E	0.345	0.416	0	0.5	0.143
10+ Years	2016	730356	E	0.435	0.416	0	0.5	0.143
10+ Years	2016	730360	M	0.484	0.453	0	0.506	0.143
10+ Years	2016	730368	E	0.571	0.416	0	0.5	0.143
10+ Years	2016	73A000	E				0.5	0.143
10+ Years	2016	73B000	T				0.518	0.143
10+ Years	2016	740302	M	0.46	0.431	0.171	0.506	0.143
10+ Years	2016	740304	E	0.533	0.376	0.171	0.5	0.143
10+ Years	2016	740308	M	0.318	0.431	0.171	0.506	0.143
10+ Years	2016	740309	H	0.511	0.547	0.171	0.534	0.143
10+ Years	2016	740310	E	0.179	0.376	0.171	0.5	0.143
10+ Years	2016	740320	I	0.308	0.467	0.171	0.491	0.143
10+ Years	2016	740324	M	0.381	0.431	0.171	0.506	0.143
10+ Years	2016	740330	E	0.489	0.376	0.171	0.5	0.143
10+ Years	2016	740332	I	0.705	0.467	0.171	0.491	0.143
10+ Years	2016	740333	H	0.552	0.547	0.171	0.534	0.143
10+ Years	2016	740334	E	0.233	0.376	0.171	0.5	0.143
10+ Years	2016	740336	E	0.348	0.376	0.171	0.5	0.143
10+ Years	2016	740337	M	0.367	0.431	0.171	0.506	0.143
10+ Years	2016	740338	E	0.423	0.376	0.171	0.5	0.143
10+ Years	2016	740340	M	0.45	0.431	0.171	0.506	0.143
10+ Years	2016	740344	H	0.62	0.547	0.171	0.534	0.143
10+ Years	2016	740352	I	0.359	0.467	0.171	0.491	0.143
10+ Years	2016	740358	I	0.559	0.467	0.171	0.491	0.143
10+ Years	2016	740360	E	0.273	0.376	0.171	0.5	0.143
10+ Years	2016	740362	M	0.578	0.431	0.171	0.506	0.143
10+ Years	2016	740366	H	0.615	0.547	0.171	0.534	0.143
10+ Years	2016	740368	E	0.32	0.376	0.171	0.5	0.143
10+ Years	2016	740374	H	0.5	0.547	0.171	0.534	0.143
10+ Years	2016	740375	E	0.069	0.376	0.171	0.5	0.143
10+ Years	2016	740376	I	0.326	0.467	0.171	0.491	0.143
10+ Years	2016	740378	A	0.633	0.633	0.171	0.547	0.143
10+ Years	2016	740379	E	0.5	0.376	0.171	0.5	0.143
10+ Years	2016	740380	E	0.417	0.376	0.171	0.5	0.143
10+ Years	2016	740386	E	0.269	0.376	0.171	0.5	0.143
10+ Years	2016	740388	H	0.494	0.547	0.171	0.534	0.143
10+ Years	2016	740390	E	0.333	0.376	0.171	0.5	0.143
10+ Years	2016	740396	I	0.333	0.467	0.171	0.491	0.143
10+ Years	2016	740400	E	0.563	0.376	0.171	0.5	0.143
10+ Years	2016	740402	M	0.393	0.431	0.171	0.506	0.143
10+ Years	2016	740404	E	0.404	0.376	0.171	0.5	0.143
10+ Years	2016	740406	E	0.478	0.376	0.171	0.5	0.143
10+ Years	2016	740500	H	0.25	0.547	0.171	0.534	0.143
10+ Years	2016	74C000	E				0.5	0.143
10+ Years	2016	750304	E	0.629	0.609	0.333	0.5	0.143
10+ Years	2016	750314	E	0.567	0.609	0.333	0.5	0.143
10+ Years	2016	750317	H	0.5	0.685	0.333	0.534	0.143
10+ Years	2016	750318	H	0.7	0.685	0.333	0.534	0.143
10+ Years	2016	750319	M	0.667	0.667	0.333	0.506	0.143
10+ Years	2016	750320	E	0.533	0.609	0.333	0.5	0.143
10+ Years	2016	750328	E	0.75	0.609	0.333	0.5	0.143
10+ Years	2016	760304	E	0.63	0.547	0.097	0.5	0.143
10+ Years	2016	760308	M	0.826	0.545	0.097	0.506	0.143
10+ Years	2016	760316	E	0.5	0.547	0.097	0.5	0.143
10+ Years	2016	760318	H	0.51	0.547	0.097	0.534	0.143
10+ Years	2016	760320	E	0.64	0.547	0.097	0.5	0.143
10+ Years	2016	760324	E	0.414	0.547	0.097	0.5	0.143
10+ Years	2016	760328	E	0.467	0.547	0.097	0.5	0.143
10+ Years	2016	760329	E	0.595	0.547	0.097	0.5	0.143
10+ Years	2016	760330	E	0.519	0.547	0.097	0.5	0.143
10+ Years	2016	760331	E	0.657	0.547	0.097	0.5	0.143
10+ Years	2016	760332	E	0.594	0.547	0.097	0.5	0.143
10+ Years	2016	760336	E	0.781	0.547	0.097	0.5	0.143
10+ Years	2016	760338	M	0.5	0.545	0.097	0.506	0.143
10+ Years	2016	760339	H	0.574	0.547	0.097	0.534	0.143
10+ Years	2016	760340	E	0.289	0.547	0.097	0.5	0.143
10+ Years	2016	760344	E	0.396	0.547	0.097	0.5	0.143
10+ Years	2016	760348	H	0.448	0.547	0.097	0.534	0.143
10+ Years	2016	760352	M	0.63	0.545	0.097	0.506	0.143
10+ Years	2016	760354	H	0.455	0.547	0.097	0.534	0.143
10+ Years	2016	760356	E	0.594	0.547	0.097	0.5	0.143
10+ Years	2016	760357	M	0.386	0.545	0.097	0.506	0.143
10+ Years	2016	760358	H	0.615	0.547	0.097	0.534	0.143
10+ Years	2016	760359	E	0.545	0.547	0.097	0.5	0.143
10+ Years	2016	760360	M	0.472	0.545	0.097	0.506	0.143
10+ Years	2016	760364	E	0.5	0.547	0.097	0.5	0.143
10+ Years	2016	760368	E	0.652	0.547	0.097	0.5	0.143
10+ Years	2016	760376	E	0.667	0.547	0.097	0.5	0.143
10+ Years	2016	760378	M	0.588	0.545	0.097	0.506	0.143
10+ Years	2016	760380	H	0.617	0.547	0.097	0.534	0.143
10+ Years	2016	760382	M	0.458	0.545	0.097	0.506	0.143
10+ Years	2016	760388	H	0.542	0.547	0.097	0.534	0.143
10+ Years	2016	761304	H	0.525	0.525	0.25	0.534	0.143
10+ Years	2016	761308	M	0.425	0.456	0.25	0.506	0.143
10+ Years	2016	761312	E	0.275	0.381	0.25	0.5	0.143
10+ Years	2016	761320	E	0.424	0.381	0.25	0.5	0.143
10+ Years	2016	761321	E	0.333	0.381	0.25	0.5	0.143
10+ Years	2016	761328	E	0.474	0.381	0.25	0.5	0.143
10+ Years	2016	761332	E	0.4	0.381	0.25	0.5	0.143
10+ Years	2016	761336	M	0.487	0.456	0.25	0.506	0.143
10+ Years	2016	76A000	T				0.518	0.143
10+ Years	2016	770310	E	0.475	0.504	0.25	0.5	0.143
10+ Years	2016	770312	A	0.417	0.417	0.25	0.547	0.143
10+ Years	2016	770316	M	0.467	0.388	0.25	0.506	0.143
10+ Years	2016	770318	E	0.606	0.504	0.25	0.5	0.143
10+ Years	2016	770328	M	0.405	0.388	0.25	0.506	0.143
10+ Years	2016	770340	E	0.588	0.504	0.25	0.5	0.143
10+ Years	2016	770342	T	0.583	0.583	0.25	0.518	0.143
10+ Years	2016	770344	E	0.567	0.504	0.25	0.5	0.143
10+ Years	2016	770346	E	0.387	0.504	0.25	0.5	0.143
10+ Years	2016	770348	H	0.488	0.459	0.25	0.534	0.143
10+ Years	2016	770349	H	0.5	0.459	0.25	0.534	0.143
10+ Years	2016	770351	H	0.375	0.459	0.25	0.534	0.143
10+ Years	2016	770360	M	0.372	0.388	0.25	0.506	0.143
10+ Years	2016	770364	M	0.333	0.388	0.25	0.506	0.143
10+ Years	2016	770368	E	0.37	0.504	0.25	0.5	0.143
10+ Years	2016	770370	E	0.515	0.504	0.25	0.5	0.143
10+ Years	2016	780320	E	0.375	0.518	0.19	0.5	0.143
10+ Years	2016	780322	E	0.389	0.518	0.19	0.5	0.143
10+ Years	2016	780324	I	0.522	0.535	0.19	0.491	0.143
10+ Years	2016	780325	H	0.489	0.509	0.19	0.534	0.143
10+ Years	2016	780326	M	0.385	0.458	0.19	0.506	0.143
10+ Years	2016	780328	E	0.5	0.518	0.19	0.5	0.143
10+ Years	2016	780329	E	0.615	0.518	0.19	0.5	0.143
10+ Years	2016	780330	E	0.417	0.518	0.19	0.5	0.143
10+ Years	2016	780331	A	0.833	0.833	0.19	0.547	0.143
10+ Years	2016	780336	I	0.465	0.535	0.19	0.491	0.143
10+ Years	2016	780340	E	0.5	0.518	0.19	0.5	0.143
10+ Years	2016	780341	M	0.389	0.458	0.19	0.506	0.143
10+ Years	2016	780342	H	0.511	0.509	0.19	0.534	0.143
10+ Years	2016	780344	I	0.413	0.535	0.19	0.491	0.143
10+ Years	2016	780352	M	0.762	0.458	0.19	0.506	0.143
10+ Years	2016	780356	E	0.5	0.518	0.19	0.5	0.143
10+ Years	2016	780360	I	0.441	0.535	0.19	0.491	0.143
10+ Years	2016	780364	E	0.585	0.518	0.19	0.5	0.143
10+ Years	2016	780368	M	0.429	0.458	0.19	0.506	0.143
10+ Years	2016	780374	E	0.688	0.518	0.19	0.5	0.143
10+ Years	2016	780376	E	0.486	0.518	0.19	0.5	0.143
10+ Years	2016	780384	I	0.759	0.535	0.19	0.491	0.143
10+ Years	2016	780385	H	0.727	0.509	0.19	0.534	0.143
10+ Years	2016	780390	E	0.533	0.518	0.19	0.5	0.143
10+ Years	2016	780391	H	0.365	0.509	0.19	0.534	0.143
10+ Years	2016	780392	E	0.444	0.518	0.19	0.5	0.143
10+ Years	2016	780393	M	0.514	0.458	0.19	0.506	0.143
10+ Years	2016	780394	E	0.524	0.518	0.19	0.5	0.143
10+ Years	2016	780396	M	0.545	0.458	0.19	0.506	0.143
10+ Years	2016	780398	E	0.467	0.518	0.19	0.5	0.143
10+ Years	2016	780400	E	0.411	0.518	0.19	0.5	0.143
10+ Years	2016	780401	H	0.597	0.509	0.19	0.534	0.143
10+ Years	2016	780402	H	0.578	0.509	0.19	0.534	0.143
10+ Years	2016	780403	M	0.379	0.458	0.19	0.506	0.143
10+ Years	2016	780407	E	0.542	0.518	0.19	0.5	0.143
10+ Years	2016	780408	E	0.471	0.518	0.19	0.5	0.143
10+ Years	2016	780410	M	0.357	0.458	0.19	0.506	0.143
10+ Years	2016	780412	E	0.571	0.518	0.19	0.5	0.143
10+ Years	2016	780416	E	0.583	0.518	0.19	0.5	0.143
10+ Years	2016	780417	E	0.538	0.518	0.19	0.5	0.143
10+ Years	2016	780418	E	0.829	0.518	0.19	0.5	0.143
10+ Years	2016	780420	H	0.479	0.509	0.19	0.534	0.143
10+ Years	2016	78A000	M				0.506	0.143
10+ Years	2016	78B000	I				0.491	0.143
10+ Years	2016	790302	E	0.643	0.584	0.04	0.5	0.143
10+ Years	2016	790310	E	0.481	0.584	0.04	0.5	0.143
10+ Years	2016	790314	H	0.589	0.608	0.04	0.534	0.143
10+ Years	2016	790318	E	0.667	0.584	0.04	0.5	0.143
10+ Years	2016	790322	E	0.5	0.584	0.04	0.5	0.143
10+ Years	2016	790327	E	0.714	0.584	0.04	0.5	0.143
10+ Years	2016	790330	M	0.696	0.642	0.04	0.506	0.143
10+ Years	2016	790334	E	0.478	0.584	0.04	0.5	0.143
10+ Years	2016	790344	E	0.781	0.584	0.04	0.5	0.143
10+ Years	2016	790347	E	0.591	0.584	0.04	0.5	0.143
10+ Years	2016	790350	E	0.581	0.584	0.04	0.5	0.143
10+ Years	2016	790354	H	0.472	0.608	0.04	0.534	0.143
10+ Years	2016	790358	E	0.464	0.584	0.04	0.5	0.143
10+ Years	2016	790362	E	0.444	0.584	0.04	0.5	0.143
10+ Years	2016	790366	H	0.63	0.608	0.04	0.534	0.143
10+ Years	2016	790374	M	0.525	0.642	0.04	0.506	0.143
10+ Years	2016	790378	H	0.783	0.608	0.04	0.534	0.143
10+ Years	2016	790379	H	0.222	0.608	0.04	0.534	0.143
10+ Years	2016	790380	M	0.66	0.642	0.04	0.506	0.143
10+ Years	2016	790386	E	0.579	0.584	0.04	0.5	0.143
10+ Years	2016	790390	E	0.581	0.584	0.04	0.5	0.143
10+ Years	2016	790392	A	0.786	0.786	0.04	0.547	0.143
10+ Years	2016	790394	M	0.674	0.642	0.04	0.506	0.143
10+ Years	2016	790398	E	0.613	0.584	0.04	0.5	0.143
10+ Years	2016	790402	E	0.529	0.584	0.04	0.5	0.143
10+ Years	2016	79A000	M				0.506	0.143
10+ Years	2016	800308	T	0.615	0.615	0.143	0.518	0.143
10+ Years	2016	800312	E	0.692	0.486	0.143	0.5	0.143
10+ Years	2016	800314	M	0.679	0.562	0.143	0.506	0.143
10+ Years	2016	800315	E	0.5	0.486	0.143	0.5	0.143
10+ Years	2016	800316	E	0.474	0.486	0.143	0.5	0.143
10+ Years	2016	800320	M	0.788	0.562	0.143	0.506	0.143
10+ Years	2016	800324	E	0.636	0.486	0.143	0.5	0.143
10+ Years	2016	800328	M	0.694	0.562	0.143	0.506	0.143
10+ Years	2016	800340	H	0.656	0.581	0.143	0.534	0.143
10+ Years	2016	800346	E	0.417	0.486	0.143	0.5	0.143
10+ Years	2016	800347	E	0.6	0.486	0.143	0.5	0.143
10+ Years	2016	800348	E	0.444	0.486	0.143	0.5	0.143
10+ Years	2016	800352	E	0.667	0.486	0.143	0.5	0.143
10+ Years	2016	800356	E	0.353	0.486	0.143	0.5	0.143
10+ Years	2016	800358	E	0.241	0.486	0.143	0.5	0.143
10+ Years	2016	800359	E	0.382	0.486	0.143	0.5	0.143
10+ Years	2016	800360	E	0.333	0.486	0.143	0.5	0.143
10+ Years	2016	800361	H	0.444	0.581	0.143	0.534	0.143
10+ Years	2016	800362	E	0.341	0.486	0.143	0.5	0.143
10+ Years	2016	800363	M	0.378	0.562	0.143	0.506	0.143
10+ Years	2016	800364	E	0.5	0.486	0.143	0.5	0.143
10+ Years	2016	800366	E	0.649	0.486	0.143	0.5	0.143
10+ Years	2016	800368	E	0.6	0.486	0.143	0.5	0.143
10+ Years	2016	800372	E	0.429	0.486	0.143	0.5	0.143
10+ Years	2016	800373	E	0.514	0.486	0.143	0.5	0.143
10+ Years	2016	800376	H	0.551	0.581	0.143	0.534	0.143
10+ Years	2016	800377	M	0.308	0.562	0.143	0.506	0.143
10+ Years	2016	800392	E	0.438	0.486	0.143	0.5	0.143
10+ Years	2016	800394	H	0.875	0.581	0.143	0.534	0.143
10+ Years	2016	800396	H	0.533	0.581	0.143	0.534	0.143
10+ Years	2016	800398	M	0.447	0.562	0.143	0.506	0.143
10+ Years	2016	800400	H	0.656	0.581	0.143	0.534	0.143
10+ Years	2016	800408	H	0.623	0.581	0.143	0.534	0.143
10+ Years	2016	800410	M	0.703	0.562	0.143	0.506	0.143
10+ Years	2016	800412	E	0.72	0.486	0.143	0.5	0.143
10+ Years	2016	810324	H	0.6	0.598	0.111	0.534	0.143
10+ Years	2016	810326	M	0.5	0.508	0.111	0.506	0.143
10+ Years	2016	810328	E	0.667	0.563	0.111	0.5	0.143
10+ Years	2016	810336	E	0.529	0.563	0.111	0.5	0.143
10+ Years	2016	810340	H	0.617	0.598	0.111	0.534	0.143
10+ Years	2016	810342	M	0.553	0.508	0.111	0.506	0.143
10+ Years	2016	810344	E	0.538	0.563	0.111	0.5	0.143
10+ Years	2016	810350	E	0.32	0.563	0.111	0.5	0.143
10+ Years	2016	810360	E	0.6	0.563	0.111	0.5	0.143
10+ Years	2016	810364	E	0.556	0.563	0.111	0.5	0.143
10+ Years	2016	810370	E	0.591	0.563	0.111	0.5	0.143
10+ Years	2016	810378	M	0.474	0.508	0.111	0.506	0.143
10+ Years	2016	810384	H	0.607	0.598	0.111	0.534	0.143
10+ Years	2016	810385	H	0.333	0.598	0.111	0.534	0.143
10+ Years	2016	810386	T	0.833	0.833	0.111	0.518	0.143
10+ Years	2016	810388	E	0.667	0.563	0.111	0.5	0.143
10+ Years	2016	810396	E	0.519	0.563	0.111	0.5	0.143
10+ Years	2016	810400	E	0.75	0.563	0.111	0.5	0.143
10+ Years	2016	81A000	A				0.547	0.143
10+ Years	2016	81B000	A				0.547	0.143
10+ Years	2016	820312	E	0.519	0.585	0.222	0.5	0.143
10+ Years	2016	820320	E	0.692	0.585	0.222	0.5	0.143
10+ Years	2016	820324	H	0.545	0.476	0.222	0.534	0.143
10+ Years	2016	820340	E	0.448	0.585	0.222	0.5	0.143
10+ Years	2016	820346	E	0.485	0.585	0.222	0.5	0.143
10+ Years	2016	820347	M	0.483	0.537	0.222	0.506	0.143
10+ Years	2016	820348	H	0.4	0.476	0.222	0.534	0.143
10+ Years	2016	820349	H	0.528	0.476	0.222	0.534	0.143
10+ Years	2016	820350	E	0.824	0.585	0.222	0.5	0.143
10+ Years	2016	820352	H	0.489	0.476	0.222	0.534	0.143
10+ Years	2016	820354	M	0.595	0.537	0.222	0.506	0.143
10+ Years	2016	820364	E	0.654	0.585	0.222	0.5	0.143
10+ Years	2016	820370	M	0.483	0.537	0.222	0.506	0.143
10+ Years	2016	820372	M	0.571	0.537	0.222	0.506	0.143
10+ Years	2016	820376	E	0.606	0.585	0.222	0.5	0.143
10+ Years	2016	820384	E	0.565	0.585	0.222	0.5	0.143
10+ Years	2016	820385	E	0.389	0.585	0.222	0.5	0.143
10+ Years	2016	820388	H	0.462	0.476	0.222	0.534	0.143
10+ Years	2016	821304	E	0.657	0.519	0	0.5	0.143
10+ Years	2016	821308	H	0.527	0.527	0	0.534	0.143
10+ Years	2016	821316	E	0.465	0.519	0	0.5	0.143
10+ Years	2016	821320	M	0.435	0.435	0	0.506	0.143
10+ Years	2016	821330	E	0.423	0.519	0	0.5	0.143
10+ Years	2016	830304	M	0.5	0.511	0.083	0.506	0.143
10+ Years	2016	830312	E	0.417	0.569	0.083	0.5	0.143
10+ Years	2016	830316	T	0.727	0.727	0.083	0.518	0.143
10+ Years	2016	830320	E	0.633	0.569	0.083	0.5	0.143
10+ Years	2016	830328	E	0.625	0.569	0.083	0.5	0.143
10+ Years	2016	830336	E	0.462	0.569	0.083	0.5	0.143
10+ Years	2016	830343	H	0.49	0.477	0.083	0.534	0.143
10+ Years	2016	830348	H	0.333	0.477	0.083	0.534	0.143
10+ Years	2016	830349	M	0.523	0.511	0.083	0.506	0.143
10+ Years	2016	830356	E	0.7	0.569	0.083	0.5	0.143
10+ Years	2016	830360	E	0.563	0.569	0.083	0.5	0.143
10+ Years	2016	830364	E	0.529	0.569	0.083	0.5	0.143
10+ Years	2016	840302	H	0.333	0.539	0.095	0.534	0.143
10+ Years	2016	840303	M	0.5	0.562	0.095	0.506	0.143
10+ Years	2016	840304	E	0.591	0.592	0.095	0.5	0.143
10+ Years	2016	840308	E	0.593	0.592	0.095	0.5	0.143
10+ Years	2016	840310	E	0.5	0.592	0.095	0.5	0.143
10+ Years	2016	840312	E	0.4	0.592	0.095	0.5	0.143
10+ Years	2016	840316	E	0.44	0.592	0.095	0.5	0.143
10+ Years	2016	840320	E	0.731	0.592	0.095	0.5	0.143
10+ Years	2016	840324	E	0.8	0.592	0.095	0.5	0.143
10+ Years	2016	840328	M	0.722	0.562	0.095	0.506	0.143
10+ Years	2016	840332	H	0.643	0.539	0.095	0.534	0.143
10+ Years	2016	840336	E	0.462	0.592	0.095	0.5	0.143
10+ Years	2016	840340	E	0.6	0.592	0.095	0.5	0.143
10+ Years	2016	840344	E	0.8	0.592	0.095	0.5	0.143
10+ Years	2016	840350	M	0.44	0.562	0.095	0.506	0.143
10+ Years	2016	840356	H	0.528	0.539	0.095	0.534	0.143
10+ Years	2016	840358	M	0.643	0.562	0.095	0.506	0.143
10+ Years	2016	840360	E	0.824	0.592	0.095	0.5	0.143
10+ Years	2016	840361	H	0.5	0.539	0.095	0.534	0.143
10+ Years	2016	840368	H	0.603	0.539	0.095	0.534	0.143
10+ Years	2016	840370	H	0.286	0.539	0.095	0.534	0.143
10+ Years	2016	84B000	H				0.534	0.143
10+ Years	2016	850304	M	0.543	0.51	0.158	0.506	0.143
10+ Years	2016	850312	E	0.385	0.535	0.158	0.5	0.143
10+ Years	2016	850314	E	0.882	0.535	0.158	0.5	0.143
10+ Years	2016	850316	E	0.389	0.535	0.158	0.5	0.143
10+ Years	2016	850320	E	0.563	0.535	0.158	0.5	0.143
10+ Years	2016	850324	T	0.5	0.5	0.158	0.518	0.143
10+ Years	2016	850328	E	0.538	0.535	0.158	0.5	0.143
10+ Years	2016	850332	H	0.571	0.589	0.158	0.534	0.143
10+ Years	2016	850336	E	0.308	0.535	0.158	0.5	0.143
10+ Years	2016	850338	M	0.429	0.51	0.158	0.506	0.143
10+ Years	2016	850340	E	0.769	0.535	0.158	0.5	0.143
10+ Years	2016	850342	E	0.69	0.535	0.158	0.5	0.143
10+ Years	2016	850348	E	0.462	0.535	0.158	0.5	0.143
10+ Years	2016	850350	M	0.517	0.51	0.158	0.506	0.143
10+ Years	2016	850352	H	0.627	0.589	0.158	0.534	0.143
10+ Years	2016	850354	E	0.4	0.535	0.158	0.5	0.143
10+ Years	2016	850356	E	0.5	0.535	0.158	0.5	0.143
10+ Years	2016	850358	H	0.594	0.589	0.158	0.534	0.143
10+ Years	2016	850360	H	0.375	0.589	0.158	0.534	0.143
10+ Years	2016	860302	E	0.68	0.593	0.158	0.5	0.143
10+ Years	2016	860306	M	0.775	0.695	0.158	0.506	0.143
10+ Years	2016	860308	E	0.52	0.593	0.158	0.5	0.143
10+ Years	2016	860312	E	0.76	0.593	0.158	0.5	0.143
10+ Years	2016	860316	H	0.714	0.597	0.158	0.534	0.143
10+ Years	2016	860320	E	0.789	0.593	0.158	0.5	0.143
10+ Years	2016	860324	E	0.632	0.593	0.158	0.5	0.143
10+ Years	2016	860326	M	0.704	0.695	0.158	0.506	0.143
10+ Years	2016	860330	M	0.571	0.695	0.158	0.506	0.143
10+ Years	2016	860332	E	0.333	0.593	0.158	0.5	0.143
10+ Years	2016	860336	H	0.596	0.597	0.158	0.534	0.143
10+ Years	2016	860339	E	0.538	0.593	0.158	0.5	0.143
10+ Years	2016	860340	M	0.697	0.695	0.158	0.506	0.143
10+ Years	2016	860344	E	0.5	0.593	0.158	0.5	0.143
10+ Years	2016	860348	E	0.5	0.593	0.158	0.5	0.143
10+ Years	2016	860352	H	0.551	0.597	0.158	0.534	0.143
10+ Years	2016	860354	H	0.364	0.597	0.158	0.534	0.143
10+ Years	2016	860356	E	0.684	0.593	0.158	0.5	0.143
10+ Years	2016	860360	E	0.52	0.593	0.158	0.5	0.143
10+ Years	2016	861304	E	0.609	0.609	0	0.5	0.143
10+ Years	2016	861308	H	0.733	0.733	0	0.534	0.143
10+ Years	2016	861312	M	0.571	0.571	0	0.506	0.143
10+ Years	2016	862308	E	0.643	0.647	0.25	0.5	0.143
10+ Years	2016	862310	E	0.652	0.647	0.25	0.5	0.143
10+ Years	2016	862312	H	0.5	0.5	0.25	0.534	0.143
10+ Years	2016	862316	M	0.63	0.63	0.25	0.506	0.143
10+ Years	2016	86T000	A				0.547	0.143
10+ Years	2016	870314	H	0.625	0.625	0	0.534	0.143
10+ Years	2016	870318	M	0.459	0.459	0	0.506	0.143
10+ Years	2016	870320	E	0.5	0.429	0	0.5	0.143
10+ Years	2016	870324	E	0.357	0.429	0	0.5	0.143
10+ Years	2016	87A000	I				0.491	0.143
10+ Years	2016	880304	E	0.659	0.554	0.444	0.5	0.143
10+ Years	2016	880308	H	0.559	0.57	0.444	0.534	0.143
10+ Years	2016	880312	M	0.489	0.5	0.444	0.506	0.143
10+ Years	2016	880318	E	0.412	0.554	0.444	0.5	0.143
10+ Years	2016	880320	H	0.556	0.57	0.444	0.534	0.143
10+ Years	2016	880324	E	0.538	0.554	0.444	0.5	0.143
10+ Years	2016	880328	H	0.594	0.57	0.444	0.534	0.143
10+ Years	2016	880330	M	0.52	0.5	0.444	0.506	0.143
10+ Years	2016	880336	E	0.636	0.554	0.444	0.5	0.143
10+ Years	2016	88A000	I				0.491	0.143
10+ Years	2016	890304	H	0.588	0.588	0	0.534	0.143
10+ Years	2016	890306	M	0.417	0.417	0	0.506	0.143
10+ Years	2016	890308	E	0.545	0.545	0	0.5	0.143
10+ Years	2016	900302	E	0.533	0.48	0.135	0.5	0.143
10+ Years	2016	900303	E	0.606	0.48	0.135	0.5	0.143
10+ Years	2016	900304	E	0.414	0.48	0.135	0.5	0.143
10+ Years	2016	900305	E	0.451	0.48	0.135	0.5	0.143
10+ Years	2016	900306	E	0.231	0.48	0.135	0.5	0.143
10+ Years	2016	900307	E	0.446	0.48	0.135	0.5	0.143
10+ Years	2016	900308	M	0.481	0.555	0.135	0.506	0.143
10+ Years	2016	900310	M	0.552	0.555	0.135	0.506	0.143
10+ Years	2016	900311	H	0.575	0.568	0.135	0.534	0.143
10+ Years	2016	900312	E	0.643	0.48	0.135	0.5	0.143
10+ Years	2016	900314	M	0.424	0.555	0.135	0.506	0.143
10+ Years	2016	900316	H	0.438	0.568	0.135	0.534	0.143
10+ Years	2016	900318	E	0.313	0.48	0.135	0.5	0.143
10+ Years	2016	900320	E	0.55	0.48	0.135	0.5	0.143
10+ Years	2016	900328	E	0.39	0.48	0.135	0.5	0.143
10+ Years	2016	900332	E	0.455	0.48	0.135	0.5	0.143
10+ Years	2016	900334	E	0.625	0.48	0.135	0.5	0.143
10+ Years	2016	900336	H	0.622	0.568	0.135	0.534	0.143
10+ Years	2016	900340	E	0.526	0.48	0.135	0.5	0.143
10+ Years	2016	900341	E	0.345	0.48	0.135	0.5	0.143
10+ Years	2016	900342	H	0.513	0.568	0.135	0.534	0.143
