school_code	name	grade_span	subject	grade	type	subgroup	num_tested	num_l1	pct_l1	num_l2	pct_l2	num_l3	pct_l3	num_l4	pct_l4	num_l5	pct_l5	num_ccr	pct_ccr	num_glp	pct_glp	avg_score

110444	Woodfin Elementary	0K-05	ALL	ALL	X2	EDS	6	-	-	-	-	-	<5	-	<5	-	<5	-	<5	-	<5	
110444	Woodfin Elementary	0K-05	ALL	ALL	X2	NOT_MIG	6	-	-	-	-	-	<5	-	<5	-	<5	-	<5	-	<5	
110444	Woodfin Elementary	0K-05	ALL	ALL	X2	SWD	6	-	-	-	-	-	<5	-	<5	-	<5	-	<5	-	<5	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	AIG	6	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	AIG_MATH	6	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	AIG_READ	6	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	ALL	50	11	22.0	18	36.0	5	10.0	12	24.0	4	8.0	16	32.0	21	42.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	EDS	38	-	-	-	-	-	-	-	-	-	<5	10	26.3	14	36.8	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	FEM	22	-	-	-	-	-	-	-	-	-	<5	6	27.3	9	40.9	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	FEM_HISP	10	-	-	-	-	-	-	-	-	-	<5	1	10.0	2	20.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	FEM_WHTE	12	-	<5	-	-	-	-	-	-	-	<5	5	41.7	7	58.3	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	HISP	14	8	57.1	2	14.3	1	7.1	2	14.3	1	7.1	3	21.4	4	28.6	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	LEP	12	5	41.7	3	25.0	1	8.3	2	16.7	1	8.3	3	25.0	4	33.3	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	MALE	28	4	14.3	12	42.9	2	7.1	6	21.4	4	14.3	10	35.7	12	42.9	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	MALE_WHTE	20	2	10.0	9	45.0	2	10.0	4	20.0	3	15.0	7	35.0	9	45.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	NOT_EDS	12	-	<5	-	-	-	-	-	-	-	-	6	50.0	7	58.3	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	NOT_LEP	38	6	15.8	15	39.5	4	10.5	10	26.3	3	7.9	13	34.2	17	44.7	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	NOT_MIG	50	11	22.0	18	36.0	5	10.0	12	24.0	4	8.0	16	32.0	21	42.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	NOT_SWD	36	6	16.7	11	30.6	4	11.1	11	30.6	4	11.1	15	41.7	19	52.8	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	SWD	14	-	-	-	-	-	-	-	-	-	<5	1	7.1	2	14.3	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	WHTE	32	2	6.3	14	43.8	4	12.5	9	28.1	3	9.4	12	37.5	16	50.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	AIG	6	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	RG	AIG_MATH	6	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	RG	AIG_READ	6	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	RG	ALL	42	8	19.0	14	33.3	5	11.9	11	26.2	4	9.5	15	35.7	20	47.6	
110444	Woodfin Elementary	0K-05	EOG	03	RG	EDS	32	-	-	-	-	-	-	-	-	-	<5	10	31.3	14	43.8	
110444	Woodfin Elementary	0K-05	EOG	03	RG	FEM	20	-	-	-	-	-	-	-	-	-	<5	6	30.0	9	45.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	FEM_HISP	8	-	-	-	-	-	-	-	-	-	<5	1	12.5	2	25.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	FEM_WHTE	12	-	<5	-	-	-	-	-	-	-	<5	5	41.7	7	58.3	
110444	Woodfin Elementary	0K-05	EOG	03	RG	HISP	10	5	50.0	1	10.0	1	10.0	2	20.0	1	10.0	3	30.0	4	40.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	LEP	10	3	30.0	3	30.0	1	10.0	2	20.0	1	10.0	3	30.0	4	40.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	MALE	22	3	13.6	8	36.4	2	9.1	5	22.7	4	18.2	9	40.9	11	50.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	MALE_WHTE	18	2	11.1	7	38.9	2	11.1	4	22.2	3	16.7	7	38.9	9	50.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	NOT_EDS	10	-	<5	-	-	-	-	-	-	-	-	5	50.0	6	60.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	NOT_LEP	32	5	15.6	11	34.4	4	12.5	9	28.1	3	9.4	12	37.5	16	50.0	
110444	Woodfin Elementary	0K-05	EOG	03	RG	NOT_MIG	42	8	19.0	14	33.3	5	11.9	11	26.2	4	9.5	15	35.7	20	47.6	
110444	Woodfin Elementary	0K-05	EOG	03	RG	NOT_SWD	36	6	16.7	11	30.6	4	11.1	11	30.6	4	11.1	15	41.7	19	52.8	
110444	Woodfin Elementary	0K-05	EOG	03	RG	SWD	6	-	-	-	-	-	-	-	<5	-	<5	-	<5	1	16.7	
110444	Woodfin Elementary	0K-05	EOG	03	RG	WHTE	30	2	6.7	12	40.0	4	13.3	9	30.0	3	10.0	12	40.0	16	53.3	
