LEA,SchoolCode,Charter,TotalStudents,LowIncomeStudents,PctLowIncome,SchoolServed,SchoolYear
740,740302,N,787,357,45.36,N,2016-17
650,650384,N,482,482,100,Y,2016-17
132,132304,N,1424,560,39.33,N,2016-17
680,680304,N,652,335,51.38,N,2016-17
130,130304,N,889,546,61.42,Y,2016-17
13C,13C000,Y,400,160,40,Y,2016-17
920,920303,N,697,211,30.27,N,2016-17
630,630308,N,330,264,80,Y,2016-17
630,630304,N,327,257,78.59,Y,2016-17
240,240308,N,322,278,86.34,Y,2016-17
240,240304,N,139,102,73.38,Y,2016-17
920,920304,N,743,329,44.28,N,2016-17
460,460308,N,492,486,98.78,Y,2016-17
410,410304,N,515,140,27.18,N,2016-17
10,10303,N,112,1,0.89,N,2016-17
840,840302,N,385,276,71.69,N,2016-17
840,840303,N,380,312,82.11,Y,2016-17
600,600300,N,1174,717,61.07,Y,2016-17
600,600301,N,1169,636,54.41,Y,2016-17
250,250304,N,440,222,50.45,Y,2016-17
260,260364,N,724,570,78.73,Y,2016-17
20,20302,N,1227,566,46.13,N,2016-17
20,20303,N,56,30,53.57,N,2016-17
600,600399,N,1407,345,24.52,N,2016-17
10,10304,N,586,297,50.68,N,2016-17
260,260374,N,120,95,79.17,N,2016-17
30,30304,N,433,231,53.35,N,2016-17
410,410310,N,425,228,53.65,Y,2016-17
410,410311,N,291,130,44.67,Y,2016-17
410,410316,N,662,354,53.47,Y,2016-17
600,600308,N,573,448,78.18,Y,2016-17
260,260302,N,265,128,48.3,Y,2016-17
26B,26B000,Y,844,655,77.61,Y,2016-17
920,920307,N,1221,100,8.19,N,2016-17
10,10308,N,558,262,46.95,N,2016-17
49B,49B000,Y,540,144,26.67,Y,2016-17
43C,43C000,Y,231,60,25.97,N,2016-17
430,430304,N,554,375,67.69,Y,2016-17
200,200304,N,342,291,85.09,Y,2016-17
200,200308,N,289,144,49.83,N,2016-17
200,200310,N,187,144,77.01,N,2016-17
430,430308,N,449,341,75.95,Y,2016-17
260,260336,N,405,287,70.86,N,2016-17
40,40305,N,97,70,72.16,N,2016-17
40,40304,N,213,65,30.52,N,2016-17
40,40306,N,640,345,53.91,N,2016-17
40,40309,N,572,302,52.8,N,2016-17
40,40700,N,135,57,42.22,N,2016-17
40,40308,N,205,80,39.02,Y,2016-17
900,900302,N,732,45,6.15,N,2016-17
920,920308,N,662,192,29,N,2016-17
920,920317,N,948,114,12.03,N,2016-17
920,920316,N,2283,279,12.22,N,2016-17
920,920312,N,1289,243,18.85,N,2016-17
450,450301,N,860,578,67.21,N,2016-17
840,840304,N,394,212,53.81,Y,2016-17
69A,69A000,Y,518,264,50.97,Y,2016-17
760,760304,N,374,237,63.37,Y,2016-17
760,760378,N,806,359,44.54,N,2016-17
410,410322,N,425,226,53.18,Y,2016-17
510,510364,N,1042,385,36.95,N,2016-17
600,600302,N,2846,138,4.85,N,2016-17
60N,60N000,Y,160,160,100,Y,2016-17
260,260306,N,445,284,63.82,Y,2016-17
250,250380,N,645,308,47.75,Y,2016-17
11B,11B000,Y,392,172,43.88,Y,2016-17
550,550308,N,68,62,91.18,N,2016-17
360,360310,N,1442,863,59.85,N,2016-17
50,50302,N,910,480,52.75,N,2016-17
50,50305,N,490,293,59.8,N,2016-17
761,761304,N,1303,870,66.77,N,2016-17
111,111302,N,1037,393,37.9,N,2016-17
111,111356,N,704,324,46.02,N,2016-17
340,340308,N,501,501,100,Y,2016-17
770,770342,N,92,92,100,Y,2016-17
260,260308,N,218,181,83.03,Y,2016-17
600,600311,N,633,535,84.52,Y,2016-17
920,920318,N,1959,790,40.33,N,2016-17
340,340311,N,720,242,33.61,N,2016-17
450,450302,N,371,173,46.63,Y,2016-17
160,160304,N,78,46,58.97,Y,2016-17
80,80348,N,142,142,100,Y,2016-17
420,420304,N,337,337,100,Y,2016-17
920,920320,N,610,370,60.66,Y,2016-17
60,60302,N,390,230,58.97,N,2016-17
60,60700,N,127,58,45.67,N,2016-17
60,60701,N,89,55,61.8,N,2016-17
60,60318,N,287,169,58.89,Y,2016-17
110,110410,N,615,437,71.06,Y,2016-17
910,910304,N,384,238,61.98,Y,2016-17
410,410325,N,618,332,53.72,Y,2016-17
740,740304,N,688,463,67.3,Y,2016-17
740,740308,N,327,218,66.67,N,2016-17
740,740309,N,676,401,59.32,N,2016-17
70,70310,N,102,102,100,N,2016-17
10,10346,N,400,253,63.25,Y,2016-17
310,310304,N,952,793,83.3,Y,2016-17
980,980308,N,399,399,100,Y,2016-17
90,90304,N,213,213,100,Y,2016-17
840,840308,N,447,269,60.18,Y,2016-17
640,640304,N,645,516,80,Y,2016-17
600,600313,N,1584,189,11.93,N,2016-17
920,920326,N,482,287,59.54,Y,2016-17
600,600314,N,964,116,12.03,N,2016-17
995,995304,N,161,94,58.39,Y,2016-17
450,450343,N,162,162,100,N,2016-17
761,761312,N,542,488,90.04,Y,2016-17
600,600437,N,889,75,8.44,N,2016-17
920,920327,N,500,184,36.8,N,2016-17
180,180304,N,574,298,51.92,Y,2016-17
180,180308,N,845,278,32.9,N,2016-17
540,540304,N,586,265,45.22,Y,2016-17
920,920325,N,731,266,36.39,N,2016-17
60,60304,N,173,99,57.23,Y,2016-17
180,180312,N,291,168,57.73,Y,2016-17
110,110308,N,155,111,71.61,Y,2016-17
600,600328,N,737,119,16.15,N,2016-17
600,600316,N,602,264,43.85,Y,2016-17
170,170316,N,805,498,61.86,N,2016-17
920,920329,N,870,717,82.41,Y,2016-17
640,640306,N,385,385,100,Y,2016-17
70,70308,N,583,251,43.05,Y,2016-17
140,140304,N,422,291,68.96,Y,2016-17
550,550312,N,287,287,100,Y,2016-17
920,920328,N,750,158,21.07,N,2016-17
58B,58B000,Y,391,15,3.84,N,2016-17
460,460312,N,787,787,100,Y,2016-17
70,70311,N,221,115,52.04,N,2016-17
160,160308,N,467,305,65.31,Y,2016-17
160,160310,N,245,130,53.06,N,2016-17
260,260312,N,97,62,63.92,Y,2016-17
920,920332,N,638,406,63.64,Y,2016-17
980,980318,N,796,575,72.24,N,2016-17
995,995308,N,51,26,50.98,Y,2016-17
110,110332,N,273,156,57.14,Y,2016-17
