LEA,LEAname,SchoolCode,SchoolName,OfficialSchoolName,GradeLevelCurrent,SchoolType,SchoolProgramType,SchoolYear
20,Alexander County Schools,20324,Sugar Loaf Elementary,Sugar Loaf Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
20,Alexander County Schools,20328,Taylorsville Elementary,Taylorsville Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
20,Alexander County Schools,20330,West Alexander Middle,West Alexander Middle,06:07:08,Regular School,None,2018-19
20,Alexander County Schools,20332,Wittenburg Elementary,Wittenburg Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
30,Alleghany County Schools,30304,Alleghany High,Alleghany High,09:10:11:12,Regular School,None,2018-19
30,Alleghany County Schools,30308,Glade Creek Elementary,Glade Creek Elementary,PK:KG:01:02:03:04:05:06:07:08,Regular School,None,2018-19
30,Alleghany County Schools,30316,Piney Creek Elementary,Piney Creek Elementary,PK:KG:01:02:03:04:05:06:07:08,Regular School,None,2018-19
30,Alleghany County Schools,30320,Sparta Elementary,Sparta Elementary,PK:KG:01:02:03:04:05:06:07:08,Regular School,None,2018-19
40,Anson County Schools,40304,Anson Co. Early College High,Anson County Early College High School,09:10:11:12:13,Regular School,Early College,2018-19
40,Anson County Schools,40305,Anson Academy,Anson Academy,07:08:09:10:11:12,Alternative Education,None,2018-19
40,Anson County Schools,40306,Anson High School,Anson High School,09:10:11:12,Regular School,None,2018-19
40,Anson County Schools,40308,Ansonville Elementary,Ansonville Elementary School,KG:01:02:03:04:05,Regular School,None,2018-19
40,Anson County Schools,40309,Anson Middle,Anson Middle School,06:07:08,Regular School,None,2018-19
40,Anson County Schools,40311,Wadesboro Primary,Wadesboro Primary School,KG:01:02:03,Regular School,None,2018-19
40,Anson County Schools,40316,Lilesville Elementary,Lilesville Elementary School,KG:01:02:03:04:05,Regular School,None,2018-19
40,Anson County Schools,40324,Morven Elementary,Morven Elementary School,KG:01:02:03:04:05,Regular School,None,2018-19
40,Anson County Schools,40328,Peachland-Polkton Elem,Peachland-Polkton Elementary School,KG:01:02:03:04:05,Regular School,None,2018-19
40,Anson County Schools,40330,Wadesboro Elementary,Wadesboro Elementary School,04:05,Regular School,None,2018-19
50,Ashe County Schools,50302,Ashe County High,Ashe County High,09:10:11:12,Regular School,None,2018-19
50,Ashe County Schools,50303,Ashe County Early College High,Ashe County Early College High School,09:10,Regular School,Cooperative Innovative High School,2018-19
50,Ashe County Schools,50305,Ashe County Middle,Ashe County Middle,07:08,Regular School,None,2018-19
50,Ashe County Schools,50310,Blue Ridge Elementary,Blue Ridge Elementary,KG:01:02:03:04:05:06,Regular School,None,2018-19
50,Ashe County Schools,50330,Mountain View Elementary,Mountain View Elementary,PK:KG:01:02:03:04:05:06,Regular School,None,2018-19
50,Ashe County Schools,50335,Westwood Elementary,Westwood Elementary,KG:01:02:03:04:05:06,Regular School,None,2018-19
60,Avery County Schools,60302,Avery County High,Avery County High School,09:10:11:12,Regular School,Cooperative Innovative High School,2018-19
60,Avery County Schools,60304,Banner Elk Elementary,Banner Elk Elementary School,P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
60,Avery County Schools,60310,Cranberry Middle,Cranberry Middle School,06:07:08,Regular School,None,2018-19
60,Avery County Schools,60316,Crossnore Elementary,Crossnore Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
60,Avery County Schools,60318,Avery Middle,Avery Middle,06:07:08,Regular School,None,2018-19
60,Avery County Schools,60322,Freedom Trail Elementary,Freedom Trail Elementary School,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
60,Avery County Schools,60328,Newland Elementary,Newland Elementary School,P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
60,Avery County Schools,60332,Riverside Elementary,Riverside Elementary School,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
60,Avery County Schools,60334,Blue Ridge Academy,Blue Ridge Academy,06:07:08:09:10:11:12,Alternative Education,None,2018-19
60,Avery County Schools,60700,Avery High STEM Academy,Avery County High School STEM Academy,09:10:11:12,Regular School,Cooperative Innovative High School,2018-19
60,Avery County Schools,60701,Avery High Viking Academy,Avery County High School Viking Academy,9,Regular School,Cooperative Innovative High School,2018-19
70,Beaufort County Schools,70302,Eastern Elementary,Eastern Elementary,P3:PK:KG:01,Regular School,None,2018-19
70,Beaufort County Schools,70308,Bath Elementary,Bath Elementary,KG:01:02:03:04:05:06:07:08,Regular School,None,2018-19
70,Beaufort County Schools,70310,B C Ed Tech Center,Beaufort County Educational Technical Center,06:07:08:09:10:11:12,Alternative Education,Cooperative Innovative High School,2018-19
70,Beaufort County Schools,70311,Beaufort Co Early College High,Beaufort County Early College High School,09:10:11:12:13,Regular School,Early College,2018-19
70,Beaufort County Schools,70325,Chocowinity Middle,Chocowinity Middle,05:06:07:08,Regular School,None,2018-19
70,Beaufort County Schools,70326,Chocowinity Primary,Chocowinity Primary,P2:P3:PK:KG:01:02:03:04,Regular School,None,2018-19
70,Beaufort County Schools,70327,John C Tayloe Elementary,John C Tayloe Elementary,02:03,Regular School,None,2018-19
70,Beaufort County Schools,70328,John Small Elementary,John Small Elementary,04:05,Regular School,None,2018-19
70,Beaufort County Schools,70329,Northeast Elementary,Northeast Elementary,P2:P3:PK:KG:01:02:03:04:05:06:07:08,Regular School,None,2018-19
70,Beaufort County Schools,70330,Northside High,Northside High,09:10:11:12,Regular School,None,2018-19
70,Beaufort County Schools,70338,P S Jones Middle,P S Jones Middle,06:07:08,Regular School,None,2018-19
70,Beaufort County Schools,70339,Southside High,Southside High,09:10:11:12,Regular School,None,2018-19
70,Beaufort County Schools,70340,S W Snowden Elementary,S W Snowden Elementary,PK:KG:01:02:03:04:05:06:07:08,Regular School,None,2018-19
