"LEA Code"	"LEA Name"	"School Code"	"School Name"	"Charter School"	Current Grades	"Total Enrollment"	"# Identified Students"	Multiplier	"# Low Income Students"	"Percent Low Income Students"	"School Served"	"Eligibility Model"	"Eligibility Justification"	"Program Justification"	"# Students Served TAS"	"Grades Served TAS"	"Served 1st Year"	"School Year"
770	Richmond County Schools	770312	Cordova School	N	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12	111	64	1.6	102	91.89	N	SW	 	 		 	 	2016-2017
510	Johnston County Schools	510333	Corinth Holders High	N	09,10,11,12	1722	N/A	N/A	409	23.75	N	Not Title I	 	 		 	 	2016-2017
510	Johnston County Schools	510332	Corinth-Holders Elementary	N	PK,0K,01,02,03,04,05	585	N/A	N/A	376	64.27	Y	SW-SW	 	 		 	2004-2005	2016-2017
300	Davie County Schools	300310	Cornatzer Elementary	N	0K,01,02,03,04,05	360	N/A	N/A	209	58.06	Y	SW-SW	 	 		 	2006-2007	2016-2017
600	Charlotte-Mecklenburg Schools	600346	Cornelius Elementary	N	0K,01,02,03,04,05	649	N/A	N/A	106	16.33	N	Not Title I	 	 		 	 	2016-2017
41G	Cornerstone Charter Academy	41G000	Cornerstone Charter Academy-CFA	Y	0K,01,02,03,04,05,06,07,08,09,10	954	N/A	N/A	171	17.92	N	Not Title I	 	 		 	 	2016-2017
800	Rowan-Salisbury Schools	800328	Corriher Lipe Middle	N	06,07,08	555	N/A	N/A	320	57.66	N	SW	 	 		 	 	2016-2017
60M	Corvian Community School	60M000	Corvian Community School	Y	0K,01,02,03,04,05,06,07	695	N/A	N/A	0	0	N	Not Title I	 	 		 	 	2016-2017
360	Gaston County Schools	360376	Costner Elementary	N	PK,0K,01,02,03,04,05	532	N/A	N/A	282	53.01	N	SW	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600349	Cotswold Elementary	N	0K,01,02,03,04,05	842	N/A	N/A	244	28.98	N	Not Title I	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600351	Coulwood STEM Academy	N	06,07,08	664	N/A	N/A	327	49.25	Y	SW-SW	 	 		 	2011-2012	2016-2017
990	Yadkin County Schools	990308	Courtney Elementary	N	PK,0K,01,02,03,04,05,06,07,08,09	284	N/A	N/A	182	64.08	Y	SW-SW	 	 		 	2005-2006	2016-2017
950	Watauga County Schools	950316	Cove Creek Elementary	N	PK,0K,01,02,03,04,05,06,07,08	297	N/A	N/A	151	50.84	Y	SW-SW	 	 		 	2006-2007	2016-2017
830	Scotland County Schools	830312	Covington Street Elementary	N	0K,01,02,03,04,05	295	N/A	N/A	188	63.73	Y	SW-SW	 	 		 	2005-2006	2016-2017
130	Cabarrus County Schools	130319	Cox Mill Elementary	N	0K,01,02,03,04,05	1111	N/A	N/A	88	7.92	N	Not Title I	 	 		 	 	2016-2017
130	Cabarrus County Schools	130307	Cox Mill High School	N	09,10,11,12	1593	N/A	N/A	277	17.39	N	Not Title I	 	 		 	 	2016-2017
630	Moore County Schools	630317	Crain's Creek Middle	N	06,07,08	410	N/A	N/A	219	53.41	N	SW	 	 		 	 	2016-2017
360	Gaston County Schools	360380	Cramerton Middle	N	06,07,08	778	N/A	N/A	244	31.36	N	Not Title I	 	 		 	 	2016-2017
060	Avery County Schools	060310	Cranberry Middle	N	06,07,08	193	N/A	N/A	108	55.96	Y	SW-SW	 	 		 	2006-2007	2016-2017
250	Craven County Schools	250314	Craven Early College High	N	09,10,11,12,13	211	N/A	N/A	59	27.96	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920384	Creech Road Elementary	N	PK,0K,01,02,03,04,05	611	N/A	N/A	499	81.67	N	SW	 	 		 	 	2016-2017
390	Granville County Schools	390316	Creedmoor Elementary	N	PK,0K,01,02,03,04,05	440	N/A	N/A	313	71.14	Y	SW-SW	 	 		 	2006-2007	2016-2017
250	Craven County Schools	250316	Creekside Elementary	N	0K,01,02,03,04,05	513	N/A	N/A	116	22.61	N	Not Title I	 	 		 	 	2016-2017
320	Durham Public Schools	320319	Creekside Elementary	N	0K,01,02,03,04,05	932	N/A	N/A	417	44.74	Y	SW-SW	 	 		 	2009-2010	2016-2017
740	Pitt County Schools	740330	Creekside Elementary	N	PK,0K,01,02,03,04,05	635	N/A	N/A	376	59.21	Y	SW-SW	 	 		 	2005-2006	2016-2017
230	Cleveland County Schools	230324	Crest High	N	09,10,11,12	1237	N/A	N/A	588	47.53	N	SW	 	 		 	 	2016-2017
230	Cleveland County Schools	230328	Crest Middle	N	06,07,08	900	N/A	N/A	523	58.11	N	SW	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600353	Crestdale Middle	N	06,07,08	802	N/A	N/A	117	14.59	N	Not Title I	 	 		 	 	2016-2017
940	Washington County Schools	940306	Creswell Elementary	N	PK,0K,01,02,03,04,05	198	87	1.6	139	70.2	Y	SW-SW	 	 		 	2002-2003	2016-2017
940	Washington County Schools	940308	Creswell High	N	06,07,08,09,10,11,12	180	72	1.6	115	63.89	Y	SW-SW	 	 		 	2006-2007	2016-2017
160	Carteret County Public Schools	160314	Croatan High	N	09,10,11,12	876	N/A	N/A	243	27.74	N	Not Title I	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600418	Croft Community Elementary	N	PK,0K,01,02,03,04,05	635	N/A	N/A	176	27.72	N	Not Title I	 	 		 	 	2016-2017
260	Cumberland County Schools	260354	Cross Creek Early College	N	09,10,11,12	258	N/A	N/A	142	55.04	N	SW	 	 		 	 	2016-2017
35A	Crosscreek Charter School	35A000	Crosscreek Charter School	Y	0K,01,02,03,04,05,06,07,08	174	N/A	N/A	52	29.89	N	Not Title I	 	 		 	 	2016-2017
060	Avery County Schools	060316	Crossnore Elementary	N	PK,0K,01,02,03,04,05	220	N/A	N/A	132	60	Y	SW-SW	 	 		 	2006-2007	2016-2017
490	Iredell-Statesville Schools	490355	Crossroads Arts Sciences Early College	N	09,10,11,12,13	264	N/A	N/A	99	37.5	N	TAS	 	 		 	 	2016-2017
920	Wake County Schools	920386	Crossroads FLEX	N	09,10,11,12	53	N/A	N/A	7	13.21	N	Not Title I	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600352	Crown Point Elementary	N	0K,01,02,03,04,05	694	N/A	N/A	240	34.58	N	Not Title I	 	 		 	 	2016-2017
460	Hertford County Schools	460340	CS Brown High	N	09,10,11,12	52	22	1.6	35	67.31	Y	SW-SW	 	 		 	2013-2014	2016-2017
681	Chapel Hill-Carrboro City Schools	681322	Culbreth Middle	N	06,07,08	711	N/A	N/A	198	27.85	N	Not Title I	 	 		 	 	2016-2017
500	Jackson County Public Schools	500304	Cullowhee Valley School	N	0K,01,02,03,04,05,06,07,08	573	N/A	N/A	376	65.62	Y	SW-SW	 	 		 	2006-2007	2016-2017
260	Cumberland County Schools	260347	Cumberland International Early CollegeHS	N	09,10,11,12	243	N/A	N/A	133	54.73	N	SW	 	 		 	 	2016-2017
260	Cumberland County Schools	260348	Cumberland Mills Elementary	N	PK,0K,01,02,03,04,05	644	350	1.6	560	86.96	Y	SW-SW	 	 		 	2006-2007	2016-2017
260	Cumberland County Schools	260700	Cumberland Polytechnic	N	09,10,11,12	147	N/A	N/A	72	48.98	N	SW	 	 		 	 	2016-2017
260	Cumberland County Schools	260352	Cumberland Road Elementary	N	PK,0K,01,02,03,04,05	412	264	1.6	412	100	Y	SW-SW	 	 		 	2004-2005	2016-2017
270	Currituck County Schools	270306	Currituck County High	N	09,10,11,12	995	N/A	N/A	289	29.05	N	Not Title I	 	 		 	 	2016-2017
270	Currituck County Schools	270308	Currituck County Middle	N	06,07,08	362	N/A	N/A	165	45.58	N	SW	 	 		 	 	2016-2017
900	Union County Public Schools	900311	Cuthbertson High	N	09,10,11,12	1519	N/A	N/A	141	9.28	N	Not Title I	 	 		 	 	2016-2017
900	Union County Public Schools	900310	Cuthbertson Middle	N	06,07,08	1155	N/A	N/A	70	6.06	N	Not Title I	 	 		 	 	2016-2017
410	Guilford County Schools	410376	Cyrus P Frazier Elementary	N	PK,0K,01,02,03,04,05	319	N/A	N/A	176	55.17	Y	SW-SW	 	 		 	2006-2007	2016-2017
210	Edenton-Chowan Schools	210306	D F Walker Elementary	N	03,04,05	498	N/A	N/A	323	64.86	Y	SW-SW	 	 		 	2002-2003	2016-2017
740	Pitt County Schools	740333	D H Conley High	N	09,10,11,12	1600	N/A	N/A	546	34.13	N	Not Title I	 	 		 	 	2016-2017
640	Nash-Rocky Mount Schools	640326	D S Johnson Elementary	N	03,04,05	301	301	1.6	301	100	Y	SW-SW	 	 		 	2002-2003	2016-2017
650	New Hanover County Schools	650409	D.C. Virgo Preparatory Academy	N	06,07,08	187	156	1.6	187	100	Y	SW-SW	 	 		 	2012-2013	2016-2017
910	Vance County Schools	910314	Dabney Elementary	N	PK,0K,01,02,03,04,05	525	N/A	N/A	337	64.19	Y	SW-SW	 	 		 	2006-2007	2016-2017
790	Rockingham County Schools	790314	Dalton McMichael High	N	09,10,11,12	935	254	1.6	406	43.42	N	SW	 	 		 	 	2016-2017
450	Henderson County Schools	450308	Dana Elementary	N	0K,01,02,03,04,05	561	N/A	N/A	468	83.42	Y	SW-SW	 	 		 	2006-2007	2016-2017
920	Wake County Schools	920388	Daniels Middle	N	06,07,08	1130	N/A	N/A	409	36.19	N	TAS	 	 		 	 	2016-2017
280	Dare County Schools	280306	Dare County Alternative School	N	09,10,11,12	30	16	1.6	26	86.67	N	SW	 	 		 	 	2016-2017
140	Caldwell County Schools	140312	Davenport A+ School	N	PK,0K,01,02,03,04,05	505	261	1.6	418	82.77	Y	SW-SW	 	 		 	2006-2007	2016-2017
600	Charlotte-Mecklenburg Schools	600362	David Cox Road Elementary	N	PK,0K,01,02,03,04,05	740	N/A	N/A	341	46.08	Y	SW-SW	 	 		 	2015-2016	2016-2017
410	Guilford County Schools	410430	David D Jones Elementary	N	PK,0K,01,02,03,04,05	716	N/A	N/A	273	38.13	N	TAS	 	 		 	 	2016-2017
290	Davidson County Schools	290314	Davidson County High School	N	06,07,08,09,10,11,12	30	N/A	N/A	17	56.67	Y	SW-SW	 	 		 	2015-2016	2016-2017
290	Davidson County Schools	290315	Davidson Early College	N	09,10,11,12,13	107	N/A	N/A	36	33.64	N	Not Title I	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600357	Davidson Elementary	N	0K,01,02,03,04,05	718	N/A	N/A	72	10.03	N	Not Title I	 	 		 	 	2016-2017
880	Transylvania County Schools	880320	Davidson River School	N	09,10,11,12	82	N/A	N/A	61	74.39	N	SW	 	 		 	2016-2017	2016-2017
300	Davie County Schools	300314	Davie County Early College High	N	09,10,11,12,13	137	N/A	N/A	68	49.64	N	SW	 	 		 	 	2016-2017
300	Davie County Schools	300312	Davie County High	N	09,10,11,12	1466	N/A	N/A	658	44.88	N	SW	 	 		 	 	2016-2017
920	Wake County Schools	920390	Davis Drive Elementary	N	0K,01,02,03,04,05	1096	N/A	N/A	63	5.75	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920391	Davis Drive Middle	N	06,07,08	1295	N/A	N/A	106	8.19	N	Not Title I	 	 		 	 	2016-2017
290	Davidson County Schools	290316	Davis-Townsend Elementary	N	PK,0K,01,02,03,04,05	512	N/A	N/A	242	47.27	Y	SW-SW	 	 		 	2015-2016	2016-2017
780	Public Schools of Robeson County	780320	Deep Branch Elementary	N	PK,0K,01,02,03,04,05,06	402	290	1.6	402	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
530	Lee County Schools	530312	Deep River Elementary	N	0K,01,02,03,04,05	622	N/A	N/A	509	81.83	Y	SW-SW	 	 		 	2006-2007	2016-2017
290	Davidson County Schools	290320	Denton Elementary	N	PK,0K,01,02,03,04,05	368	N/A	N/A	227	61.68	Y	SW-SW	 	 		 	2006-2007	2016-2017
600	Charlotte-Mecklenburg Schools	600365	Devonshire Elementary	N	0K,01,02,03,04,05	658	N/A	N/A	462	70.21	Y	SW-SW	 	 		 	2002-2003	2016-2017
610	Mitchell County Schools	610310	Deyton Elementary	N	03,04,05	255	N/A	N/A	163	63.92	Y	SW-SW	 	 		 	2006-2007	2016-2017
340	Winston Salem/Forsyth County Schools	340430	Diggs-Latham Elementary	N	PK,0K,01,02,03,04,05	537	378	1.6	537	100	Y	SW-SW	 	 		 	2002-2003	2016-2017
96C	Dillard Academy	96C000	Dillard Academy	Y	0K,01,02,03,04,05,06,07	281	253	1.6	281	100	Y	SW-SW	 	 		 	2004-2005	2016-2017
920	Wake County Schools	920393	Dillard Drive Elementary	N	PK,0K,01,02,03,04,05	754	N/A	N/A	481	63.79	Y	SW-SW	 	 		 	2006-2007	2016-2017
920	Wake County Schools	920394	Dillard Drive Middle	N	06,07,08	1143	N/A	N/A	589	51.53	N	SW	 	 		 	 	2016-2017
960	Wayne County Public Schools	960326	Dillard Middle	N	06,07,08	490	414	1.6	490	100	Y	SW-SW	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600367	Dilworth Elementary	N	0K,01,02,03,04,05	731	N/A	N/A	108	14.77	N	Not Title I	 	 		 	 	2016-2017
182	Newton Conover City Schools	182700	Discovery High School	N	09,10,11,12	245	N/A	N/A	84	34.29	N	Not Title I	 	 		 	 	2016-2017
260	Cumberland County Schools	260356	District No 7 Elementary	N	PK,0K,01,02,03,04,05	234	N/A	N/A	130	55.56	Y	SW-SW	 	 		 	2006-2007	2016-2017
670	Onslow County Schools	670314	Dixon Elementary	N	PK,0K,01,02,03,04,05	988	N/A	N/A	342	34.62	Y	TAS-SW	Grandfather Rule	Always SW		 	2004-2005	2016-2017
670	Onslow County Schools	670320	Dixon High	N	09,10,11,12	823	N/A	N/A	281	34.14	N	Not Title I	 	 		 	 	2016-2017
670	Onslow County Schools	670318	Dixon Middle	N	05,06,07,08	653	N/A	N/A	271	41.5	N	SW	 	 		 	 	2016-2017
510	Johnston County Schools	510334	Dixon Road Elementary	N	PK,0K,01,02,03,04,05	596	N/A	N/A	230	38.59	N	TAS	 	 		 	 	2016-2017
860	Surry County Schools	860312	Dobson Elementary	N	PK,0K,01,02,03,04,05	397	N/A	N/A	251	63.22	Y	SW-SW	 	 		 	2006-2007	2016-2017
800	Rowan-Salisbury Schools	800359	Dole Elementary	N	PK,0K,01,02,03,04,05	506	402	1.6	506	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
470	Hoke County Schools	470310	Don D Steed Elementary	N	PK,0K,01,02,03,04,05	673	N/A	N/A	373	55.42	Y	SW-SW	 	 		 	2009-2010	2016-2017
761	Asheboro City Schools	761321	Donna L Loflin Elementary	N	0K,01,02,03,04,05	365	N/A	N/A	285	78.08	Y	SW-SW	 	 		 	2006-2007	2016-2017
410	Guilford County Schools	410398	Doris Henderson Newcomers Sch	N	03,04,05,06,07,08,09,10,11,12	304	N/A	N/A	201	66.12	Y	SW-SW	 	 		 	2006-2007	2016-2017
410	Guilford County Schools	410407	Dorothy Kendall Kearns Academy at HPC	N	09,10,11,12	140	N/A	N/A	54	38.57	N	TAS	 	 		 	 	2016-2017
260	Cumberland County Schools	260322	Douglas Byrd High	N	09,10,11,12	1092	N/A	N/A	876	80.22	Y	SW-SW	 	 		 	2012-2013	2016-2017
260	Cumberland County Schools	260321	Douglas Byrd Middle	N	06,07,08	692	464	1.6	692	100	Y	SW-SW	 	 		 	2004-2005	2016-2017
920	Wake County Schools	920396	Douglas Elementary	N	PK,0K,01,02,03,04,05	701	N/A	N/A	315	44.94	N	SW	 	 		 	 	2016-2017
65C	Douglass Academy	65C000	Douglass Academy	Y	0K,01,02,03,04,05	119	N/A	N/A	109	91.6	Y	SW-SW	 	 		 	2015-2016	2016-2017
790	Rockingham County Schools	790318	Douglass Elementary	N	PK,0K,01,02,03,04,05	375	175	1.6	280	74.67	Y	SW-SW	 	 		 	2005-2006	2016-2017
160	Carteret County Public Schools	160332	Down East Middle and Smyrna Elementary	N	PK,0K,01,02,03,04,05,06,07,08	265	N/A	N/A	131	49.43	Y	SW-SW	 	 		 	2006-2007	2016-2017
320	Durham Public Schools	320336	DPS Hospital School	N	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12	0	N/A	N/A	0	0	N	Not Title I	 	 		 	 	2016-2017
650	New Hanover County Schools	650353	Dr Hubert Eaton Sr Elem	N	0K,01,02,03,04,05	574	67	1.6	107	18.64	N	Not Title I	 	 		 	 	2016-2017
650	New Hanover County Schools	650366	Dr John Codington Elem	N	0K,01,02,03,04,05	567	83	1.6	133	23.46	N	Not Title I	 	 		 	 	2016-2017
790	Rockingham County Schools	790322	Draper Elementary	N	PK,0K,01,02,03,04,05	225	159	1.6	225	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
120	Burke County Schools	120312	Drexel Elementary	N	PK,0K,01,02,03,04,05	495	N/A	N/A	344	69.49	Y	SW-SW	 	 		 	2005-2006	2016-2017
600	Charlotte-Mecklenburg Schools	600374	Druid Hills Academy	N	PK,0K,01,02,03,04,05,06,07,08	648	N/A	N/A	544	83.95	Y	SW-SW	 	 		 	2002-2003	2016-2017
090	Bladen County Schools	090324	Dublin Primary	N	PK,0K,01,02,03,04	314	182	1.6	291	92.68	Y	SW-SW	 	 		 	2006-2007	2016-2017
140	Caldwell County Schools	140316	Dudley Shoals Elementary	N	PK,0K,01,02,03,04,05	506	208	1.6	333	65.81	Y	SW-SW	 	 		 	2006-2007	2016-2017
430	Harnett County Schools	430332	Dunn Middle	N	06,07,08	383	N/A	N/A	302	78.85	N	SW	 	 		 	 	2016-2017
310	Duplin County Schools	310338	Duplin Early College High	N	09,10,11,12,13	185	N/A	N/A	133	71.89	N	SW	 	 		 	 	2016-2017
920	Wake County Schools	920398	Durant Road Elementary	N	PK,0K,01,02,03,04,05	856	N/A	N/A	356	41.59	N	SW	 	 		 	 	2016-2017
920	Wake County Schools	920399	Durant Road Middle	N	06,07,08	1255	N/A	N/A	510	40.64	N	SW	 	 		 	 	2016-2017
320	Durham Public Schools	320323	Durham School of the Arts	N	06,07,08,09,10,11,12	1645	N/A	N/A	674	40.97	N	SW	 	 		 	 	2016-2017
320	Durham Public Schools	320322	Durham's Performance Learning Center	N	09,10,11,12	255	N/A	N/A	161	63.14	N	SW	 	 		 	 	2016-2017
740	Pitt County Schools	740337	E B Aycock Middle	N	06,07,08	728	N/A	N/A	478	65.66	N	SW	 	 		 	 	2016-2017
540	Lenoir County Public Schools	540312	E B Frink Middle	N	06,07,08	518	N/A	N/A	255	49.23	Y	SW-SW	 	 		 	2002-2003	2016-2017
260	Cumberland County Schools	260398	E E Miller Elementary	N	PK,0K,01,02,03,04,05	550	N/A	N/A	364	66.18	Y	SW-SW	 	 		 	2005-2006	2016-2017
260	Cumberland County Schools	260359	E E Smith High	N	09,10,11,12	987	N/A	N/A	723	73.25	N	SW	 	 		 	 	2016-2017
310	Duplin County Schools	310340	E E Smith Middle	N	PK,06,07,08	387	N/A	N/A	308	79.59	Y	SW-SW	 	 		 	2005-2006	2016-2017
580	Martin County Schools	580312	E J Hayes Elementary	N	03,04,05	366	N/A	N/A	210	57.38	Y	SW-SW	 	 		 	2006-2007	2016-2017
320	Durham Public Schools	320363	E K Powe Elementary	N	PK,0K,01,02,03,04,05	535	N/A	N/A	282	52.71	Y	SW-SW	 	 		 	2002-2003	2016-2017
290	Davidson County Schools	290322	E Lawson Brown Middle	N	06,07,08	694	N/A	N/A	345	49.71	Y	SW-SW	 	 		 	2015-2016	2016-2017
910	Vance County Schools	910360	E M Rollins Elementary	N	PK,0K,01,02,03,04,05	424	N/A	N/A	300	70.75	Y	SW-SW	 	 		 	2004-2005	2016-2017
010	Alamance-Burlington Schools	010320	E M Yoder Elementary	N	PK,0K,01,02,03,04,05	327	N/A	N/A	143	43.73	N	SW	 	 		 	 	2016-2017
260	Cumberland County Schools	260397	E Melvin Honeycutt Elementary	N	PK,0K,01,02,03,04,05	838	N/A	N/A	363	43.32	Y	SW-SW	 	 		 	2015-2016	2016-2017
910	Vance County Schools	910346	E O Young Jr Elementary	N	PK,0K,01,02,03,04,05	245	N/A	N/A	168	68.57	Y	SW-SW	 	 		 	2006-2007	2016-2017
110	Buncombe County Schools	110322	Early College	N	09,10,11,12,13	266	N/A	N/A	116	43.61	N	SW	 	 		 	 	2016-2017
410	Guilford County Schools	410395	Early College at Guilford	N	09,10,11,12	196	N/A	N/A	9	4.59	N	Not Title I	 	 		 	 	2016-2017
250	Craven County Schools	250321	Early College EAST High	N	09,10,11,12,13	201	N/A	N/A	39	19.4	N	Not Title I	 	 		 	 	2016-2017
740	Pitt County Schools	740500	Early College High School	N	09,10	74	74	1.6	74	100	Y	SW-SW	 	 		 	2016-2017	2016-2017
340	Winston Salem/Forsyth County Schools	340362	Early College of Forsyth Co	N	09,10,11,12	0	N/A	N/A	0	0	N	Not Title I	 	 		 	 	2016-2017
320	Durham Public Schools	320313	Easley Elementary	N	0K,01,02,03,04,05	586	N/A	N/A	180	30.72	N	Not Title I	 	 		 	 	2016-2017
840	Stanly County Schools	840316	East Albemarle Elementary	N	0K,01,02,03,04,05	336	336	1.6	336	100	Y	SW-SW	 	 		 	2002-2003	2016-2017
020	Alexander County Schools	020306	East Alexander Middle	N	06,07,08	601	N/A	N/A	354	58.9	N	SW	 	 		 	 	2016-2017
090	Bladen County Schools	090328	East Arcadia Elementary	N	0K,01,02,03,04,05,06,07,08	127	86	1.6	127	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
990	Yadkin County Schools	990312	East Bend Elementary	N	PK,0K,01,02,03,04,05,06	281	N/A	N/A	178	63.35	Y	SW-SW	 	 		 	2003-2004	2016-2017
090	Bladen County Schools	090330	East Bladen High	N	09,10,11,12	639	274	1.6	438	68.54	N	SW	 	 		 	 	2016-2017
120	Burke County Schools	120314	East Burke High	N	09,10,11,12	823	N/A	N/A	420	51.03	N	SW	 	 		 	 	2016-2017
120	Burke County Schools	120315	East Burke Middle	N	06,07,08	679	N/A	N/A	395	58.17	N	SW	 	 		 	 	2016-2017
160	Carteret County Public Schools	160313	East Carteret High	N	09,10,11,12	584	N/A	N/A	247	42.29	N	SW	 	 		 	 	2016-2017
920	Wake County Schools	920402	East Cary Middle	N	06,07,08	1036	N/A	N/A	267	25.77	N	Not Title I	 	 		 	 	2016-2017
681	Chapel Hill-Carrboro City Schools	681314	East Chapel Hill High	N	09,10,11,12	1337	N/A	N/A	266	19.9	N	Not Title I	 	 		 	 	2016-2017
510	Johnston County Schools	510336	East Clayton Elementary	N	PK,0K,01,02,03,04,05	583	N/A	N/A	158	27.1	N	Not Title I	 	 		 	 	2016-2017
240	Columbus County Schools	240334	East Columbus High	N	09,10,11,12	438	N/A	N/A	262	59.82	N	SW	 	 		 	 	2016-2017
290	Davidson County Schools	290324	East Davidson High	N	09,10,11,12	731	N/A	N/A	303	41.45	N	SW	 	 		 	 	2016-2017
310	Duplin County Schools	310344	East Duplin High	N	09,10,11,12	1003	N/A	N/A	563	56.13	N	SW	 	 		 	 	2016-2017
230	Cleveland County Schools	230334	East Elementary	N	PK,0K,01,02,03,04	240	N/A	N/A	175	72.92	Y	SW-SW	 	 		 	2006-2007	2016-2017
900	Union County Public Schools	900306	East Elementary	N	PK,0K,01,02,03,04,05	579	420	1.6	579	100	Y	SW-SW	 	 		 	2003-2004	2016-2017
580	Martin County Schools	580316	East End Elementary	N	PK,0K,01,02,03,04,05	315	N/A	N/A	191	60.63	Y	SW-SW	 	 		 	2004-2005	2016-2017
340	Winston Salem/Forsyth County Schools	340364	East Forsyth High	N	09,10,11,12	1801	N/A	N/A	644	35.76	N	TAS	 	 		 	 	2016-2017
340	Winston Salem/Forsyth County Schools	340366	East Forsyth Middle School	N	06,07,08	721	384	1.6	614	85.16	Y	SW-SW	 	 		 	2012-2013	2016-2017
560	Macon County Schools	560316	East Franklin Elementary	N	0K,01,02,03,04	383	N/A	N/A	236	61.62	Y	SW-SW	 	 		 	2005-2006	2016-2017
920	Wake County Schools	920403	East Garner Elementary	N	PK,0K,01,02,03,04,05	720	N/A	N/A	589	81.81	Y	SW-SW	 	 		 	2006-2007	2016-2017
920	Wake County Schools	920404	East Garner Middle	N	06,07,08	1296	N/A	N/A	825	63.66	N	SW	 	 		 	 	2016-2017
360	Gaston County Schools	360390	East Gaston High	N	09,10,11,12	981	N/A	N/A	459	46.79	N	SW	 	 		 	 	2016-2017
450	Henderson County Schools	450316	East Henderson High	N	09,10,11,12	893	N/A	N/A	461	51.62	N	SW	 	 		 	 	2016-2017
470	Hoke County Schools	470332	East Hoke Middle	N	06,07,08	711	N/A	N/A	462	64.98	Y	SW-SW	 	 		 	2009-2010	2016-2017
490	Iredell-Statesville Schools	490326	East Iredell Elementary	N	PK,0K,01,02,03,04,05	857	N/A	N/A	614	71.65	Y	SW-SW	 	 		 	2005-2006	2016-2017
490	Iredell-Statesville Schools	490327	East Iredell Middle	N	06,07,08	487	N/A	N/A	364	74.74	N	SW	 	 		 	 	2016-2017
530	Lee County Schools	530314	East Lee Middle	N	06,07,08	658	N/A	N/A	460	69.91	N	SW	 	 		 	 	2016-2017
550	Lincoln County Schools	550320	East Lincoln High	N	09,10,11,12	884	152	1.6	243	27.49	N	Not Title I	 	 		 	 	2016-2017
550	Lincoln County Schools	550322	East Lincoln Middle	N	06,07,08	654	130	1.6	208	31.8	N	Not Title I	 	 		 	 	2016-2017
590	McDowell County Schools	590310	East McDowell Middle	N	06,07,08	645	305	1.6	488	75.66	N	SW	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600377	East Mecklenburg High	N	09,10,11,12	1804	N/A	N/A	678	37.58	N	TAS	 	 		 	 	2016-2017
620	Montgomery County Schools	620314	East Middle	N	06,07,08	423	N/A	N/A	354	83.69	Y	SW-SW	 	 		 	2015-2016	2016-2017
920	Wake County Schools	920408	East Millbrook Middle	N	06,07,08	950	N/A	N/A	677	71.26	N	SW	 	 		 	 	2016-2017
620	Montgomery County Schools	620316	East Montgomery High	N	09,10,11,12	630	N/A	N/A	464	73.65	N	SW	 	 		 	2016-2017	2016-2017
491	Mooresville Graded School District	491303	East Mooresville Intermediate	N	04,05,06	633	N/A	N/A	269	42.5	Y	SW-SW	 	 		 	2012-2013	2016-2017
780	Public Schools of Robeson County	780322	East Robeson Primary	N	PK,0K,01,02,03	573	370	1.6	573	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
770	Richmond County Schools	770310	East Rockingham Elementary	N	0K,01,02,03,04,05	588	393	1.6	588	100	Y	SW-SW	 	 		 	2010-2011	2016-2017
800	Rowan-Salisbury Schools	800340	East Rowan High	N	09,10,11,12	1026	N/A	N/A	401	39.08	N	TAS	 	 		 	 	2016-2017
810	Rutherford County Schools	810340	East Rutherford High School	N	09,10,11,12	674	N/A	N/A	265	39.32	N	TAS	 	 		 	 	2016-2017
810	Rutherford County Schools	810342	East Rutherford Middle School	N	06,07,08	596	N/A	N/A	284	47.65	N	SW	 	 		 	 	2016-2017
860	Surry County Schools	860316	East Surry High	N	09,10,11,12	614	N/A	N/A	268	43.65	N	SW	 	 		 	 	2016-2017
900	Union County Public Schools	900308	East Union Middle	N	06,07,08	875	N/A	N/A	648	74.06	N	SW	 	 		 	 	2016-2017
92G	East Wake Academy	92G000	East Wake Academy	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	1140	N/A	N/A	209	18.33	Y	TAS-TAS	Charter School	 	50	01,02,03,04	2009-2010	2016-2017
920	Wake County Schools	920411	East Wake High	N	09,10,11,12	1415	N/A	N/A	778	54.98	N	SW	 	 		 	 	2016-2017
920	Wake County Schools	920410	East Wake Middle	N	06,07,08	800	N/A	N/A	599	74.88	N	SW	 	 		 	 	2016-2017
