LEA,SchoolCode,Charter,TotalStudents,LowIncomeStudents,PctLowIncome,SchoolServed,SchoolYear
740,740302,N,769,361,46.94,Y,2017-18
650,650384,N,412,412,100,Y,2017-18
132,132304,N,1527,609,39.88,N,2017-18
680,680304,N,632,348,55.06,N,2017-18
130,130304,N,890,541,60.79,Y,2017-18
13C,13C000,Y,426,205,48.12,Y,2017-18
920,920303,N,825,219,26.55,N,2017-18
630,630308,N,301,256,85.05,Y,2017-18
630,630304,N,328,248,75.61,Y,2017-18
410,410545,N,204,57,27.94,N,2017-18
240,240308,N,333,270,81.08,Y,2017-18
240,240304,N,148,104,70.27,Y,2017-18
920,920304,N,706,304,43.06,N,2017-18
910,910368,N,99,76,76.77,N,2017-18
490,490307,N,104,18,17.31,N,2017-18
460,460308,N,488,488,100,Y,2017-18
410,410304,N,506,128,25.3,N,2017-18
10,10303,N,153,67,43.79,N,2017-18
840,840302,N,438,323,73.74,N,2017-18
840,840303,N,381,294,77.17,Y,2017-18
600,600300,N,1149,784,68.23,Y,2017-18
600,600301,N,1161,697,60.03,Y,2017-18
250,250304,N,429,238,55.48,Y,2017-18
260,260364,N,710,608,85.63,Y,2017-18
20,20302,N,1179,495,41.98,N,2017-18
20,20303,N,57,30,52.63,N,2017-18
600,600399,N,1416,336,23.73,N,2017-18
10,10304,N,595,291,48.91,N,2017-18
260,260374,N,109,109,100,N,2017-18
30,30304,N,429,250,58.28,N,2017-18
410,410310,N,468,281,60.04,Y,2017-18
410,410311,N,390,152,38.97,N,2017-18
410,410316,N,657,377,57.38,Y,2017-18
600,600308,N,614,492,80.13,Y,2017-18
260,260302,N,282,116,41.13,Y,2017-18
26B,26B000,Y,850,655,77.06,Y,2017-18
920,920307,N,1430,108,7.55,N,2017-18
10,10308,N,610,296,48.52,N,2017-18
49B,49B000,Y,543,137,25.23,Y,2017-18
43C,43C000,Y,242,61,25.21,N,2017-18
430,430304,N,608,414,68.09,Y,2017-18
200,200304,N,316,316,100,Y,2017-18
